,table,var,description,var_type,var_size,nomenclature,creation,suppression,dates_manquantes
0,BE_IDE_R,IDE_ETA_NUM,Numéro Finess de l'Etablissement,string,9,-,,,
1,BE_IDE_R,IDE_ETA_NU8,Numéro Finess de l'Etabt sans clé,string,8,-,,,
2,BE_IDE_R,IDE_ETA_NOM,Raison Sociale Abrégée,string,38,-,,,
3,BE_IDE_R,IDE_IDE_CPL,Complément d'identification,string,38,-,,,
4,BE_IDE_R,IDE_VOI_NUM,Numéro dans la voie,string,4,-,,,
5,BE_IDE_R,IDE_VOI_CNU,Complément Numéro de voie,string,1,-,,,
6,BE_IDE_R,IDE_VOI_TYP_LRG,Nature de la voie,string,4,-,,,
7,BE_IDE_R,IDE_VOI_LIB,Nom de la voie,string,25,-,,,
8,BE_IDE_R,IDE_ADR_CPL,Complément d'adresse,string,38,-,,,
9,BE_IDE_R,IDE_RSD_LIB,Nom de la localité ou bureau distributeur,string,33,-,,,
10,BE_IDE_R,IDE_BDI_COD,Code postal,string,5,-,,,
11,BE_IDE_R,IDE_TEL_NU1,Numéro téléphone1,string,10,-,,,
12,BE_IDE_R,IDE_TEL_NU2,Numéro téléphone2,string,10,-,,,
13,BE_IDE_R,IDE_INT_ADR,Adresse internet,string,50,-,,,
14,BE_IDE_R,IDE_FAX_NUM,Numéro télécopie,string,10,-,,,
15,BE_IDE_R,IDE_CPT_RSC,Raison sociale complète,string,80,-,,,
16,BE_IDE_R,IDE_INS_COM,Numéro de Département Numéro de Commune,string,5,-,,,
17,BE_IDE_R,IDE_CPA_NUM,Code Caisse de rattachement de l'Etablissement,string,3,-,,,
18,BE_IDE_R,IDE_CRA_NUM,Code CRAM de rattachement de l'Etablissement,string,2,-,,,
19,BE_IDE_R,IDE_NUM_NOU,Nouveau no Finess,string,9,-,,,
20,BE_IDE_R,IDE_NUM_DTE,Date nouveau Finess,date,10,-,,,
21,BE_IDE_R,IDE_PSH_CAT,Code catégorie de l'Etablissement,string,3,-,,,
22,BE_IDE_R,IDE_CCL_DTE,Date de classement de l'Etablissement,date,10,-,,,
23,BE_IDE_R,IDE_PSH_STJ,Statut Juridique de l'Etablissement,string,2,-,,,
24,BE_IDE_R,IDE_STJ_DTE,Date d'effet du Statut Juridique de l'Etablissement,date,10,-,,,
25,BE_IDE_R,IDE_PSH_MFT,Code MFT de l'Etablissement,string,2,-,,,
26,BE_IDE_R,IDE_MFT_DTE,Date d'effet du MFT de l'Etablissement,date,10,-,,,
27,BE_IDE_R,IDE_HON_TYP,Code Type d'Honoraire de l'Etablissement,string,1,-,,,
28,BE_IDE_R,IDE_HON_DTE,Date d'effet du Type d'Honoraire de l'Etablissement,date,10,-,,,
29,BE_IDE_R,IDE_GES_NUM,Numéro Finess Gestionnaire,string,9,-,,,
30,BE_IDE_R,IDE_GES_DTE,Date d'effet du rattachement,date,10,-,,,
31,BE_IDE_R,IDE_SRT_NUM,Numéro SIRET,string,14,-,,,
32,BE_IDE_R,IDE_ETA_DTE,Date d'effet du Code Activité de l'Etablissement,date,10,-,,,
33,BE_IDE_R,IDE_ATI_COD,Code Activité de l'Etablissement,string,1,-,,,
34,BE_IDE_R,IDE_PSP_NAT,Code PSPH de l'Etablissement,string,1,-,,,
35,BE_IDE_R,IDE_PSP_DTE,Date d'effet du PSPH de l'Etablissement,date,10,-,,,
36,BE_IDE_R,IDE_BGL_PEX,Premier exercice de fonctionnement Bugdet Global de l'Etablissement,string,4,-,,,
37,BE_IDE_R,IDE_ETA_TYP,Code type de l'Etablissement,string,1,-,,,
38,BE_IDE_R,IDE_COD_A24,Code annexe 24 principal,string,3,-,,,
39,BE_IDE_R,IDE_SAN_PUB,Code structure secteur sanitaire public,string,1,-,,,
40,BE_IDE_R,IDE_IDE_EAM,Code AM de l'Etablissement,integer,10,-,,,
41,BE_IDE_R,IDE_IDE_DAM,Date de Début de l'AM de l'Etablissement,date,10,-,,,
42,BE_IDE_R,IDE_IDE_FAM,Date de Fin de l'AM de l'Etablissement,date,10,-,,,
43,BE_IDE_R,IDE_IDE_EAS,Code AS de l'Etablissement,integer,10,-,,,
44,BE_IDE_R,IDE_IDE_DAS,Date de Début de l'AS de l'Etablissement,date,10,-,,,
45,BE_IDE_R,IDE_IDE_FAS,Date de Fin de l'AS de l'Etablissement,date,10,-,,,
46,BE_IDE_R,IDE_IDE_CON,Code contrat de l'Etablissement,integer,10,-,,,
47,BE_IDE_R,IDE_IDE_DON,Date de Début du contrat de l'Etablissement,date,10,-,,,
48,BE_IDE_R,IDE_IDE_FON,Date de Fin du contrat de l'Etablissement,date,10,-,,,
49,BE_IDE_R,IDE_NUM_ANC,No Finess ancien,string,9,-,,,
50,BE_IDE_R,IDE_ANC_DTE,Date Finess ancien,date,10,-,,,
51,BE_IDE_R,IDE_IDE_CTR,Code convention tripartite,number,1,-,,,
52,BE_IDE_R,IDE_IDE_DTR,Date début convention tripartite,date,10,-,,,
53,BE_IDE_R,IDE_IDE_FTR,Date fin convention tripartite,date,10,-,,,
54,BE_IDE_R,IDE_A24_24,Code annexe 24,string,3,-,,,
55,BE_IDE_R,IDE_A24_24B,Code annexe 24B,string,3,-,,,
56,BE_IDE_R,IDE_A24_24C,Code annexe 24C,string,3,-,,,
57,BE_IDE_R,IDE_A24_24Q,Code annexe 24Q,string,3,-,,,
58,BE_IDE_R,IDE_A24_24S,Sans annexe 24,string,3,-,,,
59,BE_IDE_R,IDE_A24_24T,Code annexe 24T,string,3,-,,,
60,BE_IDE_R,IDE_NUM_PCP,Code établissement principal,string,9,-,,,
61,BE_IDE_R,IDE_CBU_CTR,Code contrat médicaments,number,1,-,,,
62,BE_IDE_R,IDE_CBU_EFF,Date effet contrat médicaments,date,10,-,,,
63,BE_IDE_R,IDE_CBU_TAU,Taux contrat médicaments,string,3,-,,,
64,BE_IDE_R,IDE_CBU_DTF,Date fin contrat médicaments,date,10,-,,,
65,BE_IDE_R,IDE_FIN_IND,Indice Financement,string,1,-,,,
66,BE_IDE_R,IDE_CAI_PIV,Caisse Pivot,string,5,-,,,
67,BE_IDE_R,IDE_NAT_ORI,Code Nature de l'Origine de l'Etablissement (CPAM ou CRAM),string,4,-,,,
68,BE_IDE_R,IDE_MCO_COE,Coefficient MCO,number,5,-,,,
69,BE_IDE_R,IDE_COE_HAD,Coefficient HAD,number,5,-,,,
70,BE_IDE_R,IDE_MCO_DTE,Date D'effet du Coefficient MCO,date,10,-,,,
71,BE_IDE_R,IDE_HAD_DTE,Date D'effet du Coefficient HAD,date,10,-,,,
72,BE_IDE_R,IDE_IMP_DPT,Département Implantation de l'Etablissement,string,3,-,,,
73,CT_DEP_AAAA_GN,AGE,Age du bénéficiaire,number,8,-,2012,,
74,CT_DEP_AAAA_GN,ASS_AAH_TOP,Bénéficiaire de l'allocation adulte handicapé,number,3,-,2012,,
