source,target,joint_var
2,3,BEN_NIR_PSA + BEN_RNG_GEM
2,6,BEN_IDT_ANO
4,3,BEN_NIR_PSA + BEN_RNG_GEM
4,6,BEN_NIR_ANO => BEN_IDT_ANO
5,3,BEN_NIR_PSA + BEN_RNG_GEM
5,6,BEN_IDT_ANO
6,3,BEN_IDT_ANO | Bidirectionnel
7,3,BEN_NIR_PSA + BEN_RNG_GEM
8,3,BEN_NIR_PSA + BEN_RNG_GEM
8,6,BEN_IDT_ANO
9,3,BEN_NIR_PSA + BEN_RNG_GEM
9,6,BEN_IDT_ANO
10,3,BEN_NIR_PSA + BEN_RNG_GEM
10,6,BEN_IDT_ANO
11,3,BEN_NIR_PSA
11,6,BEN_NIR_ANO => BEN_IDT_ANO
12,13,ETA_NUM_EPMSI + RHAD_NUM
13,18,ETA_NUM_EPMSI => ETA_NUM
14,3,NIR_ANO_17 => BEN_NIR_PSA
14,13,ETA_NUM_ePMSI + RHAD_NUM | Bidirectionnel
15,13,ETA_NUM_EPMSI + RHAD_NUM
16,13,ETA_NUM_EPMSI + RHAD_NUM
17,13,ETA_NUM_EPMSI + RHAD_NUM
19,18,ETA_NUM_EPMSI => ETA_NUM
20,13,ETA_NUM_EPMSI + RHAD_NUM
21,13,ETA_NUM_EPMSI + RHAD_NUM
22,13,ETA_NUM_EPMSI + RHAD_NUM
23,13,ETA_NUM_EPMSI + RHAD_NUM
24,13,ETA_NUM_EPMSI + RHAD_NUM
25,13,ETA_NUM_EPMSI + RHAD_NUM
26,13,ETA_NUM_EPMSI + RHAD_NUM
27,13,ETA_NUM_EPMSI + RHAD_NUM
28,18,ETA_NUM_PMSI => ETA_NUM
29,13,ETA_NUM_EPMSI + RHAD_NUM
30,13,ETA_NUM_EPMSI + RHAD_NUM
31,13,ETA_NUM_EPMSI + RHAD_NUM
32,13,ETA_NUM_EPMSI + RHAD_NUM
33,13,ETA_NUM_EPMSI + RHAD_NUM
34,13,ETA_NUM_EPMSI + RHAD_NUM
35,18,ETA_NUM_EPMSI => ETA_NUM
36,13,ETA_NUM_EPMSI + RHAD_NUM
37,13,ETA_NUM_EPMSI + RHAD_NUM
38,18,ETA_NUM
39,40,ID_CARTO
40,3,BEN_NIR_PSA + BEN_RNG_GEM | Bidirectionnel
41,40,ID_CARTO
