nomenclature,titre,variables_liees,nombre_lignes
AGE_BEN_SNDS,Tranches d'âge du bénéficiaire (OPEN_DAMIR),Aucune variable liée,9
AT_1IJ_V,Indicateur premier règlement de l'AT,Aucune variable liée,3
AT_AAT_V,Nature de l'arrêt de travail,Aucune variable liée,24
AT_ACC_V,Accord personne accompagnante,Aucune variable liée,4
AT_AGE_COU_C,actes de gestion et types de courrier associés,Aucune variable liée,901
AT_AGE_V,"actes de gestion ( MAJ à contrôler, parmi 58 tables Orphée)",Aucune variable liée,1109
AT_ALI_V,code Alinéa : regroupement des codes natures AT,Aucune variable liée,5
AT_AMA_V,Agent matériel de la déviation 1 & 2,Aucune variable liée,195
AT_ANC_V,Ancienneté de l accidenté lors de l  AT,Aucune variable liée,7
AT_APP_V,nature de l'appareillage,Aucune variable liée,9
AT_ASP_V,Activité spécifique,Aucune variable liée,42
AT_ATP_V,Profession de la victime d'un AT (version 212 SGE),Aucune variable liée,45
AT_ATY_V,TOP employeur atypique,Aucune variable liée,4
AT_AVI_V,nature décision avis,Aucune variable liée,6
AT_BAT_V,code Batellerie,Aucune variable liée,6
AT_BDO_V,TOP création BDO,Aucune variable liée,4
AT_BEN_V,TOP AT bénin,Aucune variable liée,4
AT_BUR_V,code Bureau,Aucune variable liée,4
AT_BUT_V,Butoirs de Tarification,Aucune variable liée,12
AT_CAR_V,CARSAT  ( version 11 Orphée),Aucune variable liée,23
AT_CAT_V,Catégorie de Tarification,Aucune variable liée,19
AT_CAU_V,MP - agent CAUsal,Aucune variable liée,6690
AT_CHS_V,code présence d un CHSCT,Aucune variable liée,5
AT_CIJ_V,Classes du nombre de jours d IJ,Aucune variable liée,10
AT_CJU_V,Contestation juridique ( Eurydice ),Aucune variable liée,9
AT_CMI_V,TOP lien CM,Aucune variable liée,5
AT_CNT_V,Contexte des lésions,Aucune variable liée,5
AT_CON_V,type de contestation (juridiction). ( Orphée  V11),Aucune variable liée,12
AT_COU_V,types de courrier associé,Aucune variable liée,805
AT_CPD_V,MP - Catégorie De Produit,Aucune variable liée,169
AT_CRE_V,Code de reconnaissance MP,Aucune variable liée,4
AT_CTN_V,code CTN,Aucune variable liée,12
AT_CTS_V,nature de la décision de contestation,Aucune variable liée,6
AT_DAT_V,IDAT (O/N)  TOP DAT,Aucune variable liée,5
AT_DCD_V,indicateur de Décès consécutif au sinistre,Aucune variable liée,5
AT_DEC_V,décision recours contre tiers ( code alpha ) ( version 11 Orphée),Aucune variable liée,5
AT_DEX_V,code Durée d Exposition,Aucune variable liée,8
AT_DMF_V,nature de la Décision Médicale Finale,Aucune variable liée,12
AT_DMT_V,Discipline Médico-Tarifaire,Aucune variable liée,348
AT_DOS_V,état du dossier ( code alpha )  ( version 11 Orphée),Aucune variable liée,10
AT_DPS_V,Détail de la pièce saisie,Aucune variable liée,4
AT_DPT_V,département  ( version 11 Orphée),Aucune variable liée,112
AT_DTA_V,TOP DAT tardive (O/N),Aucune variable liée,4
AT_DVI_V,Déviation,Aucune variable liée,53
AT_EDO_V,Etat du Dossier  ( code numérique ) ( Eurydice ),Aucune variable liée,4
AT_ELD_V,Elément matériel  Détaillé   ou précis,Aucune variable liée,339
AT_ELM_V,Elément Matériel principal,Aucune variable liée,44
AT_EMP_V,Gestion par employeur,Aucune variable liée,4
AT_EPI_V,nature de l Episode,Aucune variable liée,7
AT_FAT_V,Famille des AT,Aucune variable liée,28
AT_FJU_V,Formes juridiques,Aucune variable liée,295
AT_HIS_V,Reprise d'historique (Import),Aucune variable liée,4
AT_HOS_V,TOP Hospitalisation,Aucune variable liée,4
AT_HRE_V,Heure de l accident,Aucune variable liée,26
AT_IPR_V,Regroupements des taux d IPP - DM ATMP,Aucune variable liée,14
AT_IRT_V,Indicateur Rente / indemnité en capital,Aucune variable liée,6
AT_ITI_V,Indicateur ITI (Indemnité Temporaire d'Inaptitude),Aucune variable liée,3
AT_IVA_V,Indicateur de Validation ( AT ou section ),Aucune variable liée,4
AT_JIJ_V,nb de Jours IJ avec tranche,Aucune variable liée,4002
AT_JOU_V,Jours  - DM ATMP,Aucune variable liée,9
AT_LAT_V,Code lieu,Aucune variable liée,9
AT_LES_V,nature de la lésion ( version 11 Orphée) en CHAR(10),Aucune variable liée,38
AT_LIC_V,Reclassement ou licenciement,Aucune variable liée,4
AT_LIE_V,Lieu de l accident,Aucune variable liée,7
AT_LSN_V,Nature des lésions (version 212 SGE)  en CHAR(3),Aucune variable liée,38
AT_MAM_V,Code motif alineas MP,Aucune variable liée,9
AT_MDL_V,Contact ou modalité de la blessure,Aucune variable liée,46
AT_MET_V,"profession en AT et MP ( version 11 Orphée) en CHAR(10) ( MAJ à contrôler, parmi 58 tables Orphée)",Aucune variable liée,910
AT_MLP_V,numéro de MP tableau - numéro de MP  bis ter -syndrome localisation - syndrome code pathologie,IMB_MLP_TAB,1206
AT_MLT_V,numéro de MP tableau - numéro de MP  bis ter,Aucune variable liée,180
AT_MOD_V,Mode de tarification de la section,Aucune variable liée,10
AT_MOI_V,Mois - DM ATMP,Aucune variable liée,14
AT_MOT_V,motif de la contestation,Aucune variable liée,22
AT_MPP_V,Profession de la victime d'une MP (version 212 SGE),Aucune variable liée,438
AT_MRC_V,Mode de récupération,Aucune variable liée,3
AT_MTP_V,Majoration Tierce Personne,Aucune variable liée,6
AT_MTY_V,TOP codification profession (Ancienne ou nouvelle).,Aucune variable liée,5
AT_NAB_V,Nature d Assuré Bénéficiaire,Aucune variable liée,13
AT_NAF_V,code NAF,Aucune variable liée,1446
AT_NAT_V,code Nationalité,Aucune variable liée,5
AT_NCT_V,Code nature élément contesté,Aucune variable liée,6
AT_NEC_V,code élément contesté,Aucune variable liée,7
AT_NLS_V,Nature des Lésions  en CHAR(2)  ( version 1 ),Aucune variable liée,25
AT_NNI_V,TOP NIR ou NNP de la victime ( code alpha ) ( version 11 Orphée),Aucune variable liée,3
AT_NNP_V,TOP NIR ou NNP de la victime ( code numérique ) ( version 11 Orphée),Aucune variable liée,8
