Produit,Table,Libelle,creation,suppression,dates_manquantes
CARTOGRAPHIE_PATHOLOGIES,CT_DEP_AAAA_GN,Table dépenses de la cartographie des pathologies pour l'année AAAA et l'algorithme N,2012,,
CARTOGRAPHIE_PATHOLOGIES,CT_IDE_AAAA_GN,Table individus de la cartographie des pathologies pour l'année AAAA et l'algorithme N,2012,,
CARTOGRAPHIE_PATHOLOGIES,CT_IND_AAAA_GN,Table pathologies de la cartographie des pathologies pour l'année AAAA et l'algorithme N,2012,,
Causes de décès,KI_CCI_R,Table des circonstances et de la cause initiale du décès,2006,,
Causes de décès,KI_ECD_R,Table de l’ensemble des causes de décès,2006,,
DCIR,ER_ANO_F,Table des anomalies,,,2022
DCIR,ER_ARO_F,"Autre remboursement que Régime Obligatoire : (partie complémentaire CMU-C, FNASS, Alsace Moselle…)",2006,,
DCIR,ER_BIO_F,Prestations affinées BIOLOGIE,2006,,
DCIR,ER_CAM_F,Codage CCAM ,2006,,
DCIR,ER_CPT_F,Table des données comptables,,,2022
DCIR,ER_DCT_F,DECOMPTES,2006,,
DCIR,ER_DTR_F,Prestations affinées TRANSPORT,2006,,
DCIR,ER_ETE_F,Informations liées à l'exécution dans un ETABLISSEMENT ,2006,,
DCIR,ER_INV_F,Pension INVALIDITE,2006,,
DCIR,ER_LOT_F,Table des données de LOT,2008,,
DCIR,ER_PHA_F,Prestations affinées PHARMACIE,2006,,
DCIR,ER_PRS_F,Table principale des PRESTATIONS,2006,,
DCIR,ER_RAT_F,"Rente accident du travail, maladie professionnelle ",2006,,
DCIR,ER_TIP_F,Prestations affinées DISPOSITIF MEDICAL,2006,,
DCIR,ER_TRS_F,Table des données détaillées de TRANSPORT,2008,,
DCIR,ER_UCD_F,"Prestations Affinées UCD, Pharmacie hospitalière codée et rétrocédée et médicament en sus du GHS",2007,,
DCIRS,NS_BIO_F,Table simplifiée des données de codage de biologie,2016,,
DCIRS,NS_CAM_F,Table simplifiée des données de codage de la Classification Commune des Actes Médicaux,2016,,
DCIRS,NS_DTR_F,Table simplifiée des données de codage de transport,2016,,
DCIRS,NS_INV_F,Table simplifiée des données de codage des invalidités,2016,,
DCIRS,NS_PHA_F,Table simplifiée des données de codage de pharmacie,2016,,
DCIRS,NS_PRS_F,Table simplifiée des prestations,2016,,
DCIRS,NS_RAT_F,Table simplifiée des données des rentes d'accident du travail,2016,,
DCIRS,NS_TIP_F,Table simplifiée des données de codage de la Liste des Produits et Prestations,2016,,
