table,var,format,description,nomenclature,creation,suppression,dates_manquantes
BE_IDE_R,IDE_ETA_NUM,string (9),Numéro Finess de l'Etablissement,-,,,
BE_IDE_R,IDE_ETA_NU8,string (8),Numéro Finess de l'Etabt sans clé,-,,,
BE_IDE_R,IDE_ETA_NOM,string (38),Raison Sociale Abrégée,-,,,
BE_IDE_R,IDE_IDE_CPL,string (38),Complément d'identification,-,,,
BE_IDE_R,IDE_VOI_NUM,string (4),Numéro dans la voie,-,,,
BE_IDE_R,IDE_VOI_CNU,string (1),Complément Numéro de voie,-,,,
BE_IDE_R,IDE_VOI_TYP_LRG,string (4),Nature de la voie,-,,,
BE_IDE_R,IDE_VOI_LIB,string (25),Nom de la voie,-,,,
BE_IDE_R,IDE_ADR_CPL,string (38),Complément d'adresse,-,,,
BE_IDE_R,IDE_RSD_LIB,string (33),Nom de la localité ou bureau distributeur,-,,,
BE_IDE_R,IDE_BDI_COD,string (5),Code postal,-,,,
BE_IDE_R,IDE_TEL_NU1,string (10),Numéro téléphone1,-,,,
BE_IDE_R,IDE_TEL_NU2,string (10),Numéro téléphone2,-,,,
BE_IDE_R,IDE_INT_ADR,string (50),Adresse internet,-,,,
BE_IDE_R,IDE_FAX_NUM,string (10),Numéro télécopie,-,,,
BE_IDE_R,IDE_CPT_RSC,string (80),Raison sociale complète,-,,,
BE_IDE_R,IDE_INS_COM,string (5),Numéro de Département Numéro de Commune,-,,,
BE_IDE_R,IDE_CPA_NUM,string (3),Code Caisse de rattachement de l'Etablissement,-,,,
BE_IDE_R,IDE_CRA_NUM,string (2),Code CRAM de rattachement de l'Etablissement,-,,,
BE_IDE_R,IDE_NUM_NOU,string (9),Nouveau no Finess,-,,,
BE_IDE_R,IDE_NUM_DTE,date (10),Date nouveau Finess,-,,,
BE_IDE_R,IDE_PSH_CAT,string (3),Code catégorie de l'Etablissement,-,,,
BE_IDE_R,IDE_CCL_DTE,date (10),Date de classement de l'Etablissement,-,,,
BE_IDE_R,IDE_PSH_STJ,string (2),Statut Juridique de l'Etablissement,-,,,
BE_IDE_R,IDE_STJ_DTE,date (10),Date d'effet du Statut Juridique de l'Etablissement,-,,,
BE_IDE_R,IDE_PSH_MFT,string (2),Code MFT de l'Etablissement,-,,,
BE_IDE_R,IDE_MFT_DTE,date (10),Date d'effet du MFT de l'Etablissement,-,,,
BE_IDE_R,IDE_HON_TYP,string (1),Code Type d'Honoraire de l'Etablissement,-,,,
BE_IDE_R,IDE_HON_DTE,date (10),Date d'effet du Type d'Honoraire de l'Etablissement,-,,,
BE_IDE_R,IDE_GES_NUM,string (9),Numéro Finess Gestionnaire,-,,,
