AGE_COD;COU_COD
Informer_cons_dos_mp_vic;info_cons_dos_mp_vic
Informer_emp_clot_dos;Info_emp_clot_dos
Informer_rec_dmp_avis_apdecret;trs_dmp_emp_medtra_apd_cs
Informer_rec_dmp_avis_apdecret;trs_dmp_emp_medtra_apd_rar
Informer_vic_clot_dos;Info_vic_clot_dos
Notifier_cons_dos_mp_emp;Not_cons_dos_mp_emp
Notifier_cons_dos_mp_emp;Not_cons_dos_mp_emp_ls
Notifier_cons_dos_mp_emp;Not_cons_dos_mp_emp_r
Notifier_pec_mortel_ref_emp;Inf_pec_mor_ref_emp
accepter_dos_dem_sas;info_trs_vic
accepter_dos_trs_sas;info_trs_vic
accuser_reception_iti;info_rec_iti_ati_vic
accuser_reception_iti_att;info_rec_iti_ati_att_vic
accuser_reception_iti_att;info_rec_iti_ati_emp
accuser_reception_iti_att_rch;info_rec_iti_rch_att_vic
accuser_reception_iti_att_rch;info_rec_iti_rch_emp
accuser_reception_iti_rch;info_rec_iti_rch_vic
attendre_acc_dem_dos;dem_acc_ddos_cpam
attendre_acc_dem_dos_man;dem_acc_ddos_cpam_man
attendre_acc_dos_dem;dem_acc_dosd_cpam
attendre_acc_dos_trs;dem_acc_tdos_cpam
confirmer_san_dat_tar;not_dec_ctx_san_emp
consulter;Not_cons_dos_mp_emp
consulter;Not_cons_dos_mp_emp_ls
consulter;info_cons_dcd_ad
consulter;info_cons_dos_emp
consulter;info_cons_dos_emp_ls
consulter;info_cons_dos_emp_r
consulter;info_cons_dos_mp_vic
consulter;info_cons_dos_vic
consulter_avant_crrmp;info_trs_dos_mp_crrmp
consulter_avant_crrmp;info_trs_dos_mp_crrmp_emp
consulter_avant_crrmp_ad;info_trs_dos_mp_crrmp_ad
consulter_avant_crrmp_ad;info_trs_dos_mp_crrmp_emp
consulter_pdt_crrmp;Info_ad_cons_crrmp
consulter_pdt_crrmp;info_emp_cons_crrmp
consulter_pdt_crrmp;info_emp_cons_crrmp_ls
consulter_vic_crrmp;info_emp_cons_crrmp
consulter_vic_crrmp;info_emp_cons_crrmp_ls
consulter_vic_crrmp;info_vic_cons_crrmp
delivrer_volet_soins;trs_vol_soi_vic
delivrer_volet_soins;trs_vol_soi_vic_f
demander_acc_etr_sri;dem_acc_etr_sri
demander_act_pro_mp;dem_act_pro_mp
demander_affil;dem_aff_aff
demander_affil;dem_aff_imm
demander_affil;dem_affil_up
demander_assuj_affil;dem_assuj_affil
demander_aut_ad;dem_aut_ad
demander_aut_trib;dem_aut_ti
demander_avis_arr;dem_avis_arr
demander_avis_cot;dem_avis_cot
demander_avis_dcd;dem_avis_dcd
demander_avis_dmf;dem_avis_dmf
demander_avis_emp_aty;dem_avis_emp_aty
demander_avis_ipp;dem_avis_ipp
demander_avis_med_iti;dem_avis_iti
demander_avis_med_iti_rch;dem_avis_iti_rch
demander_avis_med_lib;dem_avis_med_lib
demander_avis_mit;dem_avis_med
demander_avis_mp;dem_avis_mp
demander_avis_mp_med_tra;dem_avis_mp_med_tra
demander_avis_mp_med_tra;dem_avis_mp_med_tra_a
demander_avis_nll;dem_avis_nll
demander_avis_rce;dem_avis_rce
demander_avis_rch;dem_avis_rch
demander_avis_ree;dem_avis_ree
demander_avis_soi;dem_avis_soi
demander_avis_spc;dem_avis_spc
demander_cmd_ad;dem_cmd_ad
demander_cmf;dem_cmf_vic
demander_cmi;dem_cmi_vic
demander_cmi_ad;dem_cmi_ad
demander_cmi_r441;dem_cmi_vic_b
demander_cmi_r441_mp;dem_cmi_vic_b_mp
demander_cmp;dem_prol_vic
demander_cmr;dem_rch_vic
demander_cmspc;dem_spc_vic
demander_compl_dat;dem_info_dat_emp
demander_compl_dmp;dem_info_dmp_vic
demander_cpl_aut_ad;dem_cpl_aut_ad
demander_dat;dem_dat_emp
demander_dat;dem_dat_vic
demander_dat_emp;dem_dat_emp
demander_dat_vic;dem_dat_vic
demander_dmp;dem_dmp_vic
demander_dmp_ad;dem_dmp_ad
demander_doc_ad;dem_doc_ad
demander_doc_adm_ad;dem_doc_adm_ad
demander_doc_adm_vic;dem_doc_adm_vic
demander_doc_vic;dem_doc_vic
demander_dos_man;dem_dos_man
demander_dos_pap;dem_dos_pap_cpam
demander_dos_sas;dem_dos_sas
demander_dossier;dem_dos_cpam
demander_enq_adm;dem_enq_adm
demander_enq_adm_mp;dem_enq_adm_mp
demander_enq_adm_mp_aut;dem_enq_adm_mp_aut
demander_enq_ext;dem_enq_ext
demander_enq_ext_mp;dem_enq_ext_mp
demander_enq_ext_mp_aut;dem_enq_ext_mp_aut
demander_exp_app;dem_exp_app
demander_exp_arr;dem_exp_arr
demander_exp_cure;dem_exp_cure
demander_exp_dcd;dem_exp_dcd
demander_exp_dmf;dem_exp_dmf
demander_exp_ep;dem_exp_ep
demander_exp_hos;dem_exp_hos
demander_exp_mp;dem_exp_mp
demander_exp_nll;dem_exp_nll
demander_exp_rce;dem_exp_rce
demander_exp_rch;dem_exp_rch
demander_exp_ree;dem_exp_ree
demander_exp_soi;dem_exp_soi
demander_exp_spc;dem_exp_spc
demander_exp_vih;dem_exp_vih
demander_int_dom_am;dem_int_dom_am
demander_mot_dat_tar;dem_mot_dat_tar_emp
demander_rapport_police;dem_rap_police
demander_rec_mp_ic;dem_rec_mp_ic
demander_rec_mp_it;dem_rec_mp_it
demander_rens_ad;dem_rens_ad
demander_rens_emp;dem_rens_emp
demander_rens_inf_pre;dem_rens_inf_pre
demander_rens_int;dem_rens_tem
demander_rens_med;dem_rens_med
demander_rens_mp_autre_emp;dem_rens_mp_aut_emp
demander_rens_mp_autre_emp;dem_rens_mp_aut_emp_a
demander_rens_mp_autre_emp;dem_rens_mp_aut_emp_c
demander_rens_mp_autre_emp;dem_rens_mp_aut_emp_d
demander_rens_mp_emp;dem_rens_mp_emp
demander_rens_mp_emp;dem_rens_mp_emp_a
demander_rens_mp_emp;dem_rens_mp_emp_c
demander_rens_mp_emp;dem_rens_mp_emp_d
demander_rens_mt;dem_rens_mt
demander_rens_tar_cpam;dem_rens_tar_cpam
demander_rens_tar_cram;dem_rens_tar_cram
demander_rens_tiers;dem_rens_tiers
