AGE_COD;AGE_LIB;TEC_COL
accepter_dos_dem_sas;Accepter Dossier Demandé CPAM;0
accepter_dos_trs_sas;Accepter Dossier Transmis CPAM;0
accuser_reception_iti;Accuser Réception Demande ITI (après PEC);0
accuser_reception_iti_att;Accuser Réception Demande ITI (attente);0
accuser_reception_iti_att_rch;Accuser Réception Demande ITI (attente) (RCH);0
accuser_reception_iti_rch;Accuser Réception Demande ITI (après PEC)(RCH);0
annuler_dat_tar;Annuler Déclaration Tardive;0
annuler_dossier;Annuler Dossier;0
annuler_san_tar;Annuler Sanction DAT Tardive;0
archiver_dossier;Archiver Dossier;0
attendre_acc_dem_dos;Attendre Accord Demander Dossier Autre CPAM;0
attendre_acc_dem_dos_man;Attendre Accord Demander Dossier  CPAM (hors SAS);0
attendre_acc_dos_dem;Attendre Accord Dossier Demandé;0
attendre_acc_dos_trs;Attendre Réponse Dos. Elect. Transmis;0
cloturer_dossier;Clôturer Dossier;0
confirmer_san_dat_tar;Confirmer Sanction DAT Tardive;0
consulter;Consulter;0
consulter_avant_crrmp;Consulter VIC et EMP avant CRRMP;0
consulter_avant_crrmp_ad;Consulter AD et EMP avant CRRMP;0
consulter_pdt_crrmp;Consulter AD/EMP pendant CRRMP;0
consulter_vic_crrmp;Consulter VIC/EMP pendant CRRMP;0
creer_dcd;Créer Décès;0
creer_dossier;Créer Dossier;0
creer_dossier_aminima;Créer Dossier A Minima;0
decider_dat_tar;Décider Déclaration Tardive;0
delivrer_volet_soins;Délivrer Feuille AT ou MP;0
demander_acc_etr_sri;Demander Sce Rel. Intern. - Acc. Préalable ETR;0
demander_act_pro_mp;Demander Vic. - Activité Professionnelle M.P.;0
demander_affil;Demander Sce Affil. - Affiliation;0
demander_aff_vic;(*) Demander Vic. - Docu. Affiliation;0
demander_assuj_affil;Demander Sce Affil. - Qualité Assujetti;0
demander_aut_ad;Demander AD Autorisation Autopsie;0
demander_aut_med_leg;(*) Demander M.Légiste - Autopsie;0
demander_aut_trib;Demander Tribunal - Autopsie;0
demander_avis_app;(*) Demander Avis Appareillage;0
demander_avis_arr;Demander Avis Arrêt de Travail;0
demander_avis_cot;Demander Avis Cdaph;0
demander_avis_cur;(*) Demander Avis Cure;0
demander_avis_dcd;Demander Avis Décès;0
demander_avis_dmf;Demander Avis Décision Médicale Finale;0
demander_avis_emp_aty;Demander Avis Employeur Atypique;0
demander_avis_ep;(*) Demander Avis EP;0
demander_avis_gue;(*) Demander avis guérison;0
demander_avis_hos;(*) Demander Avis Hospit.;0
demander_avis_ipp;Demander Avis IPP;0
demander_avis_med;(*) Demander Avis Médical;0
demander_avis_med_iti;Demander Avis ITI (ATI);0
demander_avis_med_iti_rch;Demander Avis ITI (RCH);0
demander_avis_med_lib;Demander Avis Médical Colloque;0
demander_avis_mit;Demander Avis Mi-temps;0
demander_avis_mp;Demander Avis M.P.;0
demander_avis_mp_2a;(*) Demander Avis M.P. tableau;0
demander_avis_mp_3a;(*) Demander Avis M.P. 3ème Alinéa;0
demander_avis_mp_4a;(*) Demander Avis M.P. 4ème Alinéa;0
demander_avis_mp_adm_nex;(*) Demander Avis M.P. Cond. Adm. Non Examinées;0
demander_avis_mp_med_tra;Demander Avis M.P. Médecin du Travail;0
demander_avis_mp_pneumo;(*) Demander Avis M.P. Méd. Pneumo.;0
