AMA_DVI_COD;AMA_DVI_LIB;TEC_COL
0000;Pas d'information;0
0001;Pas d'agent matériel;0
0002;Pas d'information;0
0099;Autres situations connues du groupe 00, mais non listées ci-dessus;0
0100;Bâtiments, surfaces à niveau (intérieur ou extérieur, fixes ou mobiles, temporaires ou non) - non précisés;0
0101;Éléments de bâtiments, de constructions - portes, murs, cloisons  et obstacles par  destination (fenêtres, baies vitrées, ...);0
0102;Surfaces ou circulation à niveau - sols (intérieur ou extérieur, terrains agricoles, terrains de sport, sols glissants, sols encombrés, planche à clous, ...);0
0103;Surfaces ou circulations à niveau - flottantes;0
0199;Autres constructions et surfaces à niveau connues du groupe 01, mais non listées ci-dessus;0
0200;Bâtiments, constructions, surfaces en hauteur (intérieur ou extérieur) - non précisés;0
0201;Parties de bâtiment fixes en hauteur (toitures, terrasses, ouvertures, escaliers, quais);0
0202;Constructions, surfaces fixes en hauteur (comprend les passerelles, échelles fixes, pylônes);0
0203;Constructions, surfaces mobiles en hauteur (comprend  échafaudages, échelles mobiles, nacelles, plates-formes élévatrices );0
0204;Constructions, surfaces temporaires en hauteur (comprend les échafaudages temporaires, harnais, balançoires);0
0205;Constructions, surfaces en hauteur flottantes (comprend les plates-formes de forage, les échafaudages sur barges);0
0299;Autres constructions et surfaces  en hauteur connues du groupe 02, mais non listées ci-dessus;0
0300;Bâtiments, constructions, surfaces en profondeur (intérieur ou extérieur) - non précisés;0
0301;Fouilles, tranchées, puits, fosses, escarpements, fosses de garage;0
0302;Souterrains, galeries;0
0303;Milieux sous-marins;0
0399;Autres constructions en profondeur connues du groupe 03, mais non listées ci-dessus;0
0400;Dispositifs de distribution de matière, alimentation, canalisations  -  non précisés;0
0401;Dispositifs de distribution de matière, d'alimentation, canalisations - fixes - pour gaz, air, liquides, solides - y compris les trémies;0
0402;Dispositifs de distribution de matière - alimentation - canalisations mobiles;0
0403;Égouts, drainages;0
0499;Autres dispositifs de distribution de matière - alimentation - canalisations connus du groupe 04, mais non listés ci-dessus;0
0500;Moteurs, dispositifs de transmission et de stockage d'énergie - non précisés;0
0501;Moteurs, générateurs d'énergie (thermique, électrique, rayonnement) y compris les compresseurs, les pompes;0
0502;Dispositifs de transmission et stockage d'énergie (mécanique, pneumatique, hydraulique, électrique y compris batteries, accumulateurs);0
0599;Autres dispositifs de transmission et stockage d'énergie connus du groupe 05, mais non listés ci-dessus;0
0600;Outils à main non motorisés - non précisés;0
0601;Outils à main non motorisés pour scier;0
0602;Outils à main non motorisés pour couper, séparer (comprend ciseaux, cisailles, sécateurs);0
0603;Outils à main non motorisés pour tailler, mortaiser, ciseler,  rogner, tondre;0
0604;Outils à main non motorisés pour gratter, polir, poncer;0
0605;Outils à main non motorisés pour percer, tourner, visser;0
0606;Outils à main non motorisés pour clouer, riveter, agrafer;0
0607;Outils à main non motorisés pour coudre, tricoter;0
0608;Outils à main non motorisés pour souder, coller;0
0609;Outils à main non motorisés pour extraction de matériaux et travail du sol (comprend les outils agricoles);0
0610;Outils à main non motorisés pour cirer, lubrifier, laver, nettoyer;0
0611;Outils à main non motorisés pour peindre;0
0612;Outils à main non motorisés pour maintenir, saisir;0
0613;Outils à main non motorisés pour travaux de cuisine (sauf couteaux);0
0614;Outils à main non motorisés pour travaux médicaux et chirurgicaux, piquants, coupants;0
0615;Outils à main non coupants non motorisés pour travaux médicaux et chirurgicaux, autres;0
0699;Autres outils à main non motorisés pour autres travaux connus du groupe 06, mais non listés ci-dessus;0
0700;Outils mécaniques tenus ou guidés à la main - non précisés;0
0701;Outils mécaniques à main pour scier;0
