SEE_TRF_BUT;BUT_TAR_LIB;TEC_COL
9;Sans Objet;2
1;TAUX ECRETE A LA HAUSSE (HORS ALSACE-MOSELLE);0
2;TAUX ECRETE A LA BAISSE (HORS ALSACE-MOSELLE);0
3;INDETERMINE (PAS DE TAUX L ANNEE PRECEDENTE);0
I;VALEUR INCONNUE;1
N;Non Précisé;0
T;TAUX COLLECTIF ECRETE A LA HAUSSE ALSACE-MOSELLE;0
V;TAUX MIXTE ECRETE A LA HAUSSE ALSACE-MOSELLE;0
W;TAUX INDIVIDUEL ECRETE A LA HAUSSE ALSACE-MOSELLE;0
X;TAUX COLLECTIF ECRETE A LA BAISSE ALSACE-MOSELLE;0
Y;TAUX MIXTE ECRETE A LA BAISSE ALSACE-MOSELLE;0
Z;TAUX INDIVIDUEL ECRETE A LA BAISSE ALSACE-MOSELLE;0
