SEE_TRF_CAT;SEE_CAT_LIB;TEC_COL
1;CAS GENERAL D'UN EMPLOYEUR AVEC SALARIES;0
H;SE HORS REGION ENTREPRISE BATIMENT QUI N'EST PLUS TARIFEE PAR LA CRAM SIE;0
5;REGROUPEMENT ARTICLE 8;0
9;ENTREPRISE BATIMENT TARIFEE PAR LA CRAM (SIEGE SOCIAL REGION);0
E;GESTION TOTALE RISQUE AT PAR L'ENTREPRISE(COTISATION POUR ALIM.DU FOND CO;0
C;ENTREPRISE AUTRE QUE BATIMENT TARIFEE PAR UNE AUTRE CRAM(AIR FRANCE,WAGON;0
A;TAUX COLLECTIF BENEFICIANT D'UN ABATTEMENT DE 30%;0
4;DETENUS PAR VOIE DE CONCESSION;0
3;DEPOTS;0
0;MEMBRES BENEVOLES;0
F;ENTREPRISE DE MANUTENTION MARITIME (DOCKERS);0
6;ASSURES VOLONTAIRES (ABATTEMENT DE 30%;0
7;TRAVAILLEURS A DOMICILE (T.A.D.);0
P;COMPTE GLOBAL;0
D;GESTION PARTIELLE RISQ. AT PAR L'ENTREP.(SEUL RENTES ET I.C. PRISES EN CO;0
G;DETENUS - REGIE DIRECTE;0
8;ENTREPRISE BATIMENT TARIFEE PAR UNE AUTRE CRAM (SIEGE SOCIAL HORS REGION);0
I;VALEUR INCONNUE;1
X;Sans Objet;2
