SIN_CAU_AGT;SIN_CAU_LIB;TEC_COL
29119;heptanal;0
2912Z;autre aldehyde aliphatique insature;0
29120;aldehydes aliphatiques insatures;0
29121;acroleine propenal;0
29122;methacrylaldehyde 2methylpropenal;0
29123;crotonaldehyde 2butenal;0
29200;aldehydes alicycliques;0
2930A;cinnamaldehyde 3phenylpropenal;0
2930Z;autre aldehyde aromatique;0
29300;aldehydes aromatiques;0
29301;benzaldehyde;0
29302;otolualdehyde;0
29303;mtolualdehyde;0
29304;ptolualdehyde;0
29305;salicylaldehyde ohydroxybenzaldehyde;0
29306;phydroxybenzaldehyde;0
29307;anisaldehyde;0
29308;vanilline vanillal;0
29309;piperonal;0
2940Z;autre aldehyde heterocyclique;0
29400;aldehydes heterocycliques;0
29401;furfural;0
29500;derives bisulfitiques des aldehydes;0
30000;substances industrielles;0
31000;poussieres;0
311A0;calcaires dolomie (poussieres);0
311B0;explosifs (en poudre)(poussieres);0
311C0;cendres;0
311D0;carbone, graphite (poussières);0
311Y0;dechets de poussieres inorganiques;0
311Z0;autre poussiere inorganique (emeri...);0
31100;poussieres inorganiques;0
31110;chantier (poussieres);0
31120;mines (poussieres);0
31130;ciment (poussieres) aluminosilicate de calcium;0
31131;beton (poussieres);0
31132;briques (poussieres);0
31133;fibrociment (poussieres);0
31140;metalliques (poussieres);0
31141;acier inox (poussieres);0
31142;acier ou fonte (poussieres);0
31143;alliages legers (aluminium...) (poussieres);0
31144;alliages a soudure (poussieres);0
31145;alliages cuivreux (bronze laiton);0
31146;metaux durs carbures metalliques (poussieres);0
31147;metaux precieux (poussieres);0
31150;oxydes metalliques (poussieres);0
31151;oxyde de fer ocre (poussieres);0
31160;silice sable (poussieres);0
31161;silice cristallisee quartz cristobalite tridymite...;0
31162;silice amorphe;0
31170;talc kaolin argile ardoise schiste (poussieres);0
31180;terres rares (poussieres);0
31190;verre (poussieres);0
312A0;produits pharmaceutiques (poussieres);0
312B0;suie;0
312B1;suie de combustion des produits pétroliers;0
312Y0;dechets de poussieres organiques;0
312Z0;autre poussiere organique;0
31200;poussieres organiques   T66A;0
3121Z;autre poussiere d'origine animale  T66B  T66A;0
31210;animales (poussieres);0
31211;cuir (poussieres)  T66A;0
31212;plumes duvet   T66A;0
31213;poils fourrures feutres  T66BT66A;0
3122A;bois de cedre (poussieres);0
3122B;bois de genevrier (poussieres);0
3122C;bois de pin (poussieres);0
3122D;bois de sapin (poussieres);0
3122E;bois de thuya (poussieres);0
3122F;bois durs sans specification (poussieres);0
3122Z;autre poussiere de bois;0
31220;bois (poussieres);0
31221;bois exotiques sans specification (poussieres);0
31222;bois resineux sans specification (poussieres);0
31223;bois d'erable (poussieres);0
31224;bois de frene (poussieres);0
31225;bois de hetre (poussieres);0
31226;bois de chene (poussieres);0
31227;bois d'acajou (poussieres);0
31228;bois de teck (poussieres);0
31229;bois de palissandre (poussieres);0
31230;caoutchouc (poussieres);0
31240;charbon (poussieres);0
31250;engrais (poussieres) superphosphates;0
31260;noir de carbone (poussieres);0
31270;papier carton (poussieres);0
31280;plancher maison (poussieres);0
31290;plastiques (poussieres);0
313Y0;dechets de poussieres vegetales;0
313Z0;autre poussiere vegetale;0
31300;poussieres vegetales;0
31310;cereales grains (poussieres)  T66B  T66A;0
31320;farines (poussieres)    T65 T66B  T66A;0
31330;tabac (poussieres);0
31340;cafe vert (poussieres)  T66B  T66A;0
31350;soja (poussieres)  T66A;0
32000;fibres;0
321Y0;dechets de fibres inorganiques;0
321Z0;autre fibre inorganique;0
32100;fibres inorganiques;0
32110;amiante (fibres);0
32120;ceramique (fibres);0
26121;chloromethylmethylether;0
26122;bis(chloromethyl)ether dichlorodimethylether;0
26123;2.2dichlorodiethylether;0
26124;2.2dichlorodiisopropylether;0
262Z0;autre ether de glycol;0
26200;ethers de glycols;0
2621A;diethyleneglycolmonobutylether ether monobutylique du diethy;0
2621B;triethyleneglycolmonoethylether ether monoethylique du triet;0
2621C;triethyleneglycolmonobuthylether ether monobutylique du trie;0
2621Z;autre ether de l'ethyleneglycol;0
