COU_COD;COU_LIB;TEC_COL
info_dat_tar_emp;Info. CPAM Rens. DAT Tardives (tous);0
info_dcd_ass;Info. Sce Social - A.T. Mortel;0
info_dcd_ren;Info. Serv. Rentes Décès;0
info_dec_ctx_san_emp_cpam;Info. CPAM Décis. Suite  Contest. Sanction Emp.;0
info_dec_dat_tar_cpam;Info. CPAM Décision DAT Tardive Emp.;0
info_dec_dcd_ren;Info. Serv. Rentes Décision décès;0
info_dmf_cram;Informer CRAM - DMF;0
info_dmf_cram_rch;Informer CRAM   - DMF rechute;0
info_doc_ad_at;Transm. AD Documents Souhaités;0
info_doc_ad_mp;Transm. AD Documents Souhaités;0
info_doc_emp;Transm. EMP Documents Souhaités;0
info_doc_emp_a;(*)Transm. EMP Liste Documents;0
info_doc_emp_at;Transm. EMP Documents Souhaités;0
info_doc_emp_mp;Transm. EMP Documents Souhaités;0
info_doc_vic;Transm. VIC Documents Souhaités;0
info_doc_vic_at;Transm. VIC Documents Souhaités;0
info_doc_vic_mp;Transm. VIC Documents Souhaités;0
Info_emp_clot_dos;Info EMP Classement dossier accident;0
info_emp_cmd_ia;Info.Emp. Récept.Certif.Décès ATMP (ATI attente);0
info_emp_cmd_id;Info.Emp. Récept.Certif.Décès ATMP (ATI définitif);0
info_emp_cons_crrmp;Info Emp. Consult dossier MP pendant CRRMP;0
info_emp_cons_crrmp_ls;Info Emp. Consult dossier MP pendant CRRMP  - LS;0
info_emp_rec_dc_pres_def_ls;Info.Emp. Réc.Certif.Décès Présum.AT (ATI déf) LS;0
info_emp_rec_dc_pres_def_rar;Info.Emp. Réc.Certif.Décès Présum.AT (ATI déf) RAR;0
info_emp_rec_dc_presum_att;Info.Emp. Réc.Certif.Décès  Présum. AT (ATI att);0
info_emp_reprise_dos;Info. EMP de la reprise du dossier;0
info_gue_mc;Info. M. Traitant - Guérison MC;0
info_ing_tr_mp;Info. Ing Conseil - Transm.Dossier M.P (D. 2019);0
info_maj_bdo_rtt;Info. Centre Ratt. - Modification victime;0
info_maj_rgm_affil;Info. Sce Affil. - MAJ Régime;0
info_med_leg_aut_ad;(*)Info. AD Autopsie et méd. légiste;0
info_modif_anc_cram;Info. ancienne CRAM suite modification;0
info_mut_vic;Info. Victime - demande de mutation;0
info_nouv_affil;Info. Vic. Nouvelle Caisse Affiliation;0
info_pec_emp;Notification PEC à l'employeur;0
info_pec_emp_avd;Notif. Emp. Décision de Prise en Charge;0
info_pv_enq_leg_emp;Info. Emp. PV Enq. Légale;0
info_rct_mut_vic;Info. Vic. - Quest.pour Sté mutual. Acc.avec Tiers;0
info_rec_cdc_at_ad;Info. AD Récept. Certif. Décès AT;0
info_rec_cdc_at_emp;Info. Emp. - Récept. Certif. Décès AT;0
info_rec_cdc_mp_ad;Info. AD Récept. Certif. Décès MP;0
info_rec_cdc_mp_emp;Info. Emp. - Récept. Certif. Décès MP;0
info_rec_cm_at_emp;Info. Emp. - Récept. Certif. RCH ou Nlle Lésion;0
info_rec_cm_at_vic;Info. Vic. - Récept. Certif. RCH ou Nlle Lésion;0
info_rec_cm_mp_emp;Info. Emp. - Récept. Certif. RCH ou Nlle Lésion;0
info_rec_cm_mp_vic;Info. Vic. - Récept. Certif. RCH ou Nlle Lésion;0
info_rec_dat_ad;Info. AD Récept. DAT;0
info_rec_dat_ad_decret;Info. AD Récept. Pièces (DAT & CMI);0
info_rec_dat_vic;Info. Vic. - Récept. DAT;0
info_rec_dat_vic_decret;Info. Vic. - Récept. Pièces (DAT & CMI);0
info_rec_dmp_ad;Info. AD Récept. DMP;0
info_rec_dmp_ht_cmi_ad;Info. AD Récept. DMP HT & CMI (D.2019);0
info_rec_dmp_vic;Info. Vic. - Récept. DMP;0
info_rec_iti_ati_att_vic;Informer Victime Réception Dem ITI ATI Att;0
info_rec_iti_ati_emp;Informer Emp. Réception Dem ITI ATI;0
info_rec_iti_ati_vic;Informer victime réception Dem ITI (ATI);0
info_rec_iti_rch_att_vic;Informer Victime Réception Dem ITI RCH Att;0
info_rec_iti_rch_emp;Informer Emp. Réception Dem ITI RCH;0
info_rec_iti_rch_vic;Informer victime réception Dem ITI (RCH);0
info_rec_res_emp;(*)Informer Empl. Recept. Reserves;0
info_ree_ass;Info. Serv.Social - Rééducation;0
info_ref_adm_epi;Notif. Vic. - Refus Adm. Episode (AT rejeté);0
info_ref_adm_ep_pro;Info. Prof.Santé - Refus Adm. E.P.;0
info_ref_adm_eve_epi_dmf;(*)Info. Vic. - Refus Adm. Evt (pb DMF Episode);0
info_ref_adm_eve_epi_rej;Info. Vic. - Refus Adm. Evt (Episode rejeté);0
info_ref_adm_eve_epi_rej_eta;Info. Etab. - Refus Adm. Evt (Episode rejeté);0
info_ref_adm_mt;Info. M.Traitant - Refus;0
info_ref_adm_nll_rch;Notif. Vic. - Refus Adm. Episode (RCH/NLL);0
info_ref_app_four;Info. Fournisseur - Refus Appar.;0
info_ref_hos_eta;Info. Etab. - Refus Hospit.;0
info_ref_med_ep_pro;Info. Prof.Santé - Refus Méd. E.P.;0
info_ref_med_nll_mt;Info. M.Traitant - Refus Méd. NLL;0
info_ref_med_ree_emp;Info. Emp. - Refus Méd. Rééduc.;0
info_ref_med_ree_eta;Info. Etab. - Refus Méd. Rééduc.;0
info_ref_sus_hos;Info. Etab. - Refus Suspensif Hospit.;0
info_rej_dmf_mt;Info. M.Traitant - Rejet DMF par M.C.;0
info_rep_dmf_mc_fix;Info. M.Traitant - Report DMF MC date fixée;0
info_rep_dmf_mc_ult;Info. M.Traitant - Report DMF MC date ultérieure;0
info_rep_tra_mc_emp;Info. Emp - Reprise travail par M.Conseil;0
info_rep_tra_mc_mt;Info. M.Traitant - Reprise travail par M.Conseil;0
info_rpec_at_cram;Info. CRAM - Reprise en charge A.T.;0
info_rpec_mp_cram;Info CRAM - Reprise en Charge M.P.;0
