HOS_DMT_COD;HOS_DMT_LIB;TEC_COL
IIIIIIIIII;Valeur inconnue;1
XXXXXXXXXX;Sans objet;2
123;HEMATOLOGIE ET MALADIE DU SANG;0
124;HEPATO - GASTRO - ENTEROLOGIE;0
125;MALADIES TROPICALES ET EXOTIQUES;0
126;MEDECINE CARCINOLOGIQUE;0
127;MEDECINE CARDIO-VASCULAIRE;0
129;NEUROLOGIE;0
130;PNEUMOLOGIE INDIFFERENCIEE;0
131;PNEUMOLOGIE NON TUBERCULEUSE;0
132;PHTISIOLOGIE;0
35;SCANNOGRAPHIE X;0
39;RADIOTHERAPIE EXTERNE (CAESIM, COBALT);0
43;CURIETHERAPIE;0
76;IMMUNOLOGIE (SANS AUTRE INDICATION);0
102;MALADIES INFECTIEUSES;0
103;TOXICOLOGIE (Y COMPRIS, EN PARTICULIER ACTIVITE CENTRE ANTI-POISON);0
104;REANIMATION MEDICALE (Y COMPRIS SOINS INTENSIFS);0
105;REANIMATION POLYVALENTE (MEDICALE ET CHIRURGICALE, Y COMPRIS SOINS INTENSIFS;0
106;SURVEILLANCE CONTINUE - MEDECINE (NON COMPRIS SOINS INTENSIFS);0
107;SURVEILLANCE CONTINUE POLYVALENTE (MEDICALE ET CHIRURGICALE);0
108;PEDIATRIE INDIFFERENCIEE;0
109;PEDIATRIE ENFANTS ET ADOLESCENTS;0
110;PEDIATRIE NOUVEAUX-NES ET NOURRISSONS INDIFFERENCIEE;0
111;PEDIATRIE NOURRISSONS;0
112;NEONATALOGIE;0
113;MEDECINE GERIATRIQUE;0
114;SPECIALITES MEDICALES INDIFFERENCIEES;0
115;ALLERGOLOGIE;0
116;DERMATOLOGIE ET VENEROLOGIE INDIFFERENCIEES;0
117;DERMATOLOGIE;0
118;VENEROLOGIE;0
119;ENDOCRINO - DIABETO - NUTRITION ET METABO. INDIFFERENCIES;0
120;ENDOCRINOLOGIE;0
121;DIABETOLOGIE;0
122;NUTRITION METABOLISME;0
133;RHUMATOLOGIE;0
134;RADIOTHERAPIE ET MEDECINE NUCLEAIRE INDIFFERENCIEES;0
135;RADIOTHERAPIE;0
136;MEDECINE NUCLEAIRE;0
137;CHIRURGIE GENERALE;0
138;CHIRURGIE INFANTILE INDIFFERENCIEE;0
139;CHIRURGIE ENFANTS ET ADOLESCENTS;0
