ATT_ELE_MAT;ATT_ELD_MAT;ATT_ELP_MAT;ATT_ELD_LIB;TEC_COL
01;01;01;NON PRECISE - EMPLACEMENT DE TRAVAIL ET SURFACES DE CIRCULATIONS (CAS DES ACCIDENTS SURVENUS DE PLAIN-PIED);0
01;02;01;NON CLASSE - FAUX PAS ET S'EST TORDU LE PIED - PERTED'EQUILIBRE - PORTE FERMEE PAR UN TIERS OU PAR LUI-MEME, EST TOMBE EN S'ASSEYANT;0
01;03;01;SOLS (GLISSANTS OU NON, EN MAUVAIS ETAT) TROTTOIRS, SOLS DE CARRIERES, EGOUTS, SOUTERRAINS, (GLISSADES);0
01;04;01;PLANCHES A CLOUS;0
01;05;01;OBSTACLES NORMALEMENT FIXES PAR NATURE;0
01;06;01;OBSTACLES ABANDONNES OU ENTREPOSES TEMPORAIREMENT (ENCOMBREMENT);0
01;07;01;VOIES FERREES ET APPAREILS DE VOIE;0
02;01;01;NON PRECISE - EMPLACEMENTS DE TRAVAIL ET SURFACES DE CIRCULATION (CAS DES ACCIDENTS COMPORTANT UNE CHUTE AVEC DENIVELLATION);0
02;02;01;NON CLASSE - PORTES-FENETRES, BALCONS, BAIES, VOLETS, CORDES A NOEUDS, ECHELLES DE CORDES - QUAIS DE CHARGEMENT;0
02;03;01;ESCALIERS. - ESCALIERS FIXES, ESCALIERS MOBILES ET ROULANTS, ECHELLES DE MEUNIERS;0
02;04;01;ECHELLE MOBILES, ECHELLES FIXES, ESCABEAUX. - SALARIE TOMBANT D'UNE ECHELLE SUR UN AUTRE OUVRIER;0
02;05;01;ECHAFAUDAGES,COFFRAGES(A L'EXCEPTION DES SUPPORTS DE FORTUNE:CHAISES,TONNEAUX,CAISSES,ETC...),ECHAFAUDAGES VOLANTS OU ROULANTS,PLATE-FORMES ELEVATRICES,CHEMINEES,CHATEAUX D'EAU(EN CONSTRUCTION);0
02;06;01;SUPPORTS DE FORTUNE. - TRETEAUX, CHAISES, TONNEAUX, CAISSES, CHUTES DEPUIS MATIERES EMPILEES;0
02;07;01;PASSERELLES ET GALERIES SURELEVEES. - RECETTES;0
02;08;01;TOITURES, TERRASSES, VERRIERES. - FAUX PLAFONDS LEGERS;0
02;09;01;OUVERTURES DIVERSES DANS LE SOL D'UN BATIMENT TERMINE OU DE SES DEPENDANCES : FOSSES, TRAPPES, CANIVEAUX, TREMIES, SILOS ET ACCUMULATEURS DE MATIERE;0
02;10;01;OUVERTURE DANS LES SOLS DES BATIMENTS EN COURS DE CONSTRUCTION OU D'AMENAGEMENT. - AINSI QUE LES CAGES D'ASCENSEURS ET ESCALIERS EN CONSTRUCTION, (TREMIES);0
02;11;01;MATS, POTEAUX, PYLONES, CHARPENTES. - MONTAGE - LEVAGE;0
02;12;01;FOUILLES, PUITS EN CONSTRUCTION, TRANCHEES;0
02;13;01;VEHICULES A L'ARRET - CHUTES DEPUIS LA CABINE OU LE PLATEAU, L'ECHELLE DE LA CITERNE, DU CAMION, DU WAGON, DE L'AUTOCAR;0
02;14;01;MACHINES DIVERSES OU APPAREILS DIVERS. - ASCENSEURS ET PONTS ROULANTS, GRUES, ENTRETIEN ET REPARATION DES MACHINES SANS CONSIDERATION DU MOYEN D'ACCES;0
03;01;01;NON PRECISE : OBJETS EN COURS DE MANIPULATION;0
03;02;01;NON CLASSE CI-DESSOUS;0
