ATT_ELE_MAT;ATT_ELE_LIB;ATT_ELE_LBC;TEC_COL
88;VALEUR INCONNUE;;1
00;Non précisé;;0
01;EMPLACEMENT DE TRAVAIL ET SURFACES DE CIRCULATION (CAS DES ACCIDENTS SURVENUS DE PLAIN-PIED);ACCIDENT DE PLAIN-PIED;0
02;EMPLACEMENT DE TRAVAIL ET SURFACE DE CIRCULATION (CAS DES ACCIDENTS COMPORTANT UNE CHUTE AVEC DENIVELLATION);Chute avec dénivellation;0
03;OBJETS EN COURS DE MANIPULATION;Objets en cours de manipulation;0
04;OBJETS EN COURS DE TRANSPORT MANUEL;objets en cours de transport;0
05;OBJETS, MASSES, PARTICULES EN MOUVEMENT ACCIDENTEL;Objets en mouvement accidentel;0
06;APPAREILS DE LEVAGE ET DE MANUTENTION;Appareils de levage et de manutention;0
07;APPARAUX DE LEVAGE, AMARRAGE ET PREHENSION;Apparaux, levage, amarrage;0
08;VEHICULES (SAUF CHARIOTS DE MANUTENTION ET ENGINS DE TERRASSEMENT);véhicules;0
09;MACHINES PRODUCTRICES ET TRANSFORMATRICES D'ENERGIE;machines fournissant énergie;0
10;ORGANES DE TRANSMISSION (INTERIEURS OU EXTERIEURS AUX MACHINES);organes de transmission;0
11;MACHINES A BROYER, CONCASSER, PULVERISER, DIVISER;machines à broyer;0
12;MACHINES A MALAXER OU MELANGER;machines à malaxer;0
13;MACHINES A CRIBLER, TAMISER, SEPARER;machines à cribler, tamiser;0
14;PRESSES MECANIQUES ET PILONS;presses mécaniques et pilons;0
15;MACHINES A PRESSER, MOULER ET INJECTER;machines à presser, mouler;0
16;MACHINES A CYLINDRES POUR LAMINER, MELANGER,PLANER, IMPRIMER;machines à cylindres;0
17;MACHINES A COUPER ET A TRANCHER (AUTRES QUE LES SCIES), A DEROULER ET DEFIBRER;machines à couper (sauf scies);0
18;SCIES;scies;0
19;MACHINES A TOURNER, PERCER, ALESER, FRAISER, RABOTER LES METAUX;machines à percer les métaux;0
20;MACHINES A TOURNER, TOUPILLER, PERCER, RABOTER (BOIS ET MATIERES SIMILAIRES);machines à percer le bois;0
21;MACHINES A MEULER, PONCER, POLIR;machines à ponser, meuler;0
22;MACHINES ET MATERIEL A SOUDER;machines et matériel à souder;0
23;MACHINES A RIVETER, COUDRE, AGRAFER, METRE LES OEILLETS;machines à riveter, coudre;0
24;MACHINES A REMPLIR, CONDITIONNER, EMPAQUETER, EMBALLER, CLOUER;machines à remplier, à emballer;0
25;MACHINES A EFFILOCHER, OUVRIR, BATTRE, CARDER;machines à effilocher, battre;0
26;MACHINES DE FILATURES, DE TISSAGE, DE CABLERIE ET D'APPRET (AUTRES QUE CELLES CLASSEES A LA RUBRIQUE 25);machines de filature, tissage;0
27;MATERIEL ET ENGINS DE TERRASSEMENT ET TRAVAUX ANNEXES;matériel et engins de terrasement;0
28;MACHINES AUTRES QUE 11 A 27;machines autres que 11 à 27;0
29;MACHINES NON PRECISEES;machines non précisées;0
30;OUTILS MECANIQUES TENUS OU GUIDES A LA MAIN;outils mécaniques tenus à la main;0
31;OUTILS A MAIN;outils individuels à main;0
32;APPAREILS A PRESSION;appareils à pression;0
33;APPAREILS OU USTENSILES METTANT EN OEUVRE DES PRODUITS CHAUDS, FOURS, ETUVES, APPAREILS DE CUISSON...;appareils avec produits chauds;0
34;APPAREILLAGE ET INSTALLATIONS FRIGORIFIQUES;Appareils et installations frigo.;0
35;APPAREILS OU USTENSILES METTANT EN OEUVRE DES PRODUITS CAUSTIQUES, CORROSIFS, TOXIQUES;appareils avec produits caustiques;0
36;VAPEURS, GAZ ET POUSSIERES DELETERES;vapeurs, gaz et poussières;0
37;MATIERES COMBUSTIBLES EN FLAMMES;matières combustibles, flammes;0
38;MATIERES EXPLOSIVES;matières explosives;0
39;ELECTRICITE;électricité;0
40;RAYONNEMENTS IONISANTS ET SUBSTANCES RADIOACTIVES (IRRADIATIONS BRUTALES SEULEMENT);rayonnements ionisants ou non;0
98;DIVERS, INCENDIES, RIXES;divers, incendies, rixes;0
99;DECLARATIONS NON CLASSEES AILLEURS;déclarations non classées;0
