ETB_FJU_COD;ETB_FJU_LBC;ETB_FJU_LIB;TEC_COL
1100;;ARTISAN-COMMERCANT;0
1200;;COMMERCANT;0
1300;;ARTISAN;0
1400;;OFFICIER PUBLIC OU MINISTERIEL;0
1500;;PROFESSION LIBERALE;0
1600;;EXPLOITANT AGRICOLE;0
1700;;AGENT COMMERCIAL;0
1800;;ASSOCIE GERANT DE SOCIETE;0
1900;;(AUTRE) PERSONNE PHYSIQUE;0
2100;IND;INDIVISION (S.A.I.);0
2110;IND;INDIVISION ENTRE PERSONNES PHYSIQUES;0
2120;IND;INDIVISION (AVEC PERSONNE MORALE);0
2200;SDF;SOCIETE CREE DE FAIT (S.A.I.);0
2210;SDF;SOCIETE CREE DE FAIT ENTRE PERSONNES PHYSIQUES;0
2220;SDF;SOCIETE CREE DE FAIT AVEC PERSONNE MORALE;0
2300;SEP;SOCIETE EN PARTICIPATION (S.A.I.);0
2310;SEP;SOCIETE EN PARTICIPATION ENTRE PERSONNES PHYSIQUES;0
2320;SEP;SOCIETE EN PARTICIPATION AVEC PERSONNE MORALE;0
2385;SEP;SOCIETE EN PARTICIPATION DE PROFESSIONS LIBERALES;0
2400;;FIDUCIE;0
2700;;PAROISSE HORS ZONE CONCORDATAIRE;0
2900;;AUTRE GROUPEM DE DROIT PRIVE NON DOTE DE LA PERS MORALE;0
3100;;PERSONNE MORALE DROIT ETRANGER IMMATRICULEE AU RCS;0
3110;;ORGANISME PUBLIC ETRANGER IMMATRICULE AU RCS;0
3120;;SOCIETE ETRANGERE IMMATRICULE AU RCS;0
3200;;PERSONNE MORALE DROIT ETRANGER NON IMMATRICULEE AU RCS;0
3205;;ORGANISATION INTERNATIONALE;0
3210;;ETAT COLLECTIVITE OU ETABLISSEMENT PUBLIC ETRANGER;0
3220;;SOCIETE ETRANGERE NON IMMATRICULEE AU RCS;0
3290;;AUTRE PERSONNE MORALE DE DROIT ETRANGER;0
4100;;ETABLISSEMENT PUBLIC OU REGIE A CARACTERE INDUSTRIEL OU CIAL;0
4110;;ETS PUBLIC NATION INDUST OU CCIAL DOTE COMPT PUBLIC;0
4120;;ETS PUBLIC NATION INDUST OU CCIAL NON DOTE COMPT PUBLIC;0
4130;;EXPLOITANT PUBLIC;0
4140;;ETABLIS PUBLIC LOCAL A CARACT INDUSTRIEL OU COMMERCIAL;0
4150;;REGIE D'UNE COLLECTIV LOCALE A CAR INDUSTRIEL OU COMMERC;0
4160;;INSTITUTION BANQUE DE FRANCE;0
5100;;SOCIETE COOPERATIVE COMMERCIALE PARTICULIERE;0
5191;;SOCIETE DE CAUTION MUTUELLE;0
5192;;SOCIETE COOPERATIVE DE BANQUE POPULAIRE;0
5193;;CAISSE DE CREDIT MARITIME MUTUEL;0
5194;;CAISSE FEDERALE DE CREDIT MUTUEL;0
5195;;ASSOCIATION COOPERATIVE INSCRITE;0
5196;;CAISSE D EPARGNE ET DE PREVOYANCE A FORME COOPERATIVE;0
5200;SNC;SOCIETE EN NOM COLLECTIF;0
5202;SNC;SOCIETE EN NOM COLLECTIF;0
5203;SNC;SOCIETE EN NOM COLLECTIF COOPERATIVE;0
5300;SCS;SOCIETE EN COMMANDITE;0
5306;SCS;SOCIETE EN COMMANDITE SIMPLE;0
5307;SCS;SOCIETE EN COMMANDITE SIMPLE COOPERATIVE;0
5308;SCA;SOCIETE EN COMMANDITE PAR ACTIONS;0
5309;SCA;SOCIETE EN COMMANDITE PAR ACTIONS COOPERATIVE;0
5370;SCA;SOCIETE PARTICIPATION FINANCIERE PROFESSION LIBERALE SCA;0
5385;SCA;SOCIETE D EXERCICE LIBERAL EN COMMANDITE PAR ACTIONS;0
5400;SARL;SOCIETE A RESPONSABILITE LIMITEE;0
5410;SARL;SARL NATIONALE;0
5415;SARL;SARL D'ECONOMIE MIXTE;0
5422;SARL;SARL IMMOBILIERE POUR LE COMMERCE ETL'INDUSTRIE (SICOMI);0
5426;SARL;SOCIETE IMMOBILIERE DE GESTION EN SARL;0
5430;SARL;SARL D'AMENAGEMENT FONCIER ET EQUIPEMENT RURAL(SAFER);0
5431;SARL;SARL MIXTE D'INTERET AGRICOLE;0
5432;SARL;SARL D'INTERET COLLECTIF AGRICOLE (SICA);0
5442;SARL;SARL D'ATTRIBUTION;0
5443;SARL;SARL COOPERATIVE DE CONSTRUCTION;0
5451;SARL;SARL COOPERATIVE DE CONSOMMATION;0
5453;SARL;SARL COOPERATIVE ARTISANALE;0
5454;SARL;SARL COOPERATIVE D'INTERET MARITIME;0
5455;SARL;SARL COOPERATIVE DE TRANSPORT;0
5458;SARL;SARL COOPERATIVE OUVRIERE DE PRODUCTION (SCOP);0
5459;SARL;SARL UNION DES SOCIETES COOPERATIVES;0
