JIJ_NBR_COD;JIJ_CLA_COD;JIJ_NBR_LIB;TEC_COL
1404;4;1404 jours d'I.J.;0
1405;4;1405 jours d'I.J.;0
1406;4;1406 jours d'I.J.;0
1407;4;1407 jours d'I.J.;0
1448;4;1448 jours d'I.J.;0
1449;4;1449 jours d'I.J.;0
1450;4;1450 jours d'I.J.;0
1451;4;1451 jours d'I.J.;0
1452;4;1452 jours d'I.J.;0
1453;4;1453 jours d'I.J.;0
1454;4;1454 jours d'I.J.;0
1455;4;1455 jours d'I.J.;0
1456;4;1456 jours d'I.J.;0
1457;4;1457 jours d'I.J.;0
1458;4;1458 jours d'I.J.;0
1089;4;1089 jours d'I.J.;0
1090;4;1090 jours d'I.J.;0
1091;4;1091 jours d'I.J.;0
1092;4;1092 jours d'I.J.;0
1093;4;1093 jours d'I.J.;0
1094;4;1094 jours d'I.J.;0
1095;4;1095 jours d'I.J.;0
1096;4;1096 jours d'I.J.;0
1097;4;1097 jours d'I.J.;0
1098;4;1098 jours d'I.J.;0
1099;4;1099 jours d'I.J.;0
1100;4;1100 jours d'I.J.;0
1101;4;1101 jours d'I.J.;0
1102;4;1102 jours d'I.J.;0
1103;4;1103 jours d'I.J.;0
1104;4;1104 jours d'I.J.;0
1105;4;1105 jours d'I.J.;0
1106;4;1106 jours d'I.J.;0
1107;4;1107 jours d'I.J.;0
1108;4;1108 jours d'I.J.;0
1109;4;1109 jours d'I.J.;0
1110;4;1110 jours d'I.J.;0
1111;4;1111 jours d'I.J.;0
1112;4;1112 jours d'I.J.;0
1113;4;1113 jours d'I.J.;0
1114;4;1114 jours d'I.J.;0
1115;4;1115 jours d'I.J.;0
1116;4;1116 jours d'I.J.;0
1117;4;1117 jours d'I.J.;0
1118;4;1118 jours d'I.J.;0
1119;4;1119 jours d'I.J.;0
1120;4;1120 jours d'I.J.;0
1121;4;1121 jours d'I.J.;0
1122;4;1122 jours d'I.J.;0
1123;4;1123 jours d'I.J.;0
1124;4;1124 jours d'I.J.;0
1125;4;1125 jours d'I.J.;0
1126;4;1126 jours d'I.J.;0
1127;4;1127 jours d'I.J.;0
1128;4;1128 jours d'I.J.;0
1129;4;1129 jours d'I.J.;0
1130;4;1130 jours d'I.J.;0
1131;4;1131 jours d'I.J.;0
1132;4;1132 jours d'I.J.;0
1133;4;1133 jours d'I.J.;0
1134;4;1134 jours d'I.J.;0
341;4;341 jours d'I.J.;0
342;4;342 jours d'I.J.;0
343;4;343 jours d'I.J.;0
344;4;344 jours d'I.J.;0
345;4;345 jours d'I.J.;0
346;4;346 jours d'I.J.;0
347;4;347 jours d'I.J.;0
348;4;348 jours d'I.J.;0
349;4;349 jours d'I.J.;0
350;4;350 jours d'I.J.;0
351;4;351 jours d'I.J.;0
352;4;352 jours d'I.J.;0
353;4;353 jours d'I.J.;0
354;4;354 jours d'I.J.;0
355;4;355 jours d'I.J.;0
356;4;356 jours d'I.J.;0
357;4;357 jours d'I.J.;0
358;4;358 jours d'I.J.;0
359;4;359 jours d'I.J.;0
360;4;360 jours d'I.J.;0
361;4;361 jours d'I.J.;0
362;4;362 jours d'I.J.;0
-1609;7;-1609 jours d'I.J.;0
-1608;7;-1608 jours d'I.J.;0
-1607;7;-1607 jours d'I.J.;0
-1606;7;-1606 jours d'I.J.;0
-1605;7;-1605 jours d'I.J.;0
-1604;7;-1604 jours d'I.J.;0
-1603;7;-1603 jours d'I.J.;0
-1602;7;-1602 jours d'I.J.;0
-1601;7;-1601 jours d'I.J.;0
-1600;7;-1600 jours d'I.J.;0
-1599;7;-1599 jours d'I.J.;0
-1432;7;-1432 jours d'I.J.;0
-1431;7;-1431 jours d'I.J.;0
-1430;7;-1430 jours d'I.J.;0
-1429;7;-1429 jours d'I.J.;0
-1428;7;-1428 jours d'I.J.;0
