SIN_ACT_COD;SIN_ACT_LIB;SIN_ACT_TYP;TEC_COL
100;FORCES ARMEES;1;0
1100;MEMBRES DE L'EXECUTIF ET CORPS LEGISL CADRES SUP ADMIN PUB;1;0
110;Officiers des forces armées;3;0
1110;MEMBRES DE L'EXECUTIF ET DES CORPS LEGISLATIFS;1;0
1111;Membres des corps législatifs;3;0
1112;Cadres supérieurs de l'administration publique;3;0
1113;Chefs traditionnels et chefs de village;3;0
1114;Dirigeants et cadres supérieurs d'organisations spécialisées;3;0
1120;CADRES SUPERIEURES DE L'ADMINISTRATION PUBLIQUE;1;0
1120;Directeurs généraux d'entreprise;3;0
1130;CHEFS TRADITIONNELS ET CHEFS DE VILLAGE;1;0
1141;DIRIGEANTS ET CADRES SUPERIEURS DE PARTIS POLITIQUES;1;0
1142;DIRIGEANTS ET CADRES SUPERIEURS D'ORGAN. D'EMPLOYEURS;1;0
1143;DIRIGEANTS ET CADRES SUPERIEURS D'ORGAN. HUMANITAIRE;1;0
11;Directeurs généraux, cadres supérieurs et membres de l'Exécutif et des corps législatifs;2;0
1200;DIRECTEURS DE SOCIETE;1;0
1210;DIRECTEURS;1;0
1211;Directeurs et cadres de direction, services financiers;3;0
1212;Directeurs et cadres de direction, ressources humaines;3;0
1213;Directeurs et cadres de direction, stratégie et planifications;3;0
1219;Directeurs des services administratifs non classés ailleurs;3;0
1221;CADRES DE DIRECTION AGRICULTURE CHASSE SYLVICULTURE;1;0
1221;Directeurs et cadres de direction, ventes et commercialisation;3;0
1222;CADRES DE DIRECTION INDUSTRIES MANUFACTURIERES;1;0
1222;Directeurs et cadres de direction, publicité et relations publiques;3;0
1223;CADRES DE DIRECTION BATIMENT ET TRAVAUX PUBLICS;1;0
1223;Directeurs et cadres de direction, recherche-développement;3;0
1224;CADRES DE DIRECTION COMMERCE DE GROS ET DE DETAIL;1;0
1225;CADRES DE DIRECTION RESTAURATION ET HOTELLERIE;1;0
