SIN_MLP_TAB;SIN_MLP_BTR;SIN_SYN_LOP;SIN_SYN_PAT;SIN_MLP_LIB;TEC_COL
012;A;B;R41X;Troubles neurologiques chroniques FIN CODE 30/09/2007;0
012;A;C;H102;Conjonctivite aiguë FIN CODE 30/09/2007;0
012;A;C;L24X;Dermo-épidermite aiguë FIN CODE 30/09/2007;0
012;A;C;N170;Néphropathie tubulaire FIN CODE 01/06/2015;0
012;A;C;N17X;Néphropathie tubulaire;0
012;A;D;G50X;Neuropathie trigéminale;0
012;A;D;G622;Polyneuropathie;0
012;A;D;H104;Conjonctivite chronique FIN CODE 30/09/2007;0
012;A;D;L24X;Dermo-épidermite chronique FIN CODE 30/09/2007;0
012;A;E;H46X;Neuropathie optique rétrobulbaire;0
012;A;E;K716;Hépatite cytolytique FIN CODE 20/06/2004;0
012;A;E;K71X;Hépatite cytolytique FIN CODE 30/09/2007;0
012;A;E;N17X;Insuffisance rénale aiguë FIN CODE 30/09/2007;0
012;A;F;D594;Anémie hémolytique;0
012;A;F;I49X;Troubles du rythme ventriculaire cardiaque FIN CODE 30/09/2007;0
012;A;F;J681;Oedème pulmonaire FIN CODE 30/09/2007;0
012;A;G;D612;Aplasie ou hypoplasie médullaire;0
012;A;G;K591;Syndrome cholériforme apyrétique FIN CODE 30/09/2007;0
012;A;H;T58X;Manifestations d'intoxication oxycarbonée;0
012;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
013;A;A;D642;Anémie;0
013;A;A;L23X;Dermite chronique;0
013;A;A;L25X;Dermites chroniques ou récidivantes FIN CODE 20/06/2004;0
013;A;A;R17X;Subictère;0
013;A;A;R230;Cyanose;0
013;A;A;R402;Accidents aigus (coma) FIN CODE 20/06/2004;0
013;A;A;R40X;Accident aigu;0
013;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
014;A;A;R57X;Intoxication suraiguë;0
014;A;B;R53X;Intoxication aiguë ou subaiguë;0
014;A;C;R104;Manifestations digestives FIN CODE 20/06/2004;0
014;A;C;R10X;Manifestations digestives;0
014;A;D;J39X;Irritation des voies aériennes supérieures et conjonctivite;0
014;A;E;L24X;Dermite irritative;0
014;A;F;D70X;Neutropénie;0
014;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
015;A;A;0000;Non précisé;0
015;A;A;D748;Hémoglobinurie avec hémolyse et méthémoglobinémie FIN CODE 20/06/2004;0
015;A;A;D74X;Hémoglobinurie;0
015;A;A;L24X;Dermite irritative;0
015;A;A;R17X;Subictère;0
015;A;A;R230;Cyanose;0
015;A;A;R402;Troubles neurologiques à type de somnolence, narcose, coma FIN CODE 20/06/2004;0
015;A;A;R40X;Troubles neurologiques (somnolence, narcose, coma);0
015;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
015;B;A;J30X;Rhinite allergique;0
015;B;A;J450;Asthme allergique;0
015;B;A;L23X;Lésions eczématiformes;0
015;B;A;L24X;Dermite irritative;0
015;B;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
015;T;A;C67X;Lésions malignes primitives de l'épithélium vésical dues aux substances de la liste A FIN CODE 03/08/2012;0
015;T;A;C67Y;Tumeur primitive de l'épithélium urinaire;0
015;T;A;D303;Tumeurs bénignes primitives de l'épithélium vésical dues aux substances de la liste A FIN CODE 03/08/2012;0
015;T;B;C67X;Lésions malignes primitives de l'épithélium vésical dues aux substances de la liste B FIN CODE 03/08/2012;0
015;T;B;D303;Tumeurs bénignes primitives de l'épithélium vésical dues aux substances de la liste B FIN CODE 03/08/2012;0
015;T;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 20/06/2004;0
016;A;A;H108;Conjonctivites photo-toxiques FIN CODE 20/06/2004;0
016;A;A;H10X;Conjonctivite photo-toxique;0
016;A;A;L23X;Dermite eczématiforme;0
016;A;A;L568;Dermite photo-toxique;0
016;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
016;B;A;C44X;Epithélioma primitif de la peau;0
016;B;B;C34X;Cancer broncho-pulmonaire;0
016;B;C;C67X;Tumeur de l'épithélium urinaire;0
016;B;C;D303;Tumeurs bénignes de la vessie FIN CODE 16/01/2009;0
016;B;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
018;A;A;A220;Pustule maligne;0
018;A;A;A221;Charbon pulmonaire;0
018;A;A;A222;Charbon gastro-intestinal;0
018;A;A;A228;Oedème malin;0
018;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
019;A;A;A270;Leptospirose provoquée par Leptospira interrogans FIN CODE 20/06/2004;0
019;A;A;A27X;Leptospirose;0
019;A;B;A692;Erythème migrant de Lipschutz (maladie de Lyme);0
019;A;B;G01X;Méningite lymphocytaire (maladie de Lyme);0
019;A;B;G050;Encéphalomyélite progressive FIN CODE 20/06/2004;0
019;A;B;G05X;Encéphalomyélite progressive (maladie de Lyme);0
019;A;B;I301;Péricardite (maladie de Lyme);0
019;A;B;I459;Troubles de la conduction (maladie de Lyme);0
019;A;B;L908;Dermite chronique atrophiante FIN CODE 20/06/2004;0
019;A;B;L90X;Dermatite chronique atrophiante (maladie de Lyme);0
019;A;B;M012;Oligoarthrite régressive ou arthrite chronique destructrice FIN CODE 20/06/2004;0
019;A;B;M018;Arthrite chronique destructrice FIN CODE 20/06/2004;0
019;A;B;M01X;Arthrite (maladie de Lyme);0
019;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
020;A;A;D68X;Troubles de l'hémostase;0
020;A;A;G92X;Encéphalopathie;0
020;A;A;J960;Dyspnée aiguë;0
020;A;A;K71X;Troubles digestifs et hépatiques;0
020;A;A;K720;Vomissements, diarrhée, syndrome de cytolyse hépatique FIN CODE 20/06/2004;0
020;A;A;R060;Dyspnée aiguë FIN CODE 20/06/2004;0
020;A;A;R57X;Troubles cardio-circulatoires;0
020;A;B;H010;Blépharite;0
020;A;B;H10X;Conjonctivite;0
020;A;B;H168;Kératite FIN CODE 20/06/2004;0
020;A;B;H16X;Kératite;0
020;A;B;J310;Rhinite;0
020;A;B;J340;Ulcération de la cloison nasale;0
020;A;B;J348;Perforation de la cloison nasale;0
020;A;B;K12X;Stomatite;0
020;A;B;L24X;Dermite de contact;0
020;A;C;G622;Polynévrite;0
020;A;C;L818;Mélanodermie FIN CODE 20/06/2004;0
020;A;C;L81X;Mélanodermie;0
020;A;C;L851;Dyskératose palmo-plantaire;0
020;A;D;C223;Angiosarcome du foie;0
020;A;D;C44X;Epithélioma cutané;0
020;A;D;D04X;Dyskératose lenticulaire en disque (maladie de Bowen);0
020;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
020;B;A;C34X;Cancer bronchique;0
020;T;A;C34X;Cancer bronchique;0
021;A;A;D594;Hémoglobinurie ou ictère avec hémolyse;0
021;A;A;D599;Ictère avec hémolyse FIN CODE 20/06/2004;0
021;A;A;N144;Néphrite azotémique FIN CODE 20/06/2004;0
021;A;A;N14X;Néphrite azotémique;0
021;A;A;R40X;Accident aigu (coma);0
021;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
