SIN_MLP_TAB;SIN_MLP_BTR;MLP_TAB_LIB;MLP_TAB_LBC;TEC_COL
000;Y;Sans Objet;Sans Objet;2
001;A;Affections dues au plomb et à ses composés;Aff/plomb;0
002;A;Maladies professionnelles causées par le mercure et ses composés;MP/mercure;0
003;A;Intoxication professionnelle par le tétrachloréthane;Intoxication/tétrachloréthane;0
004;A;Hémopathies provoquées par le benzène et tous les produits en renfermant;Hémopathies/benzène;0
004;B;Affections gastro-intestinales provoquées par le benzène, le toluène, les xylènes et tous les produits en renfermant;Aff gastro-intestinales/benzène toluène xylène;0
005;A;Affections professionnelles liées au contact avec le phosphore et le sesquisulfure de phosphore;Aff/phosphore;0
006;A;Affections provoquées par les rayonnements ionisants;Aff/rayonnements ionisants;0
007;A;Tétanos professionnel;Tétanos;0
008;A;Affections causées par les ciments (alumino-silicates de calcium);Aff/ciments;0
009;A;Affections provoquées par les dérivés halogénés des hydrocarbures aromatiques;Aff/dérivés halogénés hydrocarbures aromatiques;0
010;A;Ulcérations et dermites provoquées par l'acide chromique, les chromates et bichromates alcalins, le chromate de zinc et le sulfate de chrome;Ulcérations, dermites/acide chromique, chromates;0
010;B;Affections respiratoires provoquées par l'acide chromique, les chromates et bichromates alcalins;Aff resp/acide chromique, chromates;0
010;T;Affections cancéreuses causées par l'acide chromique et les chromates et bichromates alcalins ou alcalinoterreux ainsi que par le chromate de zinc;Aff cancéreuses/acide chromique, chromates;0
011;A;Intoxication professionnelle par le tétrachlorure de carbone;Intoxication/tétrachlorure de carbone;0
012;A;Affections professionnelles provoquées par les hydrocarbures aliphatiques halogénés énumérés ci-après;Aff/hydrocarbures aliphatiques halogénés;0
013;A;Intoxications professionnelles par les dérivés nitrés et chloronitrés des hydrocarbures benzéniques;Intoxication/dérivés nitrés hydrocarbures benzéniq;0
014;A;Affections provoquées par les dérivés nitrés du phénol, par le pentachlorophénol, les pentachlorophénates et par les dérivés halogénés de l'hydroxybenzonitrile;Aff/dériv nitrés phénol,halogén hydroxybenzonitril;0
015;A;Affections provoquées par les amines aromatiques, leurs sels et leurs dérivés notamment hydroxylés, halogénés, nitrés, nitrosés et sulfonés;Aff/amines aromatiques, sels et dérivés;0
015;B;Affections de mécanisme allergique provoquées par les amines aromatiques, leurs sels, leurs dérivés et les produits qui en contiennent à l'état libre;Allergies/amines aromatiques, sels et dérivés;0
015;T;Lésions prolifératives de la vessie provoquées par les amines aromatiques suivantes et leurs sels;Lésions vessie/amines aromatiques, sels;0
016;A;Affections cutanées ou affections des muqueuses provoquées par les goudrons de houille, les huiles de houille, les brais de houille et les suies de combustion du charbon;Aff cutanées muqueuses/goudrons, huiles de houille;0
016;B;Affections cancéreuses provoquées par les goudrons de houille, les huiles de houille, les brais de houille et les suies de combustion du charbon;Aff cancéreuses/goudrons, huiles de houille;0
018;A;Charbon;Charbon;0
019;A;Spirochétoses (à l'exception des tréponématoses);Spirochétoses;0
020;A;Affections professionnelles provoquées par l'arsenic et ses composés minéraux;Aff/arsenic;0
