NAF_NAF_COD;NAF_COD_LIB;TEC_COL
4674B;Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage;0
4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;0
4676Z;Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;0
4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;0
4690Z;Commerce de gros (commerce interentreprises) non spécialisé;0
4711A;Commerce de détail de produits surgelés;0
4711B;Commerce d'alimentation générale;0
4711C;Supérettes;0
4711D;Supermarchés;0
4711E;Magasins multi-commerces;0
4711F;Hypermarchés;0
4719A;Grands magasins;0
4719B;Autres commerces de détail en magasin non spécialisé;0
4721Z;Commerce de détail de fruits et légumes;0
4722Z;Commerce de détail de viandes et produits à base de viande;0
4723Z;Commerce de détail de poissons, crustacés et mollusques;0
4724Z;Commerce de détail de pain, pâtisserie et confiserie;0
4725Z;Commerce de détail de boissons;0
4726Z;Commerce de détail de tabac;0
4729Z;Autres commerces de détail alimentaires en magasin spécialisé;0
4730Z;Commerce de détail de carburants en station-service;0
4741Z;Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;0
4742Z;Commerce de détail de matériels de télécommunication en magasin spécialisé;0
4743Z;Commerce de détail de matériels audio/vidéo en magasin spécialisé;0
4751Z;Commerce de détail de textiles en magasin spécialisé;0
4752A;Commerce de détail de quincaillerie et de droguerie;0
4752B;Commerce de détail de bricolage;0
4753Z;Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;0
4754Z;Commerce de détail d'appareils électroménagers en magasin spécialisé;0
4759A;Commerce de détail de meubles;0
4759B;Commerce de détail d'autres équipements du foyer;0
4761Z;Commerce de détail de livres en magasin spécialisé;0
4762Z;Commerce de détail de journaux et de papeterie en magasin spécialisé;0
4763Z;Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;0
4764Z;Commerce de détail d'équipements sportifs en magasin spécialisé;0
4765Z;Commerce de détail de jeux et jouets en magasin spécialisé;0
4771Z;Commerce de détail d'habillement en magasin spécialisé;0
4772A;Commerce de détail de la chaussure;0
4772B;Commerce de détail de maroquinerie et d'articles de voyage;0
4773Z;Commerce de détail de produits pharmaceutiques en magasin spécialisé;0
4774Z;Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;0
4775Z;Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;0
4776Z;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;0
4777Z;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;0
4778A;Commerces de détail d'optique;0
4778B;Commerces de détail de charbons et combustibles;0
4778C;Autres commerces de détail spécialisés divers;0
4779Z;Commerce de détail de biens d'occasion en magasin;0
4781Z;Commerce de détail alimentaire sur éventaires et marchés;0
4782Z;Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;0
4789Z;Autres commerces de détail sur éventaires et marchés;0
4791A;Vente à distance sur catalogue général;0
4791B;Vente à distance sur catalogue spécialisé;0
4799A;Vente à domicile;0
4799B;Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.;0
4910Z;Transport ferroviaire interurbain de voyageurs;0
4920Z;Transports ferroviaires de fret;0
4931Z;Transports urbains et suburbains de voyageurs;0
4932Z;Transports de voyageurs par taxis;0
4939A;Transports routiers réguliers de voyageurs;0
4939B;Autres transports routiers de voyageurs;0
4939C;Téléphériques et remontées mécaniques;0
4941A;Transports routiers de fret interurbains;0
4941B;Transports routiers de fret de proximité;0
4941C;Location de camions avec chauffeur;0
4942Z;Déménagement;0
4950Z;Transports par conduites;0
5010Z;Transports maritimes et côtiers de passagers;0
5020Z;Transports maritimes et côtiers de fret;0
5030Z;Transports fluviaux de passagers;0
5040Z;Transports fluviaux de fret;0
5110Z;Transports aériens de passagers;0
5121Z;Transports aériens de fret;0
5122Z;Transports spatiaux;0
5210A;Entreposage et stockage frigorifique;0
5210B;Entreposage et stockage non frigorifique;0
5221Z;Services annexes des transports terrestres;0
5222Z;Services annexes des transports par eau;0
5223Z;Services annexes des transports aériens;0
5224A;Manutention portuaire;0
5224B;Manutention non portuaire;0
5229A;Messagerie, fret express;0
5229B;Affrètement et organisation des transports;0
5310Z;Activités de poste dans le cadre d'une obligation de service universel;0
5320Z;Autres activités de poste et de courrier;0
5510Z;Hôtels et hébergement similaire;0
5520Z;Hébergement touristique et autre hébergement collectif;0
5530Z;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;0
5590Z;Hébergements divers;0
5610A;Restauration traditionnelle;0
5610B;Cafétérias et autres libres-services;0
5610C;Restauration de type rapide;0
5621Z;Services des traiteurs;0
5629A;Restauration collective sous contrat;0
5629B;Autres services de restauration;0
5630Z;Services des débits de boissons;0
5811Z;Édition de livres;0
5812Z;Édition de répertoires et de fichiers d'adresses;0
5813Z;Édition de journaux;0
5814Z;Édition de revues et périodiques;0
5819Z;Autres activités d'édition;0
5821Z;Édition de jeux électroniques;0
5829A;Édition de logiciels système et de réseau;0
5829B;Edition de logiciels outils de développement et de langages;0
5829C;Edition de logiciels applicatifs;0
5911A;Production de films et de programmes pour la télévision;0
5911B;Production de films institutionnels et publicitaires;0
5911C;Production de films pour le cinéma;0
5912Z;Post-production de films cinématographiques, de vidéo et de programmes de télévision;0
5913A;Distribution de films cinématographiques;0
5913B;Edition et distribution vidéo;0
5914Z;Projection de films cinématographiques;0
5920Z;Enregistrement sonore et édition musicale;0
6010Z;Radiodiffusion;0
6020A;Edition de chaînes généralistes;0
6020B;Edition de chaînes thématiques;0
6110Z;Télécommunications filaires;0
6120Z;Télécommunications sans fil;0
6130Z;Télécommunications par satellite;0
6190Z;Autres activités de télécommunications;0
6201Z;Programmation informatique;0
6202A;Conseil en systèmes et logiciels informatiques;0
6202B;Tierce maintenance de systèmes et d¿applications informatiques;0
6203Z;Gestion d'installations informatiques;0
6209Z;Autres activités informatiques;0
6311Z;Traitement de données, hébergement et activités connexes;0
6312Z;Portails Internet;0
6321Z;Activités des agences de presse;0
6329Z;Autres services d'information n.c.a.;0
6411Z;Activités de banque centrale;0
6419Z;Autres intermédiations monétaires;0
6420Z;Activités des sociétés holding;0
6430Z;Fonds de placement et instruments financiers similaires;0
3821Z;Traitement et élimination des déchets non dangereux;0
3822Z;Traitement et élimination des déchets dangereux;0
3831Z;Démantèlement d'épaves;0
3832Z;Autres traitements de matières recyclables;0
3900Z;Dépollution et autres services de gestion des déchets;0
4110A;Promotion immobilière de logements;0
4110B;Promotion immobilière de bureaux;0
4110C;Promotion immobilière d'autres bâtiments;0
4110D;Supports juridiques de programmes;0
4120A;Construction de maisons individuelles;0
4120B;Construction d'autres bâtiments;0
4211Z;Construction de routes et autoroutes;0
4212Z;Construction de voies ferrées de surface et souterraines;0
4213A;Construction d'ouvrages d'art;0
4213B;Construction et entretien de tunnels;0
4221Z;Construction de réseaux pour fluides;0
4222Z;Construction de lignes et réseaux d'électricité et de télécommunications;0
4291Z;Travaux maritimes et fluviaux;0
4299Z;Construction d'autres ouvrages de génie civil n.c.a.;0
4311Z;Démolition;0
4312A;Travaux de terrassements courants et travaux préparatoires;0
4312B;Travaux de terrassements spécialisés ou de grande masse;0
4313Z;Forages et sondages;0
4321A;Travaux d'installation électrique dans tous locaux;0
4321B;Travaux d'installation électrique sur la voie publique;0
4322A;Travaux d'installation d'eau et de gaz en tous locaux;0
4322B;Travaux d'installation d'équipements thermiques et de climatisation;0
4329A;Travaux d'isolation;0
4329B;Autres travaux d'installation n.c.a.;0
4331Z;Plâtrerie;0
4332A;Travaux de menuiserie bois et PVC;0
4332B;Travaux de menuiserie métallique et serrurerie;0
4333Z;Revêtement des sols et des murs;0
4334Z;Peinture et vitrerie;0
4339A;Travaux d'agencements spéciaux;0
4339B;Travaux de finitions et travaux extérieurs accessoires;0
4391A;Travaux de charpente;0
4391B;Travaux de couverture par éléments;0
4399A;Travaux d'étanchéification;0
4399B;Travaux de montage de structures métalliques;0
4399C;Travaux courants de maçonnerie;0
4399D;Autres travaux spécialisés de construction;0
4399E;Location avec opérateur de matériel de construction;0
4511Z;Commerce de voitures et véhicules automobiles légers;0
4519Z;Commerce d'autres véhicules automobiles;0
4520A;Entretien et réparation de véhicules automobiles légers;0
4520B;Entretien et réparation d'autres véhicules automobiles;0
4531Z;Commerce de gros d'équipements automobiles;0
4532Z;Commerce de détail d'équipements automobiles;0
4540Z;Commerce et réparation de motocycles;0
