ATT_LES_NAT;ATT_LES_LIB;TEC_COL
99;VALEUR INCONNUE;1
20;TROUBLES AUDITIFS;0
23;LESIONS DE NATURE MULTIPLE;0
11;LUXATION;0
16;DOULEUR EFFORT LUMBAGO;0
14;PRESENCE CORPS ETRANGER;0
12;ASPHYXIE;0
17;INTOXICATION;0
03;BRULURE;0
02;FRACTURE FELURE;0
19;TROUBLES VISUELS;0
04;GELURE;0
08;CONTUSION;0
21;DECHIRURE MUSCUL. OU TENDINEUSE;0
22;LESIONS NERVEUSES;0
07;PIQURE;0
06;PLAIES (SAUF PIQURES);0
09;INFLAMATION;0
10;ENTORSE;0
18;DERMITE;0
01;NON PRECISE;0
24;DIVERS;0
05;AMPUTATION;0
13;COMMOTION;0
15;HERNIE;0
