SIN_SYN_PAT;SYN_PAT_LIB;TEC_COL
L230;Dermite allergique de contact due aux metaux;0
L231;Dermite allergique de contact due aux adhesifs;0
L232;Dermite allergique de contact due aux cosmetiques;0
L233;Dermite allergique de contact due a des medicaments en conta;0
L234;Dermite allergique de contact due aux teintures;0
L235;Dermite allergique de contact due a d'autres produits chimiq;0
L236;Dermite allergique de contact due a des aliments en contact;0
L237;Dermite allergique de contact due aux vegetaux  sauf aliment;0
L238;Dermite allergique de contact due a d'autres agents;0
L239;Dermite allergique de contact  cause non precisee;0
L23X;Dermite allergique de contact;0
L240;Dermite irritante de contact due aux detergents;0
L241;Dermite irritante de contact due aux huiles et aux graisses;0
L242;Dermite irritante de contact due aux solvants;0
L243;Dermite irritante de contact due aux cosmetiques;0
L244;Dermite irritante de contact due a des medicaments en contac;0
L245;Dermite irritante de contact due a d'autres produits chimiqu;0
L246;Dermite irritante de contact due a des aliments en contact a;0
L247;Dermite irritante de contact due aux vegetaux  sauf aliments;0
L248;Dermite irritante de contact due a d'autres agents;0
L249;Dermite irritante de contact  cause non precisee;0
L24X;Dermite irritante de contact;0
L250;Dermite de contact  sans precision  due aux cosmetiques;0
L251;Dermite de contact  sans precision  due a des medicaments en;0
L252;Dermite de contact  sans precision  due aux teintures;0
L253;Dermite de contact  sans precision  due a d'autres produits;0
L254;Dermite de contact  sans precision  due a des aliments en co;0
L255;Dermite de contact  sans precision  due aux vegetaux  sauf a;0
L258;Dermite de contact  sans precision  due a d'autres agents;0
L259;Dermite de contact  sans precision  (de cause non precisee);0
L25X;Dermite de contact  sans precision;0
L26X;Dermite exfoliatrice;0
L270;Eruption generalisee due a des medicaments;0
L271;Eruption localisee due a des medicaments;0
L272;Dermite due a l'ingestion d'aliments;0
L278;Dermite due a d'autres substances prises par voie interne;0
L279;Dermite due a une substance non precisee prise par voie inte;0
L27X;Dermite due a des substances prises par voie interne;0
L280;Lichen simplex chronique;0
M998;Autres lesions biomecaniques;0
M999;Lesion biomecanique  sans precision;0
M99X;Lesions biomecaniques  non classees ailleurs;0
N000;Syndrome nephritique aigu avec anomalies glomerulaires mineu;0
N001;Syndrome nephritique aigu avec lesions glomerulaires segment;0
N002;Syndrome nephritique aigu avec glomerulonephrite membraneuse;0
N003;Syndrome nephritique aigu avec glomerulonephrite proliferati;0
N004;Syndrome nephritique aigu avec glomerulonephrite proliferati;0
N005;Syndrome nephritique aigu avec glomerulonephrite mesangiocap;0
N006;Syndrome nephritique aigu avec maladie a depot dense;0
N007;Syndrome nephritique aigu avec glomerulonephrite diffuse en;0
N008;Syndromes nephritiques aigus avec autres lesions morphologiq;0
N009;Syndrome nephritique aigu  sans precision;0
N00X;Syndrome nephritique aigu;0
N010;Syndrome nephritique d'evolution rapide avec anomalies glome;0
N011;Syndrome nephritique d'evolution rapide avec lesions glomeru;0
N012;Syndrome nephritique d'evolution rapide avec glomerulonephri;0
N013;Syndrome nephritique d'evolution rapide avec glomerulonephri;0
N014;Syndrome nephritique d'evolution rapide avec glomerulonephri;0
N015;Syndrome nephritique d'evolution rapide avec glomerulonephri;0
N016;Syndrome nephritique d'evolution rapide avec maladie a depot;0
N017;Syndrome nephritique d'evolution rapide avec glomerulonephri;0
N018;Syndromes nephritiques d'evolution rapide avec autres lesion;0
N019;Syndrome nephritique d'evolution rapide  sans precision;0
N01X;Syndrome nephritique d'evolution rapide;0
N020;Hematurie recidivante et persistante avec anomalies glomerul;0
N021;Hematurie recidivante et persistante avec lesions glomerulai;0
N022;Hematurie recidivante et persistante avec glomerulonephrite;0
N023;Hematurie recidivante et persistante avec glomerulonephrite;0
N024;Hematurie recidivante et persistante avec glomerulonephrite;0
N025;Hematurie recidivante et persistante avec glomerulonephrite;0
N026;Hematurie recidivante et persistante avec maladie a depot de;0
N027;Hematurie recidivante et persistante avec glomerulonephrite;0
N028;Hematuries recidivantes et persistantes avec autres lesions;0
N029;Hematurie recidivante et persistante  sans precision;0
N02X;Hematurie recidivante et persistante;0
N030;Syndrome nephritique chronique avec anomalies glomerulaires;0
N031;Syndrome nephritique chronique avec lesions glomerulaires se;0
N032;Syndrome nephritique chronique avec glomerulonephrite membra;0
N033;Syndrome nephritique chronique avec glomerulonephrite prolif;0
N034;Syndrome nephritique chronique avec glomerulonephrite prolif;0
N035;Syndrome nephritique chronique avec glomerulonephrite mesang;0
N036;Syndrome nephritique chronique avec maladie a depot dense;0
N037;Syndrome nephritique chronique avec glomerulonephrite diffus;0
N038;Syndromes nephritiques chroniques avec autres lesions morpho;0
N039;Syndrome nephritique chronique  sans precision;0
N03X;Syndrome nephritique chronique;0
N040;Syndrome nephrotique avec anomalies glomerulaires mineures;0
N041;Syndrome nephrotique avec lesions glomerulaires segmentaires;0
N042;Syndrome nephrotique avec glomerulonephrite membraneuse diff;0
N043;Syndrome nephrotique avec glomerulonephrite proliferative me;0
N044;Syndrome nephrotique avec glomerulonephrite proliferative en;0
N045;Syndrome nephrotique avec glomerulonephrite mesangiocapillai;0
N046;Syndrome nephrotique avec maladie a depot dense;0
N047;Syndrome nephrotique avec glomerulonephrite diffuse en crois;0
N048;Syndromes nephrotiques avec autres lesions morphologiques;0
N049;Syndrome nephrotique  sans precision;0
N04X;Syndrome nephrotique;0
N050;Syndrome nephritique sans precision  avec anomalies glomerul;0
N051;Syndrome nephritique sans precision  avec lesions glomerulai;0
N052;Syndrome nephritique sans precision  avec glomerulonephrite;0
N053;Syndrome nephritique sans precision  avec glomerulonephrite;0
N054;Syndrome nephritique sans precision  avec glomerulonephrite;0
N055;Syndrome nephritique sans precision  avec glomerulonephrite;0
O920;Invagination du mamelon associee a l'accouchement;0
O921;Crevasses du mamelon associees a l'accouchement;0
O922;Mastopathies associees a l'accouchement  autres et sans prec;0
O923;Agalactie;0
O924;Hypogalactie;0
O925;Suppression de la lactation;0
O926;Galactorrhee;0
O927;Anomalies de la lactation  autres et sans precision;0
O92X;Autres mastopathies et anomalies de la lactation associees a;0
O95X;Mort d'origine obstetricale de cause non precisee;0
O96X;Mort d'origine obstetricale  survenant plus de 42 jours mais;0
O97X;Mort de sequelles relevant directement d'une cause obstetric;0
O980;Tuberculose compliquant la grossesse  l'accouchement et la p;0
O981;Syphilis compliquant la grossesse  l'accouchement et la puer;0
O982;Gonococcie compliquant la grossesse  l'accouchement et la pu;0
O983;Autres maladies dont le mode de transmission est essentielle;0
O984;Hepatite virale compliquant la grossesse  l'accouchement et;0
O985;Autres maladies virales compliquant la grossesse  l'accouche;0
O986;Maladies a protozoaires compliquant la grossesse  l'accouche;0
O988;Autres maladies infectieuses et parasitaires de la mere comp;0
O989;Maladie infectieuse ou parasitaire de la mere compliquant la;0
O98X;Maladies infectieuses et parasitaires de la mere classees ai;0
O990;Anemie compliquant la grossesse  l'accouchement et la puerpe;0
O991;Autres maladies du sang et des organes hematopoietiques et c;0
O992;Maladies endocriniennes  nutritionnelles et metaboliques com;0
O993;Troubles mentaux et maladies du systeme nerveux compliquant;0
O994;Maladies de l'appareil circulatoire compliquant la grossesse;0
O995;Maladies de l'appareil respiratoire compliquant la grossesse;0
O996;Maladies de l'appareil digestif compliquant la grossesse  l';0
O997;Maladies de la peau et du tissu cellulaire sous-cutane compl;0
O998;Autres maladies et affections precisees compliquant la gross;0
O99X;Autres maladies de la mere classees ailleurs mais compliquan;0
P000;Foetus et nouveau-ne affectes par des troubles hypertensifs;0
P001;Foetus et nouveau-ne affectes par des maladies renales et de;0
P002;Foetus et nouveau-ne affectes par des maladies infectieuses;0
P003;Foetus et nouveau-ne affectes par d'autres maladies circulat;0
P004;Foetus et nouveau-ne affectes par des troubles nutritionnels;0
P005;Foetus et nouveau-ne affectes par un traumatisme de la mere;0
P006;Foetus et nouveau-ne affectes par une intervention chirurgic;0
P007;Foetus et nouveau-ne affectes par d'autres interventions med;0
P008;Foetus et nouveau-ne affectes par d'autres affections matern;0
P009;Foetus et nouveau-ne affectes par une affection maternelle;0
P00X;Foetus et nouveau-ne affectes par des affections maternelles;0
P010;Foetus et nouveau-ne affectes par la beance du col;0
P011;Foetus et nouveau-ne affectes par la rupture prematuree des;0
P012;Foetus et nouveau-ne affectes par un oligoamnios;0
P013;Foetus et nouveau-ne affectes par un hydramnios;0
P014;Foetus et nouveau-ne affectes par une grossesse extra-uterin;0
P015;Foetus et nouveau-ne affectes par une grossesse multiple;0
P016;Foetus et nouveau-ne affectes par la mort de la mere;0
P017;Foetus et nouveau-ne affectes par une presentation anormale;0
P018;Foetus et nouveau-ne affectes par d'autres complications de;0
P019;Foetus et nouveau-ne affectes par une complication de la gro;0
P01X;Foetus et nouveau-ne affectes par les complications de la gr;0
P020;Foetus et nouveau-ne affectes par placenta praevia;0
P021;Foetus et nouveau-ne affectes par d'autres formes de decolle;0
P022;Foetus et nouveau-ne affectes par des anomalies morphologiqu;0
P023;Foetus et nouveau-ne affectes par des syndromes de transfusi;0
P024;Foetus et nouveau-ne affectes par une insertion velamenteuse;0
P025;Foetus et nouveau-ne affectes par d'autres formes de compres;0
P026;Foetus et nouveau-ne affectes par des affections du cordon o;0
P027;Foetus et nouveau-ne affectes par une chorio-amniotite;0
P028;Foetus et nouveau-ne affectes par d'autres anomalies des mem;0
P029;Foetus et nouveau-ne affectes par une anomalie des membranes;0
Q850;Neurofibromatose (non maligne);0
Q851;Sclerose tubereuse;0
Q858;Autres phacomatoses  non classees ailleurs;0
Q859;Phacomatose  sans precision;0
Q85X;Phacomatoses  non classees ailleurs;0
Q860;Syndrome d'alcoolisme foetal (dysmorphique);0
Q861;Syndrome foetal du a l'hydantoine;0
Q862;Dysmorphisme du a la warfarine;0
Q868;Autres syndromes congenitaux malformatifs dus a des causes e;0
Q86X;Syndromes congenitaux malformatifs dus a des causes exogenes;0
Q870;Syndromes congenitaux malformatifs atteignant principalement;0
Q871;Syndromes congenitaux malformatifs associes principalement a;0
Q872;Syndromes congenitaux malformatifs impliquant principalement;0
Q873;Syndromes congenitaux malformatifs comprenant un gigantisme;0
Q874;Syndrome de Marfan;0
Q875;Autres syndromes congenitaux malformatifs avec d'autres modi;0
Q878;Autres syndromes congenitaux malformatifs precises  non clas;0
Q87X;Autres syndromes congenitaux malformatifs precises atteignan;0
Q890;Malformations congenitales de la rate;0
Q891;Malformations congenitales des surrenales;0
Q892;Malformations congenitales des autres glandes endocrines;0
Q893;Situs inversus;0
Q894;Jumeaux soudes;0
Q897;Malformations congenitales multiples  non classees ailleurs;0
Q898;Autres malformations congenitales precisees;0
Q899;Malformation congenitale  sans precision;0
Q89X;Autres malformations congenitales  non classees ailleurs;0
Q900;Trisomie 21  non-disjonction meiotique;0
Q901;Trisomie 21  mosaique chromosomique (non-disjonction mitotiq;0
Q902;Trisomie 21  translocation;0
Q909;Syndrome de Down  sans precision;0
Q90X;Syndrome de Down;0
Q910;Trisomie 18  non-disjonction meiotique;0
Q911;Trisomie 18  mosaique chromosomique (non-disjonction mitotiq;0
Q912;Trisomie 18  translocation;0
Q913;Syndrome d'Edwards  sans precision;0
Q914;Trisomie 13  non-disjonction meiotique;0
Q915;Trisomie 13  mosaique chromosomique (non-disjonction mitotiq;0
Q916;Trisomie 13  translocation;0
Q917;Syndrome de Patau  sans precision;0
Q91X;Syndrome d'Edwards et syndrome de Patau;0
Q920;Trisomie d'un chromosome entier  non-disjonction meiotique;0
Q921;Trisomie d'un chromosome entier  mosaique chromosomique (non;0
Q922;Trisomie partielle majeure;0
Q923;Trisomie partielle mineure;0
Q924;Duplications (des autosomes) vues seulement a la prometaphas;0
Q925;Duplications (des autosomes) avec autres rearrangements comp;0
Q926;Chromosomes marqueurs supplementaires;0
Q927;Triploidie et polyploidie;0
Q928;Autres trisomies et trisomies partielles precisees des autos;0
Q929;Trisomie et trisomie partielle des autosomes  sans precision;0
Q92X;Autres trisomies et trisomies partielles des autosomes  non;0
Q930;Monosomie d'un chromosome entier  non-disjonction meiotique;0
Q931;Monosomie d'un chromosome entier  mosaique chromosomique (no;0
Q932;Chromosome remplace par un anneau ou dicentrique;0
Q933;Deletion du bras court du chromosome 4;0
