VIC_PMP_COD;VIC_PMP_LIB;TEC_COL
IIII;VALEUR INCONNUE;1
7436;COUSEURS BRODEURS ET ASSIMILES;0
7437;TAPISSIERS ET ASSIMILES;0
7441;TANNEURS PEAUSSIERS;0
7442;ARTISANS ET OUVRIERS DE LA CHAUSSURE ET ASSIMILES;0
8111;CONDUCTEURS D'INSTALLATIONS DE MINE;0
8112;CONDUCTEURS D'INSTALLATIONS DE PREPARATION DES MINERAIS;0
8113;FOREURS SONDEURS DE PUITS ET ASSIMILES;0
8121;CONDUCTEURS DE FOURS;0
8122;CONDUCTEURS DE FOURS DEUXIEME FUSION DES METAUX COULEURS;0
8123;CONDUCTEURS D'INSTALLATIONS TRAITEMENT THERMIQUE DES METAUX;0
8124;TREFILEURS ET ETIREURS DE METAUX;0
8131;CONDUCTEURS DE FOURS DE VERRERIE ET DE CERAMIQUE;0
8139;CONDUCTEURS D'INSTALLATIONS DE VERRERIE ET DE CERAMIQUE;0
8141;CONDUCTEURS D'INSTALLATIONS POUR LE TRAVAIL DU BOIS;0
8142;CONDUCTEURS D'INSTALLATIONS FABRICATION  PATE A PAPIER;0
8143;CONDUCTEURS D'INSTALLATIONS POUR LA FABRICATION DU PAPIER;0
8151;CONDUCTEURS D'INSTAL. FRAGMENT.,BROYAGE,MALAXAGE CHIMIQUE;0
8152;CONDUCTEURS APPAREILS DE TRAITEMENT THERMIQUE DE LA CHIMIE;0
8153;CONDUCTEURS D'APPAREILS DE FILTRAGE, SEPARATION CHIMIQUES;0
8154;CONDUCTEURS D'APPAREILS DE DISTILLATION,REACTEURS CHIMIQUES;0
8155;CONDUCTEURS D'INSTALLATIONS DE RAFFINAGE DE PETROLE,GAZ;0
8159;CONDUCTEURS D'INSTALLATIONS DE TRAITEMENT CHIMIQUE;0
8161;CONDUCTEURS D'INSTALLATIONS DE PRODUCTION D'ENERGIE;0
8162;CHAUFFEURS DE MACHINES;0
8163;CONDUCTEURS D'INCINERATEURS,TRAITEMENT DE L'EAU;0
8171;CONDUCTEURS DE CHAINES DE MONTAGE AUTOMATIQUE;0
8172;CONDUCTEURS DE ROBOTS INDUSTRIELS;0
8211;CONDUCTEURS DE MACHINES OUTILS;0
8212;CONDUCTEURS DE MACHINES,FABRIQUE CIMENT,ET AUTRES MINERAUX;0
8221;CONDUCTEURS DE MACHINES FABRICAT. PRODUITS PHARMACEUTIQUES;0
8222;CONDUCTEURS DE MACHINES POUR LA FABRICATION DE MUNITIONS;0
8223;CONDUCTEURS DE MACHINES TRAITEMENT SUPERFICIEL DES METAUX;0
8224;CONDUCTEURS DE MACHINES FABRICAT. PRODUITS PHOTOGRAPHIQUES;0
8229;CONDUCTEURS DE MACHINES FABRICATION DES PRODUITS CHIMIQUES;0
8231;CONDUCTEURS DE MACHINES FABRICATION PRODUITS EN CAOUTCHOUC;0
8232;CONDUCTEURS DE MACHINES FABRIC. PRODUITS MATIERE PLASTIQUE;0
8240;CONDUCTEURS DE MACHINES;0
8251;CONDUCTEURS DE MACHINES D'IMPRIMERIE;0
8252;CONDUCTEURS DE MACHINES;0
8253;CONDUCTEURS DE MACHINES DE PAPETERIE;0
