SEE_RSQ_NUM;SEE_BUR_NUM;SEE_CTN_NUM;ATV_COD_STR;SEE_RSQ_LIB;GRT_ACT_NUM;CTN_COD_FIN;GFI_COD_FIN;CTN_COD_CAL;GFC_NUM_CAL;TOP_TAR_IND;RSQ_BUR_IND;RSQ_BEN_IND;RSQ_DOC_IND;TAU_ECR_RDO;RSQ_CGL_IND;RSQ_ETT_IND;RSQ_SAL_IND;RSQ_EFF_IND;RSQ_HRE_IND;RSQ_COT_IND;RSQ_EFF_NGL;RSQ_BAT_IND;RSQ_EXC_IND;TEC_COL
00000;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;1;0;0;0;0;0;0;0;1;0
00000;N;ZZ;X;compte special;0;ZZ;0;ZZ;0;;1;0;0;0;1;0;0;0;0;0;0;0;1;0
0000A;N;BB;X;Personnel des sièges sociaux et bureaux du BTP.;0;BB;21;BB;21;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
0000B;N;ZZ;X;Sièges sociaux et bureaux (hors BTP);0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
011AA;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
011AA;N;DD;X;Cultures et élevage dans les départements d'outre-mer;20;DD;27;DD;27;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
014AA;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;0;1;0;0;0;0;1;0
014AA;N;ZZ;X;Enoiseur;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;0;1;0;0;0;0;1;0
050AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
050AA;N;CC;X;Pêche en mer, entreprises d'armement pour la pêche en mer;04;CC;015;CC;015;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
111ZA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
111ZA;N;EE;X;Production de pétrole et de gaz naturel;07;EE;002;EE;002;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
111ZB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
111ZB;N;EE;X;Production de pétrole et de gaz naturel. Fabrication et distillation d'hydrocarbures benzéniques et de goudrons. Fabrication de térébenthine, de colophane et d;07;EE;002;EE;002;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
111ZC;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
111ZC;N;EE;X;Production,transport par conduite et raffinage de pétrole et de gaz. Fabrication d'ingrédients et d'additifs pour carburation et lubrification,de produits aspha;7;EE;11;EE;11;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
141AG;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
141AG;N;FF;X;Extraction et production de roches massives et de pierres de construction;14;FF;013;FF;013;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
141AH;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
141AH;N;FF;X;Extraction et préparation de matériaux issus des carrières de roches meubles ou massives;14;FF;13;FF;13;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
141CH;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
141CH;N;FF;X;Extraction et préparation d'amendements, de calcaires industriels, de craies, de gypses, de pierre à ciment et à chaux;14;FF;010;FF;010;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
142AE;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
142AE;N;FF;X;Extraction et préparation de matériaux alluvionnaires et de roches meubles;15;FF;014;FF;014;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
145ZL;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
145ZL;N;FF;X;Extraction, broyage et préparation de produits minéraux divers;20;FF;011;FF;011;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
145ZM;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
145ZM;N;FF;X;Extraction, broyage et préparation de produits minéraux divers;14;FF;10;FF;10;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
151AB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
151AB;N;DD;X;Abattage du bétail;01;DD;003;DD;003;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
151AC;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
