TEF_TRA_EFF;TEF_BOR_INF;TEF_BOR_SUP;TEF_TRA_LIB;TEC_COL
00;0;1;TRANCHE D'EFFECTIF DE 0 SALARIES;0
01;1;4;TRANCHE D'EFFECTIF DE 1 A 3 SALARIES;0
02;4;7;TRANCHE D'EFFECTIF DE 4 A 6 SALARIES;0
03;7;10;TRANCHE D'EFFECTIF DE 7 A 9 SALARIES;0
04;10;20;TRANCHE D'EFFECTIF DE 10 A 19 SALARIES;0
05;20;50;TRANCHE D'EFFECTIF DE 20 A 49 SALARIES;0
06;50;100;TRANCHE D'EFFECTIF DE 50 A 99 SALARIES;0
07;100;200;TRANCHE D'EFFECTIF DE 100 A 199 SALARIES;0
08;200;250;TRANCHE D'EFFECTIF DE 200 A 249 SALARIES;0
09;250;500;TRANCHE D'EFFECTIF DE 250 A 499 SALARIES;0
10;500;1000;TRANCHE D'EFFECTIF DE 500 A 999 SALARIES;0
11;1000;999999999;TRANCHE D'EFFECTIF DE 1000 SALARIES ET PLUS;0
99;0;0;VALEUR INCONNUE;1
