ETA_URS_COD;ETA_URS_LIB;EDI_TOP_COD;URS_DSN_LIB;NOM_VOI_LIB;COD_POS_COD;NOM_VIL_LIB;CEN_RTI_NUM;CEN_RTI_LIB;CRA_COD_NUM;INS_DPT_CD1;INS_DPT_CD2;INS_DPT_CD3;INS_DPT_CD4;INS_DPT_CD5;INS_DPT_CD6;INS_DPT_CD7;INS_DPT_CD8;TEC_COL
000;Sans Objet;?;Sans Objet;;?????;Sans Objet;??;Sans Objet;99;888;888;888;888;888;888;888;888;2
010;BOURG EN BRESSE;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;001;;;;;;;;0
020;AISNE;N;"URSSAF DE L""AISNE";116 Rue Léon Nanquette;02020;LAON CEDEX;59;LAMBERSART;4;002;000;000;000;000;000;000;000;0
030;MOULINS;N;"URSSAF DE L""ALLIER";9/11 RUE ACHILLE ROCHE BP1665;03016;MOULINS CEDEX;69;CERTIL LYON;2;003;000;000;000;000;000;000;000;0
040;DIGNE;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20, AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;004;;;;;;;;0
050;GAP;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20, AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;005;;;;;;;;0
061;NICE;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20, AV VITON;13299;MARSEILLE CEDEX 20;6;UR ALPES MARITIMES;;006;;;;;;;;0
071;PRIVAS;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;42;CERTIL LYON;;007;;;;;;;;0
080;CHARLEVILLE MEZIERE;N;URSSAF DE CHARLEVILLE MEZIERES;34 bis RUE FERROUL;08012;CHARLEVILLE MEZIERES CEDEX;54;CERTI NANCY;9;008;000;000;000;000;000;000;000;0
090;FOIX;N;"URSSAF DE L""ARIEGE";4 RUE VICTOR HUGO BP60;09002;FOIX CEDEX;31;CIRSO MIDI PYRENEES;16;009;000;000;000;000;000;000;000;0
100;TROYES;N;URSSAF DE TROYES;26 RUE COURTALOU BP 505;10080;TROYES CEDEX;54;CERTI NANCY;9;010;000;000;000;000;000;000;000;0
110;CARCASSONNE;N;URSSAF DE CARCASSONNE;20 RUE ST MICHEL;11876;CARCASSONNE CEDEX 9;34;SAP MONTPELLIER;8;011;000;000;000;000;000;000;000;0
116;PARIS TGE;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;075;;;;;;;;0
117;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;075;077;078;091;092;093;094;095;0
120;RODEZ;N;"URSSAF DE L""AVEYRON";AVENUE DE BOURRAN   BP 3124;12031;RODEZ CEDEX 9;31;CIRSO MIDI PYRENEES;16;012;000;000;000;000;000;000;000;0
130;MARSEILLE;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20 AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;013;;;;;;;;0
140;CAEN;N;URSSAF DU CALVADOS;22 RUE D ISIGNY;14045;CAEN CEDEX  9;14;UNICA CAEN;14;014;000;000;000;000;000;000;000;0
150;AURILLAC;N;URSSAF DU CANTAL;15 RUE PIERRE MARTY BP 209;15002;AURILLAC CEDEX;69;CERTIL DE LYON;2;015;000;000;000;000;000;000;000;0
160;"L""ISLE D""ESPAGNAC";N;URSSAF DE LA CHARENTE;3 RUE VICTOR HUGO;16901;ANGOULEME CEDEX 9;44;CIRTI NANTES;5;016;000;000;000;000;000;000;000;0
170;LA ROCHELLE;N;URSSAF DE LA CHARENTE-MARITIME;12 RUE NEWTON - ZAC DE BELLE AIRE;17445;AYTRE CEDEX;44;CIRTI NANTES;5;017;000;000;000;000;000;000;000;0
180;BOURGES;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;018;;;;;;;;0
190;TULLE;N;URSSAF DE LA CORREZE;38 QUAI DE RIGNY;19012;TULLE CEDEX;31;CIRSO MIDI PYRENEES;5;019;000;000;000;000;000;000;000;0
200;AJACCIO;N;URSSAF CORSE DU SUD, HAUTE CORSE;BD DE L ABBE RECCO  BP 901;20701;AJACCIO CEDEX 9;13;CIPAM MARSEILLE;;02A;02B;;;;;;;0
210;DIJON;N;URSSAF BOURGOGNE;8 BD GEORGES CLEMENCEAU;21037;DIJON CEDEX 9;54;CERTI NANCY;;021;;;;;;;;0
217;REIMS;N;URSSAF DE CHAMPAGNE-ARDENNES;202 RUE DES CAPUCINS;51089;REIMS CEDEX;54;CERTI NANCY;;008;010;051;052;;;;;0
220;SAINT BRIEUC;N;"URSSAF DES COTES D""ARMOR";53 BD CLEMENCEAU BP 2360;22093;ST BRIEUC CEDEX 9;44;CIRTI NANTES;13;022;000;000;000;000;000;000;000;0
227;AMIENS;N;URSSAF DE PICARDIE;1 AVENUE DU DANEMARK;80029;AMIENS CEDEX 1;59;LAMBERSART;;002;060;080;;;;;;0
