CUR_CUR_VIL;CUR_VIL_LIB;TEC_COL
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;Valeur inconnue;1
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;Sans objet;2
CRAN;CRANSAC;0
DAX;DAX;0
DIGN;DIGNE;0
DIVO;DIVONNE;0
EAUB;EAUX-BONNES;0
EAUC;EAUX CHAUDES;0
EUGE;EUGENIE;0
AIXE;AIX EN PROVENCE;0
AIXL;AIX LES BAINS;0
ALET;ALET;0
ALLE;ALLEVARD;0
AMEL;AMELIE;0
AMNE;AMNEVILLE;0
ARGE;ARGELES GAZOST;0
AULU;AULUS;0
EVAU;EVAUX;0
AVEN;AVENE;0
AXLT;AX LES THERMES;0
BAGB;BAGNERES DE BIGORRE;0
BAGL;BAGNOLES DE L'ORNE;0
BAGN;BAGNOLS;0
BAIN;BAINS LES BAINS;0
BARB;BARBAZAN;0
BARO;BARBOTAN;0
BARS;BAREGES-SERS;0
BEAU;BEAUCENS;0
BERT;BERTHEMEONT;0
BOLO;LE BOULOU;0
BOUA;BOURBON-L'ARCH.;0
BOUL;BOURBON LANCY;0
BOUR;BOURBONNE;0
BOUT;LA BOURBOULE;0
BRID;BRIDES-SALINS;0
EVIA;EVIAN;0
CAMO;CAMOINS;0
CAPV;CAPVERN;0
CAST;CASTELJALOUX;0
CASV;CASTERA-VERDUZAN;0
CAUT;CAUTERETS;0
CHAD;LA CHALDETTE;0
CHAL;CHALLES LES EAUX;0
CHAN;CHATEAUNEUF;0
CHAT;CHATEL-GUYON;0
CHAU;CHAUDES-AIGUES;0
CILA;CILAOS;0
CONT;CONTREXEVILLE;0
FUMA;FUMADES;0
GREO;GREOUX;0
GUAG;GUAGNO;0
JONZ;JONZAC;0
LAMA;LAMALOU;0
LECH;LA LECHERE;0
LECT;LECTOURE;0
LONS;LONS-LE-SAUNIER;0
LUCH;LUCHON;0
LUXE;LUXEUIL;0
LUZR;LUZ ST SAUVEUR;0
MAIZ;MAIZIERES;0
MOLI;MOLITG;0
MOND;MONT-DORE;0
MORU;MONTBRUN;0
MOTD;MONTROND;0
MOTS;MORSBRONN;0
NERI;NERIS;0
NEYR;NEYRAC;0
NIED;NIEDERBRONN;0
PECH;PECHELBRONN;0
PIET;PIETRAPOLA;0
PLOM;PLOMBIERES;0
PREC;PRECHACQ;0
PRES;LA PRESTE;0
RENN;RENNES;0
ROCS;ROCHE POSAY ST ROCH;0
ROCT;ROCHE POSAY CONNETABLE;0
ROFT;ROCHEFORT;0
ROYA;ROYAT;0
STAM;SAINT AMAND;0
STCA;SAINT CHRISTAU;0
STCM;ST CLAUDE MATOUBA P.;0
STGE;SAINT GERVAIS;0
STHO;SAINT HONORE;0
STLA;SAINT LARY;0
STLU;SAINT LAURENT;0
STNE;SAINT NECTAIRE;0
STPA;ST PAUL LES DAX;0
SUBE;SALIES DU BEARN;0
SUSA;SALIES DU SALAT;0
SUSB;SALINS LES BAINS;0
SUSS;SAUBUSSE;0
SUTN;SAUJON;0
TERC;TERCIS;0
THON;THONON;0
URIA;URIAGE;0
USSA;USSAT;0
VALS;VALS;0
VERN;VERNET;0
VICH;VICHY;0
VITT;VITTEL;0
ZIGL;ZIGLARIA;0
CAMB;CAMBO;0
AURE;AURESAN;0
BALA;BALARUC;0
DAXT;DAX THERMES;0
ENGH;ENGHIEN;0
