DDP_SPE_COD;DDP_SPE_LIB
0;SANS OBJET
11;MEDECINE GENERALE - PEDIATRIE - URGENCE MEDICALE
12;SPECIALITES MEDICALES
13;REANIMATION ET SURVEILLANCE CONTINUE
14;DIALYSE
15;INSUFFISANCE RESPIRATOIRE
16;SCANNER ET IRMN
21;CHIRURGIE GENERALE INFANTILE ET URGENCE CHIRURGICALE
22;SPECIALITES CHIRURGICALES
23;REANIMATION ET SURVEILLANCE CONTINUE CHIRURGICALE
30;GYNECOLOGIE OBSTETRIQUE IVG STERILITE
41;MALADIE A EVOLUTION PROLONGEE
42;CONVALESCENCE-REPOS-REGIME CURE MEDICALE (POUR PERSONNES AGEES NOTAMMENT)
43;REEDUCATION FONCTIONNELLE READAPTATION
44;CURES THERMALES
45;POST-CURES (POUR ALCOOLIQUES)
46;LUTTE CONTRE LA TUBERCULOSE ET LES MALADIES RESPIRATOIRES
47;CURES MEDICALES POUR ENFANTS
48;CURES MEDICALES SPECIALISEES
50;LONG SEJOUR
60;LUTTE CONTRE LES MALADIES MENTALES - TOXICOMANIES
71;DISCIPLINE POUR AUTORISATION DE SUPPLEMENT
72;DISCIPLINE POUR AUTORISATION DE SUPPLEMENT
81;EDUCATION SPECIALE ET PROFESSIONNELLE POUR DEFICIENTS MENTAUX, CARACTERIELS, POLYHANDICAPES ET AUTRES
82;EDUCATION SPECIALE POUR DEFICIENTS MOTEURS
83;EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS
84;ACTION MEDICO-SOCIALE PRECOCE
85;PRESTATIONS MEDICO-PEDAGOGIQUES
86;AUTRES PRESTATIONS MEDICO-SOCIALES POUR L ENFANCE HANDICAPEE
91;REINSERTION, REEDUCATION PROFESSIONNELLE ET PREORIENTATION
92;ACCUEIL SPECIALISE
93;AUTRES PRESTATIONS MEDICO-SOCIALES POUR ADULTES HANDICAPES
101;PRESTATIONS SANITAIRES AUX PERSONNES AGEES EN ETABLISSEMENT D HEBERGEMENT
102;AUTRES PRESTATIONS PERSONNES AGEES
110;PRESTATIONS MEDICO-SOCIALES
121;INDIFFERENCIEES
