CAT_PC3_CH3;CH3_PC3_LIB;TEC_COL
11;AGRICULTEURS SUR PETITE EXPLOITATION;0
12;AGRICULTEURS SUR MOYENNE EXPLOITATION;0
13;AGRICULTEURS SUR GRANDE EXPLOITATION;0
21;ARTISANS;0
22;COMMERCANTS ET ASSIMILES;0
23;CHEFS D'ENTREPRISE DE 10 SALARIES OU PLUS;0
31;PROFESSIONS LIBERALES;0
33;CADRES DE LA FONCTION PUBLIQUE;0
34;PROFESSEURS, PROFESSIONS SCIENTIFIQUES;0
35;PROFESSIONS DE L'INFORMATION, DES ARTS ET DES SPECTACLES;0
37;CADRES ADMINISTRATIFS ET COMMERCIAUX D'ENTREPRISE;0
38;INGENIEURS ET CADRES TECHNIQUES D'ENTREPRISE;0
42;PROFESSEURS DES ECOLES, INSTITUTEURS ET ASSIMILES;0
43;PROFESSIONS INTERMEDIAIRES DE LA SANTE ET  DU TRAVAIL SOCIAL;0
44;CLERGE, RELIGIEUX;0
45;PROFESSIONS INTERMEDIAIRES ADMINISTRATIVES DE LA FONCTION PUBLIQUE;0
46;PROFESSIONS INTERMEDIAIRES ADMINISTRATIVES ET COMMERCIALES DES ENTREPRISES;0
47;TECHNICIENS;0
48;CONTREMAITRES, AGENTS DE MAITRISE;0
52;EMPLOYES CIVILS ET AGENTS DE SERVICE DE LA FONCTION PUBLIQUE;0
53;POLICIERS ET MILITAIRES;0
54;EMPLOYES ADMINISTRATIFS D'ENTREPRISE;0
55;EMPLOYES DE COMMERCE;0
56;PERSONNELS DES SERVICES DIRECTS AUX PARTICULIERS;0
62;OUVRIERS QUALIFIES DE TYPE INDUSTRIEL;0
63;OUVRIERS QUALIFIES DE TYPE ARTISANAL;0
64;CHAUFFEURS;0
65;OUVRIERS QUALIFIES DE LA MANUTENTION, DU MAGASINAGE ET DU TRANSPORT;0
67;OUVRIERS NON QUALIFIES DE TYPE INDUSTRIEL;0
68;OUVRIERS NON QUALIFIES DE TYPE ARTISANAL;0
69;OUVRIERS AGRICOLES;0
71;ANCIENS AGRICULTEURS EXPLOITANTS;0
72;ANCIENS ARTISANS, COMMERCANTS, CHEFS D'ENTREPRISE;0
74;ANCIENS CADRES;0
75;ANCIENNES PROFESSIONS INTERMEDIAIRES;0
77;ANCIENS EMPLOYES;0
78;ANCIENS OUVRIERS;0
81;CHOMEURS N'AYANT JAMAIS TRAVAILLE;0
83;MILITAIRES DU CONTINGENT;0
84;ELEVES, ETUDIANTS;0
85;PERSONNES DIVERSES SANS ACTIVITE  PROFESSIONNELLE DE MOINS DE 60 ANS (SAUF RETRAITES);0
86;PERSONNES DIVERSES SANS ACTIVITE PROFESSIONNELLE DE 60 ANS ET PLUS (SAUF RETRAITES);0
