DTC_SRC_COD;DTC_SRC_LIB;TEC_COL
1;ASSURE SOCIAL;0
2;TIERS RESPONSABLE;0
3;ASSUREUR DU TIERS RESPONSABLE;0
4;ETABLISSEMENTS DE SANTE;0
5;PROFESSIONNELS DE SANTE;0
6;FORCE DE POLICE (POLICE / GENDARMERIE);0
7;POMPIERS;0
8;ASSOCIATION DE VICTIME;0
9;JURIDICTION;0
10;PLATEFORME TELEPHONIQUE;0
11;SERVICE DE PRODUCTION;0
12;SERVICE DES RENTES AT;0
13;SERVICE INVALIDITE;0
14;CRAMIF;0
15;ONIAM;0
16;CRCI;0
17;AVOCATS;0
18;ASSUREUR DE LA VICTIME;0
19;PROGRES;0
20;SERVICE MEDICAL;0
21;PRESSE LOCALE;0
22;FONDS DE GARANTIE;0
23;AUTRE;0
24;CAISSE D'AFFILIATION;0
25;victime;0
999;VALEUR INCONNUE;0
ASO;ASSURE SOCIAL;0
ASV;ASSUREUR DE LA VICTIME;0
ATR;ASSUREUR DU TIERS RESPONSABLE;0
AUT;AUTRE;0
AVI;ASSOCIATION DE VICTIME;0
AVO;AVOCATS;0
CAI;CAISSE D'AFFILIATION;0
CRA;CRAMIF;0
CRC;CRCI;0
ETS;ETABLISSEMENTS DE SANTE;0
FGA;FONDS DE GARANTIE;0
FPG;FORCE DE POLICE (POLICE / GENDARMERIE);0
INC;VALEUR INCONNUE;0
JUR;JURIDICTION;0
ONI;ONIAM;0
PFS;PROFESSIONNELS DE SANTE;0
PLO;PRESSE LOCALE;0
PLT;PLATEFORME TELEPHONIQUE;0
POM;POMPIERS;0
PRG;PROGRES;0
SAT;SERVICE DES RENTES AT;0
SIN;SERVICE INVALIDITE;0
SME;SERVICE MEDICAL;0
SPR;SERVICE DE PRODUCTION;0
TIR;TIERS RESPONSABLE;0
VIC;victime;0
