STA_DTL_COD;STA_DTL_LIB;STA_MTF_COD;STA_MTF_LIB;STA_COD;STA_LIB;TEC_COL
ACA;AUTRE CAISSE;AN;ABANDON;TE;TERMINE;0
AC;ABANDON DE CREANCE;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
AC;ABSENCE D'ACCIDENT;AN;ABANDON;TE;TERMINE;0
ADN;ADMIS. EN NON VALEUR;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
AF;ACCIDENT FORFUIT;AN;ABANDON;TE;TERMINE;0
AF;ACCIDENT FORTUIT;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
AF;ACCIDENT FORTUIT;AN;ABANDON;TE;TERMINE;0
AF;AT FONCTIONNAIRE;AN;ABANDON;TE;TERMINE;0
ALJ;ATTESTATION DU LIQUIDATEUR JUDICIAIRE;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
ANV;ADMISSION NON VALEUR;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
ANV;ANV;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
ART;ABSENCE DE RESP. TIERS;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
AR;ABSENCE DE RESPONSABILITE;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
AR;ABSENCE DE RESPONSABILITE;AN;ABANDON;TE;TERMINE;0
ATS;ACC.TRAV. SANS TIERS;AN;ABANDON;TE;TERMINE;0
AU;AUTRE;AN;ABANDON;TE;TERMINE;0
CA;CLOTURE AUTOMATIQUE;AN;ABANDON;TE;TERMINE;0
CD;Clos;CD;CLOTURE DEFINITIVE;CD;CLOTURE DEFINITIVE;0
CD;CLOTURE DEFINITIVE;CD;CLOTURE DEFINITIVE;CD;CLOTURE DEFINITIVE;0
CIM;CREANCE INFERIEUR A UN MONTANT FIXE;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
CIM;CREANCE INFERIEURE A UN MONTANT FIXE;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
CM;CREANCE MODIQUE;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
CM;CREANCE MODIQUE;AN;ABANDON;TE;TERMINE;0
COL;CLOTURE DES OPERATIONS DE LIQUIDATION;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
CS;CLOTURE AVEC SUITE;CS;CLOTURE AVEC SUITE;CS;CLOTURE AVEC SUITE;0
DA;DEFAUT D'ACTION;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
DA;DEFAUT D'ACTION;AN;ABANDON;TE;TERMINE;0
DCD;DECES DU DEBITEUR;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
DDF;DELAI DE FORCLUSION;AN;ABANDON;TE;TERMINE;0
DEF;VALEUR PAR DEFAUT;DEF;VALEUR PAR DEFAUT;DEF;VALEUR PAR DEFAUT;0
DE;DOUBLE EMPLOI;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
DE;DOUBLE EMPLOI;AN;ABANDON;TE;TERMINE;0
DIB;DISPARITION DU DEBITEUR;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
DJ;DECISION DE JUSTICE;AN;ABANDON;TE;TERMINE;0
EC;EN COURS;EC;EN COURS;EC;EN COURS;0
ER;ERREUR;AN;ABANDON;TE;TERMINE;0
FDG;FONDS DE GARANTIE;AN;ABANDON;TE;TERMINE;0
FIA;FIABILISATION;AN;ABANDON;TE;TERMINE;0
FOR;FORCLUSION;AN;ABANDON;TE;TERMINE;0
FV;FAUTE VICTIME;AN;ABANDON;TE;TERMINE;0
IB;INSOLVABILITE DU DEBITEUR;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
IB;TIERS INSOLVABLE;ANV;ADMISSION EN NON VALEUR;TE;TERMINE;0
INC;VALEUR INCONNUE;INC;VALEUR INCONNUE;INC;VALEUR INCONNUE;0
IS;En instance;IS;EN INSTANCE;IS;EN INSTANCE;0
NIP;NON INTERVENTION PIP;AN;ABANDON;TE;TERMINE;0
PA;PAS D ACCIDENT;AN;ABANDON;TE;TERMINE;0
PI;PURGE ICARE 2003;AN;ABANDON;TE;TERMINE;0
PR;PRESCRIPTION;AN;ABANDON;TE;TERMINE;0
RA;REGLEMENT AMIABLE;AN;ABANDON;TE;TERMINE;0
RA;REOUVERTURE POUR AGGRAVATION;RA;REOUVERTURE POUR AGGRAVATION;EC;EN COURS;0
RDC;REMISE DETTE CRA;AN;ABANDON;TE;TERMINE;0
RD;REMISE DE DETTE;AN;ABANDON;TE;TERMINE;0
RP;REOUVERTURE POUR PROCEDURE;RP;REOUVERTURE POUR PROCEDURE;EC;EN COURS;0
SLD;SOLDE;SLD;SOLDE;TE;TERMINE;0
SO;SANS OBJET;AN;ABANDON;TE;TERMINE;0
SP;SANS PRESTATIONS;AN;ABANDON;TE;TERMINE;0
SP;SANS PRESTATION;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
SP;SANS PRESTATION;AN;ABANDON;TE;TERMINE;0
SR;SANS REPONSE;AN;ABANDON;TE;TERMINE;0
ST;SANS TIERS;AN;ABANDON;TE;TERMINE;0
TE;termine;SLD;SOLDE;TE;TERMINE;0
TNI;TIERS NON IDENTIFIES;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
TNI;TIERS NON IDENTIFIE;ANS;AFFAIRE NON SUIVIE;TE;TERMINE;0
TR;TRANSACTION;AN;ABANDON;TE;TERMINE;0
;VALEUR INCONNUE;;VALEUR INCONNUE;;VALEUR INCONNUE;1
