ETE_CAT_SNDS;ETE_LIB_LIB
1101;CENTRES HOSPITALIERS REGIONAUX
1102;CENTRES HOSPITALIERS
1103;CENTRES HOSPITALIERS SPECIALISES EN PSYCHIATRIE
1104;AUTRES CENTRES HOSPITALIERS SPECIALISES
1106;HOPITAUX LOCAUX
1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES
1108;CENTRES DE MOYEN ET LONG SEJOUR
1109;CENTRES DE LONG SEJOUR
1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE)
1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES
1112;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE
1113;ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES
1114;CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES
1201;TRAITEMENT ET SOINS A DOMICILE
1203;DIALYSE AMBULATOIRE
1204;URGENCE ET REANIMATION
1205;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
2100;CABINETS LIBERAUX (SCANNER ET IRMN)
2201;CENTRES DE SANTE
2202;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE
2204;ETABLISSEMENTS NON LOI HOSPITALIERE
3401;TRANSFUSION SANGUINE
3402;CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS
3403;STRUCTURES ET FILIERES DE SOINS SOUBIE
3404;STRUCTURES ET FILIERES DE SOINS HORS SOUBIE
4101;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES
4102;ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT
4103;ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS
4104;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS
4105;ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES
4106;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES
4107;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE
4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES
4302;ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES
4303;ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES
4304;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES
4401;ETABLISSEMENT D HEBERGEMENT
4402;SERVICES SANITAIRES DE MAINTIEN A DOMICILE
4404;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES
4501;ETABLISSEMENT DE L AIDE A L  ENFANCE
4601;ETABLISSEMENTS POUR ADULTES EN DIFFICULTE
4603;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES
4604;AUTRES ETABLISSEMENTS D ACCUEIL
4605;ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE
4606;CENTRE DE RESSOURCES
9999;VALEUR INCONNUE
