ORG_BSE_OLD;ORG_BSE_NEW;ORG_BSE_ORD
02A601;02A601;1
02A611;02A611;1
02A621;02A621;1
02A631;02A631;1
02A641;02A641;1
02A651;02A651;1
02A661;02A661;1
02A671;02A671;1
02A672;02A672;1
02A681;02A681;1
02A691;02A691;1
02A701;02A701;1
02A711;02A711;1
02A721;02A721;1
02A731;02A731;1
02A741;02A741;1
02A751;02A751;1
02A761;02A761;1
02A771;02A771;1
02A781;02A781;1
02A791;02A791;1
02A801;02A801;1
02A811;02A811;1
02A821;02A821;1
02A831;02A831;1
02A841;02A841;1
02A851;02A851;1
02A861;02A861;1
02A862;02A862;1
02A871;02A871;1
02A881;02A881;1
02A891;02A891;1
02A901;02A901;1
02A911;02A911;1
02A921;02A921;1
02A931;02A931;1
02A941;02A941;1
02A951;02A951;1
02A971;02A971;1
02A972;02A972;1
02A973;02A973;1
02A974;02A974;1
02A999;02A999;1
02C011;02C011;1
02C021;02C021;1
02C022;02C022;1
02C031;02C031;1
02C032;02C032;1
02C041;02C041;1
02C051;02C051;1
02C061;02C061;1
02C071;02C071;1
02C072;02C072;1
02C081;02C081;1
02C091;02C091;1
02C101;02C101;1
02C102;02C102;1
02C111;02C111;1
02C121;02C121;1
02C122;02C122;1
02C131;02C131;1
02C141;02C141;1
02C151;02C151;1
02C161;02C161;1
02C171;02C171;1
02C181;02C181;1
02C182;02C182;1
02C191;02C191;1
02C211;02C211;1
02C231;02C231;1
02C232;02C232;1
02C251;02C251;1
02C252;02C252;1
02C261;02C261;1
02C272;02C272;1
02C301;02C301;1
02C311;02C311;1
02C312;02C312;1
02C321;02C321;1
02C341;02C341;1
02C351;02C351;1
02C371;02C371;1
02C372;02C372;1
02C381;02C381;1
02C391;02C391;1
02C411;02C411;1
02C431;02C431;1
02C441;02C441;1
02C451;02C451;1
02C461;02C461;1
02C471;02C471;1
02C481;02C481;1
02C491;02C491;1
02C501;02C501;1
02C511;02C511;1
02C512;02C512;1
02C521;02C521;1
02C541;02C541;1
02C542;02C542;1
02C551;02C551;1
02C571;02C571;1
02C581;02C581;1
02C595;02C595;1
02C601;02C601;1
02C671;02C671;1
02C672;02C672;1
02C681;02C681;1
02C701;02C701;1
02C741;02C741;1
02C771;02C771;1
02C791;02C791;1
02C862;02C862;1
02C881;02C881;1
02C911;02C911;1
02C931;02C931;1
02C941;02C941;1
02C971;02C971;1
02C972;02C972;1
02C973;02C973;1
02C974;02C974;1
03A001;03A001;1
03A002;03A002;1
03A003;03A003;1
03A004;03A004;1
03A005;03A005;1
03A006;03A006;1
03A007;03A007;1
03A008;03A008;1
03A009;03A009;1
03A010;03A010;1
03A011;03A011;1
03A012;03A012;1
03A013;03A013;1
03A014;03A014;1
03A015;03A015;1
03A016;03A016;1
03A017;03A017;1
03A018;03A018;1
03A019;03A019;1
03A020;03A020;1
03A021;03A021;1
03A022;03A022;1
03A023;03A023;1
03A024;03A024;1
03A025;03A025;1
03A026;03A026;1
03A027;03A027;1
03A028;03A028;1
03A029;03A029;1
03A031;03A031;1
03A032;03A032;1
03A033;03A033;1
03A034;03A034;1
03A035;03A035;1
03A036;03A036;1
03A037;03A037;1
03A038;03A038;1
03A039;03A039;1
03A040;03A040;1
