ORG_CAI_OLD;ORG_CAI_NEW;ORG_CAI_ORD
761;764;1
762;764;2
763;763;1
764;764;3
770;770;1
771;771;1
781;781;1
789;789;1
791;791;1
801;801;1
811;811;1
821;821;1
831;831;1
841;841;1
851;851;1
861;861;1
871;871;1
888;888;1
891;891;1
901;901;1
911;911;1
921;921;1
928;928;1
931;931;1
941;941;1
951;951;1
971;971;1
972;972;1
973;973;1
974;974;1
976;976;1
980;980;1
990;990;1
999;999;1
991;991;1
0;000;1
11;011;1
12;012;1
21;021;1
22;021;2
31;031;1
41;041;1
51;051;1
61;061;1
71;072;1
72;072;2
81;081;1
91;091;1
100;100;1
101;101;1
111;111;1
121;121;1
131;131;1
141;141;1
151;151;1
161;161;1
171;171;1
181;181;1
191;191;1
201;201;1
202;202;1
211;211;1
221;221;1
231;231;1
241;241;1
251;251;1
252;251;2
261;261;1
271;271;1
281;281;1
291;291;1
292;291;2
301;301;1
311;311;1
321;321;1
331;331;1
341;342;1
342;342;2
351;351;1
361;361;1
371;371;1
381;381;1
382;381;2
391;391;1
401;401;1
411;411;1
421;422;1
422;422;2
431;431;1
441;441;1
442;441;2
451;451;1
461;461;1
471;471;1
481;481;1
491;491;1
492;491;2
501;501;1
511;511;1
521;521;1
531;531;1
541;542;1
542;542;2
551;551;1
561;561;1
571;571;1
572;571;2
573;571;3
581;581;1
591;594;1
592;599;1
593;595;1
594;594;2
595;595;2
596;599;2
597;597;1
598;597;2
599;599;3
601;601;1
602;601;2
611;611;1
621;624;1
622;623;1
623;623;2
624;624;2
631;631;1
641;641;1
642;642;1
651;651;1
661;661;1
671;673;1
672;673;2
673;673;3
681;682;1
682;682;2
691;691;1
692;691;2
701;701;1
711;711;1
721;721;1
731;731;1
741;741;1
751;751;1
752;752;1
759;759;1
881;881;1
459;459;1
512;512;1
909;909;1
400;400;1
800;800;1
225;225;1
609;609;1
194;194;1
196;196;1
