VEX_EXL_VUE;VEX_INS_VUE
BIDON;DIAM
DPRA_ADM043;DIAM
DPRA_ADM044;DIAM
DPRA_ADM051;DIAM
DPRA_ADM052;DIAM
DPRA_ADM053;DIAM
DPRA_ADM054;DIAM
DPRA_ADM061;DIAM
DPRA_ADM062;DIAM
DPRA_ADM063;DIAM
DPRA_ADM064;DIAM
DPRA_ADM071;DIAM
DPRA_ADM072;DIAM
DPRA_ADM073;DIAM
DPRA_ADM074;DIAM
DPRA_ADM081;DIAM
DPRA_ADM082;DIAM
DPRA_ADM083;DIAM
DPRA_ADM084;DIAM
DPRA_ADM091;DIAM
DPRA_ADM092;DIAM
DPRA_ADM093;DIAM
DPRA_AMB043;DIAM
DPRA_AMB044;DIAM
DPRA_AMB051;DIAM
DPRA_AMB052;DIAM
DPRA_AMB053;DIAM
DPRA_AMB054;DIAM
DPRA_AMB061;DIAM
DPRA_AMB062;DIAM
DPRA_AMB063;DIAM
DPRA_AMB064;DIAM
DPRA_AMB071;DIAM
DPRA_AMB072;DIAM
DPRA_AMB073;DIAM
DPRA_AMB074;DIAM
DPRA_AMB081;DIAM
DPRA_AMB082;DIAM
DPRA_AMB083;DIAM
DPRA_AMB084;DIAM
DPRA_AMB091;DIAM
DPRA_AMB092;DIAM
DPRA_AMB093;DIAM
DPRA_DEN043;DIAM
DPRA_DEN044;DIAM
DPRA_DEN051;DIAM
DPRA_DEN052;DIAM
DPRA_DEN053;DIAM
DPRA_DEN054;DIAM
DPRA_DEN061;DIAM
DPRA_DEN062;DIAM
DPRA_DEN063;DIAM
DPRA_DEN064;DIAM
DPRA_DEN071;DIAM
DPRA_DEN072;DIAM
DPRA_DEN073;DIAM
DPRA_DEN074;DIAM
DPRA_DEN081;DIAM
DPRA_DEN082;DIAM
DPRA_DEN083;DIAM
DPRA_DEN084;DIAM
DPRA_DEN091;DIAM
DPRA_DEN092;DIAM
DPRA_DEN093;DIAM
DPRA_INF043;DIAM
DPRA_INF044;DIAM
DPRA_INF051;DIAM
DPRA_INF052;DIAM
DPRA_INF053;DIAM
DPRA_INF054;DIAM
DPRA_INF061;DIAM
DPRA_INF062;DIAM
DPRA_INF063;DIAM
DPRA_INF064;DIAM
DPRA_INF071;DIAM
DPRA_INF072;DIAM
DPRA_INF073;DIAM
DPRA_INF074;DIAM
DPRA_INF081;DIAM
DPRA_INF082;DIAM
DPRA_INF083;DIAM
DPRA_INF084;DIAM
DPRA_INF091;DIAM
DPRA_INF092;DIAM
DPRA_INF093;DIAM
DPRA_LAB043;DIAM
DPRA_LAB044;DIAM
DPRA_LAB051;DIAM
DPRA_LAB052;DIAM
DPRA_LAB053;DIAM
DPRA_LAB054;DIAM
DPRA_LAB061;DIAM
DPRA_LAB062;DIAM
DPRA_LAB063;DIAM
DPRA_LAB064;DIAM
DPRA_LAB071;DIAM
DPRA_LAB072;DIAM
DPRA_LAB073;DIAM
DPRA_LAB074;DIAM
DPRA_LAB081;DIAM
DPRA_LAB082;DIAM
DPRA_LAB083;DIAM
DPRA_LAB084;DIAM
DPRA_LAB091;DIAM
DPRA_LAB092;DIAM
DPRA_LAB093;DIAM
DPRA_MAS043;DIAM
DPRA_MAS044;DIAM
DPRA_MAS051;DIAM
DPRA_MAS052;DIAM
DPRA_MAS053;DIAM
DPRA_MAS054;DIAM
DPRA_MAS061;DIAM
DPRA_MAS062;DIAM
DPRA_MAS063;DIAM
DPRA_MAS064;DIAM
DPRA_MAS071;DIAM
DPRA_MAS072;DIAM
DPRA_MAS073;DIAM
DPRA_MAS074;DIAM
DPRA_MAS081;DIAM
DPRA_MAS082;DIAM
DPRA_MAS083;DIAM
DPRA_MAS084;DIAM
DPRA_MAS091;DIAM
DPRA_MAS092;DIAM
DPRA_MAS093;DIAM
DPRA_MCT051;DIAM
DPRA_MCT052;DIAM
DPRA_MCT053;DIAM
DPRA_MCT054;DIAM
DPRA_MCT061;DIAM
DPRA_MCT062;DIAM
DPRA_MCT063;DIAM
DPRA_MCT064;DIAM
DPRA_MCT071;DIAM
DPRA_MCT072;DIAM
DPRA_MCT073;DIAM
DPRA_MCT074;DIAM
DPRA_MCT081;DIAM
DPRA_MCT082;DIAM
DPRA_MCT083;DIAM
DPRA_MCT084;DIAM
DPRA_MCT091;DIAM
DPRA_MCT092;DIAM
DPRA_MCT093;DIAM
DPRA_MED043;DIAM
DPRA_MED044;DIAM
DPRA_MED051;DIAM
DPRA_MED052;DIAM
DPRA_MED053;DIAM
DPRA_MED054;DIAM
DPRA_MED061;DIAM
DPRA_MED062;DIAM
DPRA_MED063;DIAM
DPRA_MED064;DIAM
DPRA_MED071;DIAM
DPRA_MED072;DIAM
DPRA_MED073;DIAM
DPRA_MED074;DIAM
DPRA_MED081;DIAM
DPRA_MED082;DIAM
DPRA_MED083;DIAM
DPRA_MED084;DIAM
DPRA_MED091;DIAM
DPRA_MED092;DIAM
DPRA_MED093;DIAM
DPRA_MEF043;DIAM
DPRA_MEF044;DIAM
DPRA_MEF051;DIAM
DPRA_MEF052;DIAM
DPRA_MEF053;DIAM
DPRA_MEF054;DIAM
DPRA_MEF061;DIAM
DPRA_MEF062;DIAM
DPRA_MEF063;DIAM
DPRA_MEF064;DIAM
DPRA_MEF071;DIAM
DPRA_MEF072;DIAM
DPRA_MEF073;DIAM
DPRA_MEF074;DIAM
DPRA_MEF081;DIAM
DPRA_MEF082;DIAM
DPRA_MEF083;DIAM
DPRA_MEF084;DIAM
DPRA_MTT051;DIAM
DPRA_MTT052;DIAM
DPRA_MTT053;DIAM
DPRA_MTT054;DIAM
DPRA_MTT061;DIAM
DPRA_MTT062;DIAM
DPRA_MTT063;DIAM
DPRA_MTT064;DIAM
DPRA_MTT071;DIAM
DPRA_MTT072;DIAM
DPRA_MTT073;DIAM
DPRA_MTT074;DIAM
DPRA_MTT081;DIAM
DPRA_MTT082;DIAM
DPRA_MTT083;DIAM
DPRA_MTT084;DIAM
DPRA_MTT091;DIAM
DPRA_MTT092;DIAM
DPRA_MTT093;DIAM
DPRA_ORT043;DIAM
DPRA_ORT044;DIAM
DPRA_ORT051;DIAM
DPRA_ORT052;DIAM
DPRA_ORT053;DIAM
DPRA_ORT054;DIAM
DPRA_ORT061;DIAM
DPRA_ORT062;DIAM
DPRA_ORT063;DIAM
