ORG_ACO_COD;ORG_ACO_LIB;TEC_COL
101070;POINTE-A-PITRE;0
102070;CAYENNE;0
103070;FORT-DE-FRANCE;0
104070;SAINT-DENIS;0
999999;VALEUR INCONNUE;1
000000;SANS OBJET;2
077000;MOA A COMPLETER;0
092076;MOA A COMPLETER;0
098070;MOA A COMPLETER;0
001070;BOURG-EN-BRESSE;0
002070;LAON;0
002270;SAINT-QUENTIN;0
003070;MOULINS;0
004070;DIGNE;0
005070;GAP;0
006070;NICE;0
007070;PRIVAS;0
007071;ANNONAY;0
008070;CHARLEVILLE-MEZIERES;0
009070;FOIX;0
010070;TROYES;0
011070;CARCASSONNE;0
012070;RODEZ;0
013070;MARSEILLE;0
014070;CAEN;0
015070;AURILLAC;0
016070;ANGOULEME;0
017070;LA ROCHELLE;0
018070;BOURGES;0
019070;TULLE;0
020070;AJACCIO;0
020071;BASTIA;0
021070;DIJON;0
022070;SAINT-BRIEUC;0
023070;GUERET;0
024070;PERIGUEUX;0
025070;BESANCON;0
025170;MONTBELIARD;0
026070;VALENCE;0
027070;EVREUX;0
028070;CHARTRES;0
029070;BREST;0
029270;QUIMPER;0
030070;NIMES;0
031070;TOULOUSE;0
032070;AUCH;0
033070;BORDEAUX;0
034070;MONTPELLIER;0
034170;BEZIERS;0
035070;RENNES;0
036070;CHATEAUROUX;0
037070;TOURS;0
038070;GRENOBLE;0
038170;VIENNE;0
039070;LONS LE SAUNIER;0
040070;MONT DE MARSAN;0
041070;BLOIS;0
042070;SAINT-ETIENNE;0
042270;ROANNE;0
043070;LE PUY;0
044070;NANTES;0
044071;SAINT-NAZAIRE;0
045070;ORLEANS;0
046070;CAHORS;0
047070;AGEN;0
048070;MENDE;0
049070;ANGERS;0
049170;CHOLET;0
050070;SAINT-LO;0
051270;REIMS;0
052070;CHAUMONT;0
053070;LAVAL;0
054070;NANCY;0
106077;MAYOTTE;0
054071;LONGWY;0
055070;BAR LE DUC;0
056070;VANNES;0
057070;METZ;0
057071;SARREGUEMINES;0
057072;THIONVILLE;0
058070;NEVERS;0
059070;LILLE;0
059071;ARMENTIERES;0
059072;DUNKERQUE;0
059073;ROUBAIX;0
059074;TOURCOING;0
059370;DOUAI;0
059371;CAMBRAI;0
059570;VALENCIENNES;0
059571;MAUBEUGE;0
060070;BEAUVAIS;0
060270;CREIL;0
061070;ALENCON;0
062070;ARRAS;0
062071;LENS;0
062270;BOULOGNE S/MER;0
062271;CALAIS;0
063070;CLERMONT-FERRAND;0
064070;PAU;0
064170;BAYONNE;0
065070;TARBES;0
066070;PERPIGNAN;0
067070;STRASBOURG;0
067071;HAGUENAU;0
067072;SELESTAT;0
068070;COLMAR;0
068170;MULHOUSE;0
069070;LYON;0
069170;VILLEFRANCHE S/SAONE;0
070070;VESOUL;0
071070;MACON;0
072070;C.P.A.M. DU MANS;0
073070;CHAMBERY;0
074070;ANNECY;0
075072;PARIS;0
076070;ROUEN;0
076071;ELBEUF;0
076170;DIEPPE;0
076270;LE HAVRE;0
077070;MELUN;0
078070;VERSAILLES;0
079070;NIORT;0
080070;AMIENS;0
081070;ALBI;0
082070;MONTAUBAN;0
083070;TOULON;0
084070;AVIGNON;0
085070;LA ROCHE S/YON;0
086070;POITIERS;0
087070;LIMOGES;0
088070;EPINAL;0
089070;AUXERRE;0
090070;BELFORT;0
091070;EVRY;0
092070;NANTERRE;0
093070;BOBIGNY;0
094070;CRETEIL;0
095070;CERGY-PONTOISE;0
