PFS_ACT_NAT;PFS_ACT_CAT;ACT_POS;ACT_NAT_LIB;SPE_LIB_SNI;TEC_COL
0;99;0;NON RENSEIGNE;NON RENSEIGNE;2
19;4;5;CHIRURGIE DENTAIRE;CHIRURGIE DENTAIRE;0
21;5;4;SAGE-FEMME;SAGE-FEMME;0
24;6;6;INFIRMIER;INFIRMIER;0
25;9;6;PSYCHOLOGUE CLINICIEN / PSYCHOTHERAPEUTE;PSYCH CLINICIEN/THERAPEUTE;0
26;7;6;MASSEUR - KINESITHERAPEUTE;MASSEUR KINESITHERAPEUTE;0
27;8;6;PEDICURE-PODOLOGUE;PEDICURE-PODOLOGUE;0
28;9;6;ORTHOPHONISTE;ORTHOPHONISTE;0
29;10;6;ORTHOPTISTE;ORTHOPTISTE;0
30;11;7;LABORATOIRE;LABO. D ANALYSES MEDICALES;0
39;11;7;LABORATOIRE POLYVALENT;LABORATOIRE POLYVALENT;0
40;11;7;LABORATOIRE ANATOMO-PATHOLOGISTE;LAB.ANATOM.CYTOL.PATHOLOG.;0
50;12;8;PHARMACIE D OFFICINE;PHARMACIE D OFFICINE;0
51;12;8;PHARMACIE MUTUALISTE;PHARMACIE MUTUALISTE;0
52;12;8;PHARMACIE HOSPITALIERE;PHARMACIE HOSPITALIERE;0
53;4;5;CHIRURGIE DENTAIRE;CHIRURGIE DENTAIRE (C.O.);0
54;4;5;CHIRURGIE DENTAIRE;CHIRURGIE DENTAIRE(M.B.D.);0
55;12;8;AMBULANCIER;TRANSPORTEUR SANITAIRE;0
56;12;8;TAXI;TAXI;0
57;12;8;AUTRE TRANSPORTEUR;AUTRE TRANSPORTEUR;0
60;12;8;FOURNISSEUR (SOCIETE);FOURNISSEUR (SOCIETE);0
61;12;8;FOURNISSEUR (ARTISAN);FOURNISSEUR (ARTISAN);0
62;12;8;FOURNISSEUR (ASSOCIATION);FOURNISSEUR (ASSOCIATION);0
63;12;8;FOURNISSEUR (ORTHESES);FOURNISSEUR (ORTHESES);0
64;12;8;FOURNISSEUR (OPTIQUE MEDICALE);FOURNISSEUR (OPTIQUE);0
65;12;8;FOURNISSEUR (AUDIOPROTHESES);FOURNISSEUR (AUDIOPROTH.);0
66;12;8;FOURNISSEUR (PROTHESES OCULAIRES ET FACIALES);FOURNISSEUR (PROTH.OCULAI);0
67;12;8;FOURNISSEUR (PODO-ORTHESES);FOURNISSEUR (PODO-ORTHESE);0
68;12;8;FOURNISSEUR (ORTHO-PROTHESES);FOURNISSEUR (ORTHO-PROTH.);0
99;99;0;VALEUR INCONNUE;VALEUR INCONNUE;1
86;6;6;INFIRMIER EN PRATIQUE AVANCEE;INFIRMIER PRATIQUE AVANCEE;0
