AGE_COD;AGE_INS_LIB;AGE_PS5_COD;AGE_SEP_COD;AGE_TRC_SPS;VIC_ACC_TRA;AGE_AMO;LIB_AMO;TEC_COL
0;0 - 4 ANS;0;1;0-15 ANS;2;1;CT1a;0
1;0 - 4 ANS;1;4;0-15 ANS;2;1;CT1a;0
2;0 - 4 ANS;1;4;0-15 ANS;2;2;CT1b;0
3;0 - 4 ANS;1;4;0-15 ANS;2;2;CT1b;0
4;0 - 4 ANS;1;4;0-15 ANS;2;2;CT1b;0
5;5 - 9 ANS;5;9;0-15 ANS;2;2;CT1b;0
6;5 - 9 ANS;5;9;0-15 ANS;2;3;CT1c;0
7;5 - 9 ANS;5;9;0-15 ANS;2;3;CT1c;0
8;5 - 9 ANS;5;9;0-15 ANS;2;3;CT1c;0
9;5 - 9 ANS;5;9;0-15 ANS;2;3;CT1c;0
10;10 - 14 ANS;10;10;0-15 ANS;2;3;CT1c;0
11;10 - 14 ANS;10;10;0-15 ANS;2;4;CT1d;0
12;10 - 14 ANS;10;10;0-15 ANS;2;4;CT1d;0
13;10 - 14 ANS;10;10;0-15 ANS;2;4;CT1d;0
14;10 - 14 ANS;10;10;0-15 ANS;2;4;CT1d;0
15;15 - 19 ANS;15;10;0-15 ANS;2;4;CT1d;0
16;15 - 19 ANS;15;10;16-59 ANS;2;5;CT2a;0
17;15 - 19 ANS;15;10;16-59 ANS;2;5;CT2a;0
18;15 - 19 ANS;15;10;16-59 ANS;2;5;CT2a;0
19;15 - 19 ANS;15;10;16-59 ANS;2;5;CT2a;0
20;20 - 24 ANS;20;20;16-59 ANS;3;5;CT2a;0
21;20 - 24 ANS;20;20;16-59 ANS;3;5;CT2a;0
22;20 - 24 ANS;20;20;16-59 ANS;3;5;CT2a;0
23;20 - 24 ANS;20;20;16-59 ANS;3;5;CT2a;0
24;20 - 24 ANS;20;20;16-59 ANS;3;5;CT2a;0
25;25 - 29 ANS;25;20;16-59 ANS;4;6;CT2b;0
26;25 - 29 ANS;25;20;16-59 ANS;4;6;CT2b;0
27;25 - 29 ANS;25;20;16-59 ANS;4;6;CT2b;0
28;25 - 29 ANS;25;20;16-59 ANS;4;6;CT2b;0
29;25 - 29 ANS;25;20;16-59 ANS;4;6;CT2b;0
30;30 - 34 ANS;30;30;16-59 ANS;5;6;CT2b;0
31;30 - 34 ANS;30;30;16-59 ANS;5;6;CT2b;0
32;30 - 34 ANS;30;30;16-59 ANS;5;6;CT2b;0
