CPL_ANO_COD;CPL_ANO_LIB;TEC_COL
0;Pas d'anomalie ou absence de complément d'acte;2
1;Type de remboursement égal à 0 avec complément d'acte/prestation de remboursement<>Majoration/Nature de prestation de référence = Nature de prestation de remboursement;0
2;Type de remboursement égal à 0 avec complément d'acte/prestation de remboursement=Majoration/Nature de prestation de référence=Nature de prestation de remboursement;0
3;Type de remboursement égal à 0 avec complément d'acte/prestation de remboursement<>Majoration/Nature de prestation de référence<>Nature de prestation de remboursement;0
4;Type de remboursement égal à 0 avec complément d'acte/prestation de remboursement=Majoration/Nature de prestation de référence<>Nature de prestation de remboursement;0
5;Type de remboursement égal à 1 sans complément d'acte/prestation de remboursement<>Majoration/Nature de prestation de référence=Nature de prestation de remboursement;0
6;Type de remboursement égal à 1 avec complément d'acte/prestation de remboursement=Majoration/Nature de prestation de référence=Nature de prestation de remboursement;0
7;Type de remboursement égal à 1 sans complément d'acte/prestation de remboursement<>Majoration/Nature de prestation de référence<>Nature de prestation de remboursement;0
8;Type de remboursement égal à 1 avec complément d'acte/prestation de remboursement=Majoration/Nature de prestation de référence<>Nature de prestation de remboursement;0
9;Valeur Inconnue;1
