BIO_PRS_IDE;BIO_INF_LIB;BIO_CRE_DAT;BIO_SUP_DAT;BIO_ARB_CHA;BIO_ARB_SC1;BIO_ARB_SC2;BIO_ARB_SC3;BIO_ARB_SC4;BIO_ARB_BAS;BIO_PHY_GRP;BIO_GRP_LIB;BIO_HIS_DTD;BIO_HIS_DTF;BIO_ENP_TOP;BIO_TUX_TOP;BIO_MAX_EXE;BIO_SPE_REG;BIO_MAX_REG;BIO_MED_REF;BIO_RES_TOP;BIO_BIO_INV;BIO_SNG_TOP;BIO_TAR_NAT;BIO_TAR_COF
4;HISTOPATH. BIOPSIES UNIQUES OU MULTIPLES NON INDIVIDUALISEES;01JAN1996:00:00:00;;1;0;0;0;0;1.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;100.00
5;HISTOPATH. BIOPSIES ETAGEES SUR MEME ORGANE ET INDIVIDUALISEES;01JAN1996:00:00:00;;1;0;0;0;0;2.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;130.00
6;HISTOPATH. PIECE OPER. INTERESSANT UN ORGANE;01JAN1996:00:00:00;;1;0;0;0;0;3.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;1;;B;120.00
7;HISTOPATH. PRELEV. RESEC. OU CURETAGE ENDOSC. OU ENDOCAVIT.;01JAN1996:00:00:00;;1;0;0;0;0;4.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;120.00
8;HISTOPATH. PIECE OPER. COMPLEXE COMPORTANT PLUSIEURS ORGANES;01JAN1996:00:00:00;;1;0;0;0;0;5.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;1;;B;220.00
12;EX. EXTEMPORANE AVEC CONTROLE HISTOPATH. ULTERIEUR;01JAN1996:00:00:00;;1;0;0;0;0;6.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;1;;0;;1;;;B;300.00
13;FCU-DI -FROTTIS;01JAN1996:00:00:00;;1;0;0;0;0;7.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;;1;;0;;;;;B;47.00
14;CYTOPATH. LIQ. EPANCHEMENT, LAVAGE ALVEOLAIRE OU VESICAL, LCR;01JAN1996:00:00:00;;1;0;0;0;0;13.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;100.00
15;CYTOPATH. SUR PONCTION GANGLION, TUMEUR, ORGANE;01JAN1996:00:00:00;;1;0;0;0;0;14.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;120.00
16;CYTOPATH. SUR PONCTIONS PLUSIEURS ZONES DE VOISINAGE;01JAN1996:00:00:00;;1;0;0;0;0;15.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;;;B;130.00
17;ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES EN PARAFFINE OU RESINE;01JAN1996:00:00:00;;1;0;0;0;0;16.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;1;;B;200.00
18;ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES A CONGELATION;01JAN1996:00:00:00;;1;0;0;0;0;17.000000;90;AUTRES (tous les autres codes);01DEC1998:00:00:00;;;;0;;0;;1;1;;B;300.00
21;MAJORATION PROVISOIRE CONVENTIONNELLE DE L'ACTE 0008 : LESIONS TUMORALES;28JUL2005:00:00:00;;1;0;0;0;0;22.000000;90;AUTRES (tous les autres codes);03OCT2007:00:00:00;;;;0;;0;;1;1;;B;50.00
22;MAJORATION PROVISOIRE DE L'ACTE 0008 : LESIONS TUMORALES MALIGNES;04OCT2007:00:00:00;;1;0;0;0;0;23.000000;90;AUTRES (tous les autres codes);04OCT2007:00:00:00;;;;0;;0;;1;1;;B;100.00
23;EXAMEN IMMUNOCYTOCHIMIQUE EN COMPLEMENT D'UN ACTE ACP (0014-0015);23SEP2009:00:00:00;;1;0;0;0;0;18.000000;90;AUTRES (tous les autres codes);26SEP2010:00:00:00;;;;0;;0;;1;1;;B;200.00
24;HPV:DETECTION DU GENOME DES PAPILLOMAVIRUS ONCOGENES-DEPISTAGE INDIVIDUEL;23SEP2009:00:00:00;;1;0;0;0;0;19.000000;90;AUTRES (tous les autres codes);01APR2020:00:00:00;;;;1;;0;1;;;;B;100.00
25;EXAMEN ANATOMOPATHOLOGIQUE PAR HYBRIDATION IN SITU;23SEP2009:00:00:00;;1;0;0;0;0;21.000000;90;AUTRES (tous les autres codes);26SEP2010:00:00:00;;;;1;;0;1;1;1;;B;500.00
26;FCU-DI -TECHNIQUE MONOCOUCHE;19APR2019:00:00:00;;1;0;0;0;0;8.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;;1;;0;;;;;B;47.00
27;FCU-DO - FROTTIS;19APR2019:00:00:00;;1;0;0;0;0;9.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;1;1;;0;;;;;B;47.00
28;FCU-DO - TECHNIQUE MONOCOUCHE;19APR2019:00:00:00;;1;0;0;0;0;10.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;1;1;;0;;;;;B;47.00
29;FCU-DC - FROTTIS;19APR2019:00:00:00;;1;0;0;0;0;11.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;;1;;0;;;;;B;55.00
30;FCU-DC - TECHNIQUE MONOCOUCHE;19APR2019:00:00:00;;1;0;0;0;0;12.000000;90;AUTRES (tous les autres codes);09MAY2019:00:00:00;;;;1;;0;;;;;B;55.00
31;HPV:DETECTION DU GENOME DES PAPILLOMAVIRUS HUMAINS ONCOGENES DEPISTAGE ORGANISE;25MAR2020:00:00:00;;1;0;0;0;0;20.000000;90;AUTRES (tous les autres codes);01APR2020:00:00:00;;;1;1;;0;1;;;;B;100.00
40;CARYOTYPE CONSTITUTIONNEL PRENATAL AVEC INCUBATION;01JAN1996:00:00:00;;2;0;0;0;0;1.000000;27;DPN (marqueur risque T21) + CARYOTYPE FOETAL;27NOV2009:00:00:00;;1;1;1;;0;1;1;;1;B;850.00
41;TECHNIQUES AVEC CULTURE (LIQUIDE AMNIOTIQUE, CULTURES DE VILLOSITES CHORIALES);01JAN1996:00:00:00;;2;0;0;0;0;2.000000;27;DPN (marqueur risque T21) + CARYOTYPE FOETAL;17JAN2019:00:00:00;;1;1;1;;0;1;1;;;B;1250.00
54;CONGELATION D'EMBRYONS ( PAR CYCLE);01JAN1996:00:00:00;19SEP2019:00:00:00;3;2;0;0;0;11.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;19SEP2019:00:00:00;;;1;;0;1;1;;;B;350.00
59;PREPARATION DES SPERMATOZOIDES EN VUE D'IIU (INSEMINATION INTRA-UTERINE);25JAN2000:00:00:00;;3;1;0;0;0;1.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;28FEB2002:00:00:00;;;;1;;0;1;1;;;B;200.00
60;FECONDATION IN VITRO SANS MICROMANIPULATION (FIV);25JAN2000:00:00:00;;3;1;0;0;0;2.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;08FEB2009:00:00:00;;;;1;;0;1;1;;;B;1550.00
61;FECONDATION IN VITRO PAR MICROMANIPULATION (ICSI);25JAN2000:00:00:00;;3;1;0;0;0;3.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;01APR2019:00:00:00;;;;1;;0;1;1;;;B;2500.00
