BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
557;30MAR1997:00:00:00;B;31DEC9999:00:00:00;20.00
559;11DEC2005:00:00:00;B;18JAN2010:00:00:00;40.00
559;19JAN2010:00:00:00;B;10FEB2011:00:00:00;30.00
559;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25.00
563;11NOV2007:00:00:00;B;10FEB2011:00:00:00;10.00
563;11FEB2011:00:00:00;B;30JAN2012:00:00:00;8.00
563;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7.00
563;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
565;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60.00
566;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60.00
567;27MAR1997:00:00:00;B;31DEC9999:00:00:00;20.00
570;11NOV2007:00:00:00;B;12APR2014:00:00:00;55.00
570;13APR2014:00:00:00;B;31MAR2019:00:00:00;53.00
571;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15.00
571;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10.00
571;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
571;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7.00
571;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
578;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15.00
578;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10.00
578;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
578;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7.00
578;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
580;11DEC2005:00:00:00;B;26NOV2009:00:00:00;5.00
580;27NOV2009:00:00:00;B;31DEC9999:00:00:00;5.00
584;11DEC2005:00:00:00;B;18JAN2010:00:00:00;15.00
584;19JAN2010:00:00:00;B;31MAR2017:00:00:00;7.00
584;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
590;11DEC2005:00:00:00;B;26NOV2009:00:00:00;10.00
590;27NOV2009:00:00:00;B;18JAN2010:00:00:00;10.00
590;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
590;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7.00
590;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
591;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10.00
591;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
591;11FEB2011:00:00:00;B;17JUN2011:00:00:00;7.00
591;18JUN2011:00:00:00;B;31MAR2017:00:00:00;7.00
591;01APR2017:00:00:00;B;18SEP2019:00:00:00;6.00
592;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10.00
592;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
592;11FEB2011:00:00:00;B;03SEP2014:00:00:00;7.00
592;04SEP2014:00:00:00;B;31MAR2017:00:00:00;7.00
592;01APR2017:00:00:00;B;18SEP2019:00:00:00;6.00
593;11DEC2005:00:00:00;B;17JUN2011:00:00:00;10.00
593;18JUN2011:00:00:00;B;30JAN2012:00:00:00;10.00
593;31JAN2012:00:00:00;B;16APR2013:00:00:00;9.00
593;17APR2013:00:00:00;B;03SEP2014:00:00:00;8.00
593;04SEP2014:00:00:00;B;31MAR2017:00:00:00;8.00
593;01APR2017:00:00:00;B;19SEP2019:00:00:00;7.00
603;11DEC2005:00:00:00;B;31DEC9999:00:00:00;10.00
611;11DEC2005:00:00:00;B;31DEC9999:00:00:00;70.00
614;11DEC2005:00:00:00;B;31DEC9999:00:00:00;230.00
620;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5.00
622;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10.00
622;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
622;11FEB2011:00:00:00;B;31DEC9999:00:00:00;7.00
624;11DEC2005:00:00:00;B;18JAN2010:00:00:00;20.00
624;19JAN2010:00:00:00;B;10FEB2011:00:00:00;10.00
624;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7.00
624;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
627;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10.00
627;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8.00
627;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7.00
627;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
629;11DEC2005:00:00:00;B;10FEB2011:00:00:00;15.00
629;11FEB2011:00:00:00;B;30JAN2012:00:00:00;8.00
629;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7.00
629;01APR2017:00:00:00;B;31DEC9999:00:00:00;6.00
630;11DEC2005:00:00:00;B;10FEB2011:00:00:00;10.00
630;11FEB2011:00:00:00;B;31DEC9999:00:00:00;7.00
631;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5.00
635;11DEC2005:00:00:00;B;18JAN2010:00:00:00;70.00
635;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60.00
635;11FEB2011:00:00:00;B;31DEC9999:00:00:00;55.00
637;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5.00
638;11DEC2005:00:00:00;B;31DEC9999:00:00:00;70.00
640;11DEC2005:00:00:00;B;16APR2013:00:00:00;10.00
640;17APR2013:00:00:00;B;31MAR2019:00:00:00;7.00
647;11DEC2005:00:00:00;B;31DEC9999:00:00:00;5.00
657;27MAR1997:00:00:00;B;31DEC9999:00:00:00;140.00
659;27MAR1997:00:00:00;B;07FEB2009:00:00:00;120.00
659;08FEB2009:00:00:00;B;30JAN2012:00:00:00;110.00
659;31JAN2012:00:00:00;B;12APR2014:00:00:00;95.00
659;13APR2014:00:00:00;B;31DEC9999:00:00:00;90.00
662;27MAR1997:00:00:00;B;30JAN2012:00:00:00;120.00
662;31JAN2012:00:00:00;B;31DEC9999:00:00:00;100.00
663;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70.00
664;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120.00
665;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120.00
666;01JAN1996:00:00:00;B;24DEC2008:00:00:00;50.00
666;25DEC2008:00:00:00;B;31DEC9999:00:00:00;90.00
667;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70.00
668;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190.00
671;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120.00
672;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70.00
673;27MAR1997:00:00:00;B;31DEC9999:00:00:00;120.00
674;27MAR1997:00:00:00;B;31DEC9999:00:00:00;190.00
679;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60.00
691;11DEC2005:00:00:00;B;16APR2013:00:00:00;10.00
691;17APR2013:00:00:00;B;31DEC9999:00:00:00;9.00
693;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
701;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120.00
701;08FEB2009:00:00:00;B;18JAN2010:00:00:00;100.00
701;19JAN2010:00:00:00;B;10FEB2011:00:00:00;90.00
701;11FEB2011:00:00:00;B;31MAR2017:00:00:00;85.00
701;01APR2017:00:00:00;B;31DEC9999:00:00:00;80.00
703;28JAN2004:00:00:00;B;31DEC9999:00:00:00;110.00
714;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
714;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90.00
714;19JAN2010:00:00:00;B;19APR2016:00:00:00;80.00
714;20APR2016:00:00:00;B;31DEC9999:00:00:00;78.00
727;28JAN2004:00:00:00;B;10FEB2011:00:00:00;80.00
727;11FEB2011:00:00:00;B;04JAN2022:00:00:00;70.00
745;28JAN2004:00:00:00;B;31DEC9999:00:00:00;120.00
756;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70.00
763;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100.00
764;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
764;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80.00
764;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70.00
774;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110.00
774;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90.00
776;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
776;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90.00
776;19JAN2010:00:00:00;B;19APR2016:00:00:00;80.00
776;20APR2016:00:00:00;B;31DEC9999:00:00:00;78.00
777;28JAN2004:00:00:00;B;07FEB2009:00:00:00;120.00
777;08FEB2009:00:00:00;B;18JAN2010:00:00:00;110.00
777;19JAN2010:00:00:00;B;10FEB2011:00:00:00;80.00
777;11FEB2011:00:00:00;B;31MAR2019:00:00:00;75.00
779;11NOV2007:00:00:00;B;07FEB2009:00:00:00;90.00
779;08FEB2009:00:00:00;B;18JAN2010:00:00:00;75.00
779;19JAN2010:00:00:00;B;10FEB2011:00:00:00;65.00
779;11FEB2011:00:00:00;B;12JUL2017:00:00:00;55.00
779;13JUL2017:00:00:00;B;31DEC9999:00:00:00;55.00
780;28JAN2004:00:00:00;B;18JAN2010:00:00:00;100.00
780;19JAN2010:00:00:00;B;19APR2016:00:00:00;90.00
780;20APR2016:00:00:00;B;31MAR2017:00:00:00;88.00
780;01APR2017:00:00:00;B;13APR2018:00:00:00;85.00
783;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100.00
785;28JAN2004:00:00:00;B;18JAN2010:00:00:00;80.00
785;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70.00
805;31JAN2005:00:00:00;B;31DEC9999:00:00:00;1100.00
806;31JAN2005:00:00:00;B;31DEC9999:00:00:00;550.00
812;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
812;08FEB2009:00:00:00;B;12APR2014:00:00:00;90.00
812;13APR2014:00:00:00;B;19APR2016:00:00:00;89.00
812;20APR2016:00:00:00;B;31DEC9999:00:00:00;86.00
813;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110.00
813;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90.00
814;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
814;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90.00
814;19JAN2010:00:00:00;B;12APR2014:00:00:00;80.00
814;13APR2014:00:00:00;B;31DEC9999:00:00:00;79.00
821;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100.00
821;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80.00
821;19JAN2010:00:00:00;B;10FEB2011:00:00:00;70.00
821;11FEB2011:00:00:00;B;12APR2014:00:00:00;65.00
821;13APR2014:00:00:00;B;31DEC9999:00:00:00;60.00
822;28JAN2004:00:00:00;B;12APR2014:00:00:00;100.00
822;13APR2014:00:00:00;B;31DEC9999:00:00:00;90.00
823;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100.00
884;28JAN2004:00:00:00;B;31DEC9999:00:00:00;200.00
901;30DEC2004:00:00:00;B;31DEC9999:00:00:00;800.00
902;30DEC2004:00:00:00;B;31DEC9999:00:00:00;1200.00
903;30APR2007:00:00:00;B;31DEC9999:00:00:00;500.00
904;30APR2007:00:00:00;B;31DEC9999:00:00:00;1000.00
905;30APR2007:00:00:00;B;31DEC9999:00:00:00;500.00
906;30APR2007:00:00:00;B;31DEC9999:00:00:00;800.00
907;30APR2007:00:00:00;B;31DEC9999:00:00:00;1200.00
966;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55.00
966;11FEB2011:00:00:00;B;13APR2018:00:00:00;51.00
967;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55.00
967;11FEB2011:00:00:00;B;13APR2018:00:00:00;51.00
968;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55.00
968;11FEB2011:00:00:00;B;13APR2018:00:00:00;51.00
1241;13AUG1997:00:00:00;B;31DEC9999:00:00:00;60.00
1242;12OCT1997:00:00:00;B;31DEC9999:00:00:00;80.00
1245;11DEC2005:00:00:00;B;04SEP2014:00:00:00;30.00
1246;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60.00
1246;19JAN2010:00:00:00;B;31DEC9999:00:00:00;50.00
1247;11DEC2005:00:00:00;B;18JAN2010:00:00:00;60.00
