VER_TRT_DAT;VER_TRT_NRO;VER_TRT_VRS
02APR2014:00:00:00;41;0001
13OCT2011:00:00:00;36;0001
01SEP2014:00:00:00;42;0001
12APR2016:00:00:00;43;0001
28MAR2017:00:00:00;44;0001
12JAN2012:00:00:00;37;0001
28MAR2013:00:00:00;38;0001
04JUL2013:00:00:00;39;0001
10MAR2014:00:00:00;40;0001
03JUL2017:00:00:00;45;0001
25JAN2019:00:00:00;50;0001
18OCT2019:00:00:00;56;0001
02JUN2020:00:00:00;62;0001
30SEP2020:00:00:00;63;0001
15SEP2017:00:00:00;46;0001
27JUN2018:00:00:00;48;0001
21FEB2019:00:00:00;51;0001
27MAR2020:00:00:00;58;0001
11MAY2020:00:00:00;60;0001
14DEC2020:00:00:00;65;0001
23FEB2021:00:00:00;70;0001
12APR2018:00:00:00;47;0001
07JAN2019:00:00:00;49;0001
07AUG2019:00:00:00;54;0001
13SEP2019:00:00:00;55;0001
09MAR2020:00:00:00;57;0001
19OCT2020:00:00:00;64;0001
17MAR2021:00:00:00;71;0001
26MAR2019:00:00:00;52;0001
30APR2019:00:00:00;53;0001
08FEB2021:00:00:00;69;0001
06APR2021:00:00:00;72;0001
02FEB2022:00:00:00;77;0001
09JUL2021:00:00:00;75;0001
30DEC2021:00:00:00;76;0001
28FEB2022:00:00:00;78;0001
01JUN2021:00:00:00;73;0001
23JUN2021:00:00:00;74;0001
