DPN_QLF;PFS_CAT_COD
0;0
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
11;0
11;1
11;4
12;1
12;3
12;4
12;5
12;6
12;7
12;8
12;9
13;0
13;5
13;6
14;1
14;4
15;8
20;0
20;1
20;2
20;3
20;4
20;5
20;6
20;7
20;8
20;9
30;0
30;1
30;2
30;3
30;4
30;5
30;6
30;7
30;8
30;9
35;0
35;1
35;2
35;3
35;4
35;5
35;6
35;7
35;8
35;9
40;0
40;1
40;3
40;4
40;5
40;6
40;7
40;8
40;9
50;0
50;1
50;2
50;3
50;4
50;5
50;6
50;7
50;8
50;9
61;0
61;1
62;0
62;1
63;0
63;1
63;2
64;0
64;1
65;1
66;0
66;1
66;3
66;4
66;5
66;6
66;7
66;8
66;9
71;0
72;0
99;0
99;1
99;2
99;3
99;4
99;5
99;6
99;7
99;8
99;9
