ORG_BSE_NUM;ORG_CAI_NUM;ORG_CAI_LIB;PIV_CAI_TOP;ORG_CAI_TYP;TEC_COL
01A011;011;MOA A COMPLETER;0;AR;0
01A101;101;MOA A COMPLETER;0;AR;0
01A331;331;MOA A COMPLETER;0;AR;0
01A551;551;MOA A COMPLETER;0;AR;0
01A661;661;MOA A COMPLETER;0;AR;0
01A972;972;MOA A COMPLETER;0;AR;0
01A999;999;MOA A COMPLETER;0;AR;0
01C000;000;ENIM;0;AR;0
01C011;011;CPAM Bourg-en-Bresse;0;RG;0
01C012;012;CPAM;0;NA;0
01C021;021;CPAM de l'Aisne;0;RG;0
01C022;022;CPAM Saint-Quentin;0;RG;0
01C031;031;CPAM Moulins;0;RG;0
01C041;041;CPAM Digne;0;RG;0
01C051;051;CPAM Gap;0;RG;0
01C061;061;CPAM Nice;0;RG;0
01C071;071;CPAM Annonay;0;RG;0
01C072;072;CPAM de l'Ardèche;0;RG;0
01C081;081;CPAM Charleville-Mezieres;0;RG;0
01C091;091;CPAM Foix;0;RG;0
01C100;100;CAISSE 100 INCONNUE du REGIME 01;0;RP;0
01C101;101;CPAM Troyes;0;RG;0
01C111;111;CPAM Carcassonne;0;RG;0
01C121;121;CPAM Rodez;0;RG;0
01C131;131;CPAM Marseille;0;RG;0
01C141;141;CPAM Caen;0;RG;0
01C151;151;CPAM Aurillac;0;RG;0
01C161;161;CPAM Angouleme;0;RG;0
01C171;171;CPAM La Rochelle;0;RG;0
01C181;181;CPAM Bourges;0;RG;0
01C191;191;CPAM Tulle;0;RG;0
01C201;201;CPAM Ajaccio;0;RG;0
01C202;202;CPAM Bastia;0;RG;0
01C211;211;CPAM Dijon;0;RG;0
01C221;221;CPAM Saint-Brieuc;0;RG;0
01C231;231;CPAM Gueret;0;RG;0
01C241;241;CPAM Perigueux;0;RG;0
01C251;251;CPAM du Doubs;0;RG;0
01C252;252;CPAM Montbeliard;0;RG;0
01C261;261;CPAM Valence;0;RG;0
01C271;271;CPAM Evreux;0;RG;0
01C281;281;CPAM Chartres;0;RG;0
01C291;291;CPAM du Finistère;0;RG;0
01C292;292;CPAM Quimper;0;RG;0
01C301;301;CPAM Nimes;0;RG;0
01C311;311;CPAM Toulouse;0;RG;0
01C321;321;CPAM Auch;0;RG;0
01C331;331;CPAM Bordeaux;0;RG;0
01C341;341;CPAM Beziers;0;RG;0
01C342;342;CPAM de l'Hérault;0;RG;0
01C351;351;CPAM Rennes;0;RG;0
