CAM_PRS_IDE_COD;CAM_PRS_IDE_LIB
AHQP001;Électromyographie par électrode de surface, sans enregistrement vidéo
AHQP002;Électromyographie par électrode de surface, avec enregistrement vidéo
AHQB027;Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille
AHQB025;Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille
AHQB024;Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille
AHQB026;Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille
AHQB013;Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille
AHQB032;Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs
AHQB033;Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus
AHQB015;Électromyographie de fibre unique, par électrode aiguille
AHQB006;Macroélectromyographie, par électrode aiguille
AHQB001;Électromyographie, au lit du malade
AHQP003;Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale
AHQP008;Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs
AHQP010;Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale
AHQP009;Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs
AHQP011;Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs
AHQP012;Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus
AHQP013;Mesure des vitesses de conduction sensitive du nerf dorsal du pénis
ADQP014;Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin
AHQB019;Mesure des latences des réflexes sacraux
AHQD003;Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale
AHRP001;Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire
AHQP900;Mesure du réflexe nociceptif R III
AHQP016;Mesure des réflexes H et/ou T
AAQP007;Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo
AAQP129;Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 30 minutes, avec numérisation et enregistrement vidéo, chez un patient de moins de 6 ans
AAQP350;Électroencéphalographie sur 14 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, avec numérisation chez un patient de 6 ans ou plus
AAQP011;Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade
AAQP006;Électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo
AAQP010;Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo
