"CAM_PRS_IDE_COD";"CAM_PRS_IDE_LIB";"CAM_PRS_RGT"
"AHQP001";"Électromyographie par électrode de surface, sans enregistrement vidéo";"ATM"
"AHQP002";"Électromyographie par électrode de surface, avec enregistrement vidéo";"ATM"
"AHQB027";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"ATM"
"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"ATM"
"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille";"ATM"
"AHQB026";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"ATM"
"AHQB013";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille";"ATM"
"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"ATM"
"AHQB033";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"ATM"
"AHQB015";"Électromyographie de fibre unique, par électrode aiguille";"ATM"
"AHQB006";"Macroélectromyographie, par électrode aiguille";"ATM"
"AHQB001";"Électromyographie, au lit du malade";"ATM"
"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale";"ATM"
"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"ATM"
"AHQP010";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale";"ATM"
"AHQP009";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs";"ATM"
"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"ATM"
"AHQP012";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"ATM"
"AHQP013";"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis";"ATM"
"ADQP014";"Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin";"ATM"
"AHQB019";"Mesure des latences des réflexes sacraux";"ATM"
"AHQD003";"Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale";"ATM"
"AHRP001";"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire";"ATM"
"AHQP900";"Mesure du réflexe nociceptif R III";"ATM"
"AHQP016";"Mesure des réflexes H et/ou T";"ATM"
"AAQP007";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo";"ATM"
"AAQP129";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 30 minutes, avec numérisation et enregistrement vidéo, chez un patient de moins de 6 ans";"ATM"
"AAQP350";"Électroencéphalographie sur 14 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, avec numérisation chez un patient de 6 ans ou plus";"ATM"
"AAQP011";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade ";"ATM"
"AAQP006";"Électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo";"ATM"
"AAQP010";"Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo";"ATM"
"AAQP002";"Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]";"ATM"
"AAQP009";"Électroencéphalographie avec quantification, sur 32 dérivations ou plus";"ATM"
"AAQP900";"Électroencéphalographie avec modélisation de sources, sur 32 dérivations ou plus";"ATM"
"AALA002";"Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie";"ADC"
"AALB002";"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique";"ATM"
"AAQP013";"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures";"ATM"
"AAQP003";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures";"ATM"
"AAQP012";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures";"ATM"
"AMQP009";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives";"ATM"
"AMQP010";"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo";"ATM"
"AMQP011";"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo";"ATM"
"AMQP012";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo";"ATM"
"AMQP013";"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo";"ATM"
"AMQP014";"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo";"ATM"
"AMQP015";"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo";"ATM"
"AJQP001";"Mesure des réponses cutanées sympathiques par électrode de surface";"ATM"
"ABLB001";"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques";"ADC"
"ABLB002";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne";"ADC"
"ABLB003";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne";"ADC"
"AFLB004";"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques";"ADC"
"ABGA001";"Ablation d'un capteur de pression intracrânienne";"ADC"
"ABQP001";"Surveillance continue de la pression intracrânienne, par 24 heures";"ATM"
"AAQM002";"Échographie transfontanellaire de l'encéphale";"ADE"
"AEQM001";"Échographie transcutanée de la moelle épinière";"ADE"
"AEQH002";"Myélographie cervicale";"ADI"
