CAT_CIM_COD;CAT_CIM_LIB;TEC_COL
H65;Otite moyenne non suppurée;0
H80;Otosclérose;0
H91;Autres pertes de l'audition;0
H94;Autres affections de l'oreille au cours de maladies classées ailleurs;0
I10;Hypertension essentielle (primitive);0
I11;Cardiopathie hypertensive;0
G05;Encéphalite, myélite et encéphalomyélite au cours d'affections classées ailleurs;0
G09;Séquelles d'affections inflammatoires du système nerveux central;0
G26;Syndromes extrapyramidaux et troubles de la motricité au cours d'affections classées ailleurs;0
G35;Sclérose en plaques;0
G41;État de mal épileptique;0
G51;Affections du nerf facial;0
G57;Mononévrite du membre inférieur;0
G58;Autres mononévrites;0
J18;Pneumopathie à micro-organisme non précisé;0
J30;Rhinite allergique et vasomotrice;0
J34;Autres maladies du nez et des sinus du nez;0
J35;Maladies chroniques des amygdales et des végétations adénoïdes;0
J37;Laryngite et laryngo-trachéite chroniques;0
J47;Bronchectasie;0
J67;Pneumopathie par hypersensibilité aux poussières organiques;0
J69;Pneumopathie due à des substances solides et liquides;0
J70;Affections respiratoires dues à d'autres agents externes;0
J85;Abcès du poumon et du médiastin;0
J91;Épanchement pleural au cours de maladies classées ailleurs;0
K00;Troubles de l'odontogénèse;0
K03;Autres maladies des tissus dentaires durs;0
K11;Maladies des glandes salivaires;0
I22;Infarctus du myocarde à répétition;0
I23;Certaines complications récentes d'un infarctus aigu du myocarde;0
I25;Cardiopathie ischémique chronique;0
I30;Péricardite aiguë;0
I44;Bloc de branche gauche et auriculoventriculaire;0
I64;Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus;0
I99;Troubles autres et non précisés de l'appareil circulatoire;0
J04;Laryngite et trachéite aiguës;0
J05;Laryngite obstructive aiguë [croup] et épiglottite aiguë;0
J06;Infections aiguës des voies respiratoires supérieures, à localisations multiples et non précisées;0
J09;Grippe, à virus aviaire identifié;0
J13;Pneumonie due à Streptococcus pneumoniae;0
L01;Impétigo;0
L04;Lymphadénite aiguë;0
L11;Autres acantholyses;0
L22;Dermite fessière du nourrisson;0
L29;Prurit;0
L43;Lichen plan;0
L82;Kératose séborrhéique;0
L89;Ulcère de décubitus et zone de pression;0
L92;Lésions granulomateuses de la peau et du tissu cellulaire sous-cutané;0
L99;Autres affections de la peau et du tissu cellulaire sous-cutané au cours de maladies classées ailleurs;0
M01;Arthrites infectieuses directes au cours de maladies infectieuses et parasitaires classées ailleurs;0
K22;Autres maladies de l'oesophage;0
K26;Ulcère du duodénum;0
K56;Iléus paralytique et occlusion intestinale sans hernie;0
K60;Fissure et fistule des régions anale et rectale;0
K67;Atteintes péritonéales au cours de maladies infectieuses classées ailleurs;0
K82;Autres maladies de la vésicule biliaire;0
K83;Autres maladies des voies biliaires;0
M12;Autres arthropathies spécifiques;0
M32;Lupus érythémateux disséminé;0
M41;Scoliose;0
M60;Myosite;0
M83;Ostéomalacie de l'adulte;0
M67;Autres atteintes de la synoviale et du tendon;0
M71;Autres bursites;0
M93;Autres ostéochondropathies;0
M95;Autres déformations du système ostéo-articulaire, des muscles et du tissu conjonctif;0
M84;Anomalie de la continuité osseuse;0
M89;Autres maladies osseuses;0
O02;Autres produits anormaux de la conception;0
O11;Prééclampsie surajoutée à une hypertension chronique;0
O12;Oedème et protéinurie gestationnels [liés à la grossesse] sans hypertension;0
O35;Soins maternels pour anomalie et lésion foetales, connues ou présumées;0
O40;Hydramnios;0
O42;Rupture prématurée des membranes;0
N05;Syndrome néphritique, sans précision;0
N08;Glomérulopathies au cours de maladies classées ailleurs;0
N16;Maladies rénales tubulo-interstitielles au cours de maladies classées ailleurs;0
N23;Colique néphrétique, sans précision;0
N32;Autres affections de la vessie;0
N33;Affections de la vessie au cours de maladies classées ailleurs;0
N60;Dysplasies mammaires bénignes;0
N86;Érosion et ectropion du col de l'utérus;0
P81;Autres troubles de la régulation thermique du nouveau-né;0
Q02;Microcéphalie;0
Q41;Absence, atrésie et sténose congénitales de l'intestin grêle;0
Q42;Absence, atrésie et sténose congénitales du côlon;0
O70;Déchirure obstétricale du périnée;0
O73;Rétention du placenta et des membranes, sans hémorragie;0
O81;Accouchement unique par forceps et ventouse;0
O84;Accouchements multiples;0
O91;Infections mammaires associées à l'accouchement;0
O95;Mort d'origine obstétricale de cause non précisée;0
O99;Autres maladies de la mère classées ailleurs mais compliquant la grossesse, l'accouchement et la puerpéralité;0
P00;Foetus et nouveau-né affectés par des affections maternelles, éventuellement sans rapport avec la grossesse actuelle;0
P11;Autres lésions du système nerveux central dues à un traumatisme obstétrical;0
P23;Pneumopathie congénitale;0
P29;Affections cardio-vasculaires survenant pendant la période périnatale;0
P39;Autres infections spécifiques de la période périnatale;0
P72;Autres anomalies endocriniennes transitoires du nouveau-né;0
Q96;Syndrome de Turner;0
R06;Anomalies de la respiration;0
R13;Dysphagie;0
R29;Autres symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire;0
R44;Autres symptômes et signes relatifs aux sensations et aux perceptions générales;0
R46;Symptômes et signes relatifs à l'apparence et au comportement;0
R52;Douleur, non classée ailleurs;0
R60;Oedème, non classé ailleurs;0
R61;Hyperhidrose;0
R63;Symptômes et signes relatifs à l'absorption d'aliments et de liquides;0
R64;Cachexie;0
R71;Anomalies des globules rouges;0
R75;Mise en évidence par des examens de laboratoire du virus de l'immunodéficience humaine [VIH];0
R79;Autres résultats anormaux des examens chimiques du sang;0
R84;Résultats anormaux de prélèvements effectués sur l'appareil respiratoire et le thorax;0
Q60;Agénésie rénale et autres défauts de développement rénal;0
Q61;Maladies kystiques du rein;0
Q66;Anomalies morphologiques congénitales du pied;0
Q69;Polydactylie;0
Q74;Autres malformations congénitales d'un (des) membre(s);0
Q91;Syndrome d'Edwards et syndrome de Patau;0
S57;Écrasement de l'avant-bras;0
S69;Lésions traumatiques du poignet et de la main, autres et sans précision;0
S74;Lésion traumatique de nerfs au niveau de la hanche et de la cuisse;0
S81;Plaie ouverte de la jambe;0
S08;Amputation traumatique d'une partie de la tête;0
S13;Luxation, entorse et foulure des articulations et des ligaments au niveau du cou;0
S16;Lésion traumatique des muscles et des tendons au niveau du cou;0
S23;Luxation, entorse et foulure des articulations et des ligaments du thorax;0
Z88;Antécédents personnels d'allergie à des médicaments et des substances biologiques;0
Z99;Dépendance envers des machines et appareils auxiliaires, non classée ailleurs;0
Z64;Difficultés liées à certaines situations psychosociales;0
T38;Intoxication par hormones et leurs substituts synthétiques et antagonistes, non classés ailleurs;0
F11;Troubles mentaux et du comportement liés à l'utilisation d'opiacés;0
H32;Affections choriorétiniennes au cours de maladies classées ailleurs;0
H42;Glaucome au cours de maladies classées ailleurs;0
H60;Otite externe;0
T42;Intoxication par anti-épileptiques, sédatifs, hypnotiques et anti-parkinsoniens;0
X03;Exposition à un feu maîtrisé, hors d'un bâtiment ou d'un ouvrage;0
X26;Contact avec des animaux venimeux marins et des plantes vénéneuses marines;0
T82;Complications de prothèses, implants et greffes cardiaques et vasculaires;0
V72;Occupant d'un autobus blessé dans une collision avec un véhicule à moteur à deux ou trois roues;0
Y21;Noyade et submersion, intention non déterminée;0
T96;Séquelles d'intoxications par médicaments et substances biologiques;0
U90;Autres formes de pharmacorésistance;0
Y28;Contact avec objet tranchant, intention non déterminée;0
X45;Intoxication accidentelle par l'alcool et exposition à l'alcool;0
V90;Accident de bateau entraînant la noyade et la submersion;0
X49;Intoxication accidentelle par des produits chimiques et substances nocives et exposition à ces produits, autres et sans précision;0
X58;Exposition à d'autres facteurs précisés;0
Y41;Effets indésirables des autres anti-infectieux et antiparasitaires systémiques;0
Y45;Effets indésirables des médicaments analgésiques, antipyrétiques et anti-inflammatoires;0
V25;Motocycliste blessé dans une collision avec un train ou un véhicule ferroviaire;0
