ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
01000170;9;1;011
01000212;9;1;011
01000652;6;1;011
01000730;0;1;011
01078019;5;1;011
01078020;3;1;011
01078029;4;1;011
01078031;0;1;011
01078032;8;1;011
01078070;8;1;011
01078075;7;1;011
01078081;5;1;011
01078900;6;1;011
01078976;6;1;011
02000019;6;1;022
02000031;1;1;021
02000033;7;1;021
02000036;0;1;021
02000038;6;1;021
02000177;2;1;021
02000191;3;1;021
02000415;6;1;022
02000429;7;1;021
02000644;1;1;021
02001004;7;1;022
02001089;8;1;021
02001169;8;1;021
02001261;3;1;021
02001286;0;1;022
03078054;8;1;031
03078111;6;1;031
03078543;0;1;031
04000151;3;1;041
04000311;3;1;041
04078038;9;1;041
04078040;5;1;041
04078047;0;1;041
04078048;8;1;041
04078052;0;1;041
04078486;0;1;041
04078523;0;1;041
04078754;1;1;041
04078763;2;1;041
05000006;6;1;051
05000009;0;1;051
05000017;3;1;051
05000018;1;1;051
05000024;9;1;051
05000028;0;1;051
05000029;8;1;051
05000030;6;1;051
05000037;1;1;051
05000045;4;1;051
05000048;8;1;051
05000051;2;1;051
05000063;7;1;051
05000602;2;1;051
06000349;8;1;061
06000546;9;1;061
06000655;8;1;061
06001018;8;1;061
06001921;3;1;061
06001967;6;1;061
06001968;4;1;061
06002120;1;1;061
06002127;6;1;061
06002141;7;1;061
06078014;5;1;061
06078015;2;1;061
06078022;8;1;061
06078026;9;1;061
06078027;7;1;061
06078034;3;1;061
06078035;0;1;061
06078039;2;1;061
06078044;2;1;061
06078049;1;1;061
06078050;9;1;061
06078051;7;1;061
06078052;5;1;061
06078053;3;1;061
06078054;1;1;061
06078059;0;1;061
06078066;5;1;061
06078068;1;1;061
06078069;9;1;061
06078071;5;1;061
06078072;3;1;061
06078074;9;1;061
06078075;6;1;061
06078108;5;1;061
06078110;1;1;061
06078113;5;1;061
06078120;0;1;061
06078137;4;1;061
06078192;9;1;061
06078521;9;1;061
06078522;7;1;061
06078524;3;1;061
06079086;2;1;061
06079186;0;1;061
06079209;0;1;061
06079273;6;1;061
06079285;0;1;061
06079290;0;1;061
06079292;6;1;061
06079888;1;1;061
06080016;6;1;061
06080018;2;1;061
06080068;7;1;061
06080101;6;1;061
07000472;6;1;072
07078016;8;1;072
07078024;2;1;072
07078040;8;1;071
07078042;4;1;071
07078622;3;1;071
07078623;1;1;072
07078624;9;1;071
07078660;3;1;071
08000009;4;1;511
08000012;8;1;081
08000013;6;1;511
08000014;4;1;511
08000584;6;1;511
08000603;4;1;511
08000949;1;1;511
09000064;7;1;091
09000246;0;1;091
09000247;8;1;091
09078040;4;1;091
09078388;7;1;091
09078412;5;1;091
09078467;9;1;091
10000008;2;1;511
10000012;4;1;511
10000015;7;1;511
10000235;1;1;511
10000595;8;1;511
10000655;0;1;511
10000728;5;1;511
10000889;5;1;511
10000890;3;1;511
10000908;3;1;511
11000311;8;1;111
11078015;2;1;111
11078017;8;1;111
11078019;4;1;111
11078020;2;1;111
11078021;0;1;111
11078022;8;1;111
11078048;3;1;111
11078742;1;1;111
11078877;5;1;111
12000468;4;1;121
12078003;6;1;121
12078014;3;1;121
12078032;5;1;121
12078038;2;1;121
12078361;8;1;121
12078715;5;1;121
12078725;4;1;121
12078742;9;1;121
12078808;8;1;121
13000825;3;1;131
13000828;7;1;131
13000846;9;1;131
13000917;8;1;131
13002148;8;1;131
13002181;9;1;131
13002445;8;1;131
13003400;2;1;131
13003403;6;1;131
13003404;4;1;131
13003405;1;1;131
13003407;7;1;131
13003409;3;1;131
13003453;1;1;131
13003455;6;1;131
13003461;4;1;131
13003521;5;1;131
13003522;3;1;131
13003579;3;1;131
13003665;0;1;131
13003792;2;1;131
13003800;3;1;131
13003804;5;1;131
13078007;5;1;131
13078008;3;1;131
13078027;3;1;131
13078106;5;1;131
13078128;9;1;131
13078137;0;1;131
13078143;8;1;131
13078147;9;1;131
13078152;9;1;131
13078159;4;1;131
13078175;0;1;131
13078176;8;1;131
13078183;4;1;131
13078186;7;1;131
13078191;7;1;131
13078192;5;1;131
13078207;1;1;131
13078209;7;1;131
13078214;7;1;131
13078216;2;1;131
13078230;3;1;131
13078244;4;1;131
13078245;1;1;131
13078249;3;1;131
13078267;5;1;131
13078273;3;1;131
13078332;7;1;131
13078372;3;1;131
13078376;4;1;131
13078377;2;1;131
13078383;0;1;131
13078387;1;1;131
13078396;2;1;131
13078405;1;1;131
13078408;5;1;131
13078429;1;1;131
