ETB_CAT_COD;ETB_CAT_LIB;ETB_CAT_RG1;ETB_CR1_LIB;ETB_CAT_RG2;ETB_CR2_LIB;ETB_CAT_RG3;ETB_CR3_LIB
196;INSTITUT D EDUCATION SENSORIELLE MIXTE;4104;ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
197;MAISON D ENFANTS A CARACTERE SANITAIRE SPECIALISEE TEMPORAIRE;1112;ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
198;CENTRE DE PREORIENTATION POUR HANDICAPES;4303;ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
199;HOSPICE;4401;ETABLISSEMENT D HEBERGEMENT;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
200;MAISON DE RETRAITE;4401;ETABLISSEMENT D HEBERGEMENT;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
202;LOGEMENT-FOYER POUR PERSONNES AGEES;4401;ETABLISSEMENT D HEBERGEMENT;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
207;CENTRE DE JOUR POUR PERSONNES AGEES;4402;SERVICES SANITAIRES DE MAINTIEN A DOMICILE;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
209;SERVICE POLYVALENT AIDE ET SOINS A DOMICILE;4605;ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
214;CENTRE D HEBERGEMENT ET DE READAPTATION SOCIALE;4601;ETABLISSEMENTS POUR ADULTES EN DIFFICULTE;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
221;BUREAU D AIDE PSYCHOLOGIQUE UNIVERSITAIRE;4106;SERVICES A DOMICILE OU AMBULATOIRE POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
