AFF_PEN_CAT;INV_PEN_CAT;AFF_PEN_LIB;TEC_COL
0;99;valeur inconnue;1
1;1;Pensions de première catégorie;0
2;2;Pensions de deuxième catégorie;0
3;3;Pensions de troisième catégorie;0
5;5;Pensions de conjoint survivant;0
6;5;Pensions de conjoint survivant;0
11;1;Pensions de première catégorie;0
12;2;Pensions de deuxième catégorie;0
13;3;pensions de troisième catégorie;0
15;5;Pensions de conjoint survivant;0
16;5;Pensions de conjoint survivant;0
19;0;Pensions liquidées par forçage;0
21;1;Pensions de première catégorie;0
22;2;Pensions de deuxième catégorie;0
23;3;Pensions de troisième catégorie;0
25;5;Pensions de conjoint survivant;0
26;5;Pensions de conjoint survivant;0
29;0;Pensions liquidées par forçage;0
31;1;Pensions de première catégorie;0
32;2;Pensions de deuxième catégorie;0
33;3;Pensions de troisième catégorie;0
35;5;Pensions de conjoint survivant;0
36;5;Pensions de conjoint survivant;0
39;0;Pensions liquidées par forçage;0
41;1;Pensions de première catégorie;0
42;2;Pensions de deuxième catégorie;0
43;3;Pensions de troisième catégorie;0
45;5;Pensions de conjoint survivant;0
46;5;Pensions de conjoint survivant;0
49;0;Pensions liquidées par forçage;0
51;1;Pensions de première catégorie;0
52;2;Pensions de deuxième catégorie;0
53;3;Pensions de troisième catégorie;0
55;5;Pensions de conjoint survivant;0
56;5;Pensions de conjoint survivant;0
59;0;Pensions liquidées par forçage;0
61;8;"Pensions ""migrants""";0
62;8;"Pensions ""migrants""";0
63;8;"Pensions ""migrants""";0
69;8;"Pensions ""migrants""";0
99;9;Pensions (décret loi du 28.10.35);0
