PHA_PRS_IDE;PHA_ATC_CLA;GRP_GRP_COD;TEC_COL
3058514;B05;;0
3058543;B05;;0
3058589;B05;;0
3058595;B05;;0
3058632;B05;;0
3058655;B05;;0
3058804;INC;;0
3058833;A06;;0
3058856;A06;;0
3061025;INC;;0
3061054;INC;;0
3061278;INC;;0
3061456;B05;;0
3061700;W99;;0
3061769;W99;;0
3061858;W99;;0
3062059;J01;Ant;0
3093321;INC;;0
3093545;C01;;0
3093634;L02;;0
3093657;L02;;0
3093924;INC;;0
3095372;N05;Psy;0
3095946;N05;Psy;0
3095969;N05;Psy;0
3096420;R05;;0
3096437;R05;;0
3096503;N06;;0
3096851;D02;;0
3097017;R01;;0
3097170;H02;;0
3097187;H02;;0
3097307;INC;;0
3045279;INC;;0
3045411;INC;;0
3045552;R05;;0
3045581;R05;;0
3045658;J01;Ant;0
3045664;J01;Ant;0
3045687;R05;;0
3045701;R05;;0
3045718;R05;;0
3045730;R05;;0
3045776;R05;;0
3045807;G03;;0
3045859;G03;;0
3045871;G03;;0
3046238;A12;;0
3046267;A12;;0
3046304;A12;;0
3046362;INC;;0
3046445;D01;;0
3046468;INC;;0
3046787;N02;;0
3046959;G01;;0
3047143;N05;;0
3047166;N05;;0
3047172;N05;;0
3047189;N05;;0
3047611;A05;;0
3047657;R05;;0
3047901;B02;;0
3048183;INC;;0
3048295;INC;;0
3048384;A06;;0
3048450;B01;;0
3048906;INC;;0
3049099;INC;;0
3049136;C01;;0
3049142;C01;;0
3049159;C01;;0
3049165;C01;;0
3049343;J01;Ant;0
3049449;R05;;0
3049455;R05;;0
3049461;R05;;0
3049478;INC;;0
3049484;INC;;0
3049521;D08;;0
3049538;D08;;0
3049544;D08;;0
3049567;D08;;0
3049745;C05;;0
3050547;INC;;0
3050814;R01;;0
3050820;R01;;0
3050949;A07;;0
3050978;G03;;0
3051222;C04;;0
3051268;L01;;0
3051392;H02;;0
3051417;H02;;0
3051452;H02;;0
3051475;H02;;0
3051506;H02;;0
3051558;H02;;0
3051564;H02;;0
3072922;D04;;0
3072951;D04;;0
3073086;P01;;0
3073100;P01;;0
3073117;P01;;0
3073465;L02;;0
3073531;A06;;0
3073554;A06;;0
3073577;A06;;0
3073583;A06;;0
3073608;A06;;0
3074051;S01;;0
3074097;B03;;0
3074275;N05;;0
