CPT_COP_NUM;CPT_LFS_COD;CPT_COP_LIB;TEC_COL
6561112362;12C11;Prest.Mal.  - OQN PSY - médicaments;0
6561112363;12C11;Prest.Mal.  - OQN PSY - dispositifs médicaux;0
6561112371;12C11;Prest.Mal.  - OQN SSR - frais de séjours;0
6561112372;12C11;Prest.Mal.  - OQN SSR - médicaments;0
6561112373;12C11;Prest.Mal.  - OQN SSR - dispositifs médicaux;0
65611123;;Prest. Mal. -Clin. priv.;0
65611124;12D11;Prest. Mal. - Expérimentations;0
6561112;;Prest. Mal. - Dépenses exécutées en établissement;0
6561117;;Prest. Maladie - CMUC Migrants;0
656111;;Prest. Mal.;0
6561121111;11A11;Prest. Mat. - Honoraires Médicaux-Omniprat. Liber.;0
6561121112;11A12;Prest. Mat. - Honoraires Médicaux-Omniprat. sal.;0
656112111;;Prest. Mat. - Honoraires Médicaux des omnipraticiens;0
6561121121;11A21;Prest. Mat. - Honoraires Médicaux-Spec. Liber.;0
6561121122;11A22;Prest. Mat. - Honoraires Médicaux-Spec. sal.;0
656112112;;Prest. Mat. - Honoraires Médicaux des spécialistes;0
6561121131;11A31;Prest. Mat. - Honoraires Médicaux des S.F. liber.;0
6561121132;11A32;Prest. Mat. - Honoraires Médicaux des S.F. sal.;0
656112113;;Prest. Mat. - Honoraires Médicaux des sages-femmes;0
65611211411;11B11;Prest. Mat. -Hono. Para. Infirmiers Lib.;0
65611211412;11B12;Prest. Mat. -Hono. Para. Infirmiers Sal.;0
6561121141;;Prest. Mat. -Hono. Para. Infirmiers;0
65611211421;11B21;Prest. Mat. -Hono. Para. Masseurs Kinésithérapeutes Lib.;0
65611211422;11B22;Prest. Mat. -Hono. Para. Masseurs Kinésithérapeutes Sal.;0
475333509;;Recyc. Ag. cpta. -  Mut. du Minist. de l'Industrie;0
475333511;;Recyc. Ag. cpta. -  Mut. du Trésor;0
475333512;;Recyc. Ag. cpta. -  Mut. Gale des P.T.T.;0
475333513;;Recyc. Ag. cpta. -  Mut. des Douanes;0
475333514;;Recyc. Ag. cpta. -  Mut. des agents des C.A.N.S.S.M.;0
475333515;;Recyc. Ag. cpta. -  Sté Mutualiste de l'I.N.S.E.E.;0
475333516;;Recyc. Ag. cpta. -  Mut. de la Marine;0
475333518;;Recyc. Ag. cpta. -  Mut. de la C.D.C;0
475333519;;Recyc. Ag. cpta. -  Mut. des Persls Civils de l'Aviation;0
475333520;;Recyc. Ag. cpta. -  Union Stés Mutua Fonct. Région Paris.;0
475333523;;Recyc. Ag. cpta. -  Mut. Centrale des Finances;0
475333526;;Recyc. Ag. cpta. -  Mut. Minist. Anciens Combattants;0
475333527;;Recyc. Ag. cpta. -  Mut. du Minist. de la Justice;0
475333529;;Recyc. Ag. cpta. -  Mut. Familiale France et Outre-Mer;0
475333532;;Recyc. Ag. cpta. -  Mut. Civile de la Guerre;0
475333533;;Recyc. Ag. cpta. -  Mut. des Relations extérieures;0
475333536;;Recyc. Ag. cpta. -  M.G.P. - Sect. Versailles;0
475333537;;Recyc. Ag. cpta. -  Mut. Gale de la Police;0
475333555;;Recyc. Ag. cpta. -  Sté Mutualiste Police Nat.;0
475333599;;Recyc. Ag. cpta. -  Mutua. Fonction Publique;0
475333601;;Recyc. Ag. cpta. -  M.N.E.F.;0
475333602;;Recyc. Ag. cpta. -  Mut.Cpltaire Ville Paris, assist. Pub;0
475333603;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333604;;Recyc. Ag. cpta. -  Mut. de la Police Nat.;0
475333605;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333606;;Recyc. Ag. cpta. -  Mut. Nat. Fonct. Collect. Territ.;0
475333607;;Recyc. Ag. cpta. -  Mut. Transp. en commun de Lyon;0
475333609;;Recyc. Ag. cpta. -  M.G.P.C.L. (collectiv. loc.);0
475333610;;Recyc. Ag. cpta. -  Mut. des Hospices Civils de Lyon;0
475333611;;Recyc. Ag. cpta. -  Mut. SOGIREL - Lyon;0
475333612;;Recyc. Ag. cpta. -  Mut. du Bât. et des Travaux Publics;0
475333613;;Recyc. Ag. cpta. -  Mut. des Persls Municpx - U.P.E.S.E.;0
475333614;;Recyc. Ag. cpta. -  Mut. M.I.C.I.L.S. - U.M.I.G.A.;0
475333615;;Recyc. Ag. cpta. -  Mut. Asso. Lyonnaise de Prévoy.;0
475333616;;Recyc. Ag. cpta. -  Mut. Municpx Ville de Marseille;0
475333617;;Recyc. Ag. cpta. -  Stés d'Etudiants Mutualistes;0
475333619;;Recyc. Ag. cpta. -  Mut. Nat. des Hospitaliers;0
6561122361;12C11;Prestations Maternité - OQN PSY - frais de séjours;0
6561122362;12C11;Prestations Maternité - OQN PSY - médicaments;0
6561122363;12C11;Prestations Maternité - OQN PSY - dispositifs médicaux;0
6561122371;12C11;Prestations Maternité - OQN SSR - frais de séjours;0
6561122372;12C11;Prestations Maternité - OQN SSR - médicaments;0
6561122373;12C11;Prestations Maternité - OQN SSR - dispositifs médicaux;0
65611223;;Prest. Mat. -Clin. priv.;0
65611224;12D11;Prest. Mat. - Expérimentations;0
6561122;;Prest. Mat. - Dépenses exécutées en établissement;0
6561127;;Prest. Maternité - CMUC Migrants;0
656112;;Prest. Mat.;0
65611;;Prest. Mal.-Maternité;0
6561211111;11A11;Prest. AT-MP  - Honoraires Médicaux-Omniprat. liber.;0
6561211112;11A12;Prest. AT-MP  - Honoraires Médicaux-Omniprat. sal.;0
656121111;;Prest. AT-MP  - Honoraires Médicaux des omnipraticiens;0
6561211121;11A21;Prest. AT-MP  - Honoraires Médicaux-Spec. liber.;0
