CRA_COD;CRA_NUM;CRA_VIL_LIB;CRA_REG_LIB;TEC_COL
33;1;BORDEAUX;NOUVELLE AQUITAINE;0
63;2;CLERMONT-FERRAND;AUVERGNE-RHONE-ALPES;0
21;3;DIJON;BOURGOGNE-FRANCHE-COMTE;0
59;4;LILLE;HAUTS-DE-FRANCE;0
87;5;LIMOGES;NOUVELLE-AQUITAINE;0
69;6;LYON;AUVERGNE-RHONE-ALPES;0
13;7;MARSEILLE;SUD-EST;0
34;8;MONTPELLIER;OCCITANIE;0
54;9;NANCY;GRAND-EST;0
44;10;NANTES;PAYS-DE-LOIRE;0
45;11;ORLEANS;CENTRE-VAL DE LOIRE;0
75;12;PARIS;ILE-DE-FRANCE;0
35;13;RENNES;BRETAGNE;0
76;14;ROUEN;NORMANDIE;0
67;15;STRASBOURG;GRAND-EST;0
31;16;TOULOUSE;OCCITANIE;0
71;31;POINTE A PITRE;GUADELOUPE;0
72;32;FORT DE France;MARTINIQUE;0
73;33;CAYENNE;GUYANE;0
74;34;SAINT DENIS;REUNION;0
25;36;DZAOUDZI;MAYOTTE;0
99;99;INCONNU;INCONNU;1
