BEN_CTA_TYP;BEN_CTA_LIB;TEC_COL
0;SANS OBJET;2
1;CONTRAT HORS C2S et HORS ACS TPI;0
2;CONTRAT HORS C2S et HORS ACS TPI;0
3;CONTRAT HORS C2S et HORS ACS TPI;0
4;CONTRAT HORS C2S et HORS ACS TPI;0
5;CONTRAT HORS C2S et HORS ACS TPI;0
6;CONTRAT HORS C2S et HORS ACS TPI;0
7;CONTRAT HORS C2S et HORS ACS TPI;0
8;CONTRAT HORS C2S et HORS ACS TPI;0
9;CONTRAT HORS C2S et HORS ACS TPI;0
10;CONTRAT HORS C2S et HORS ACS TPI;0
11;CONTRAT HORS C2S et HORS ACS TPI;0
12;CONTRAT HORS C2S et HORS ACS TPI;0
13;CONTRAT HORS C2S et HORS ACS TPI;0
14;CONTRAT HORS C2S et HORS ACS TPI;0
15;CONTRAT HORS C2S et HORS ACS TPI;0
16;CONTRAT HORS C2S et HORS ACS TPI;0
17;CONTRAT HORS C2S et HORS ACS TPI;0
18;CONTRAT HORS C2S et HORS ACS TPI;0
19;CONTRAT HORS C2S et HORS ACS TPI;0
20;CONTRAT HORS C2S et HORS ACS TPI;0
21;CONTRAT HORS C2S et HORS ACS TPI;0
22;CONTRAT HORS C2S et HORS ACS TPI;0
23;CONTRAT HORS C2S et HORS ACS TPI;0
24;CONTRAT HORS C2S et HORS ACS TPI;0
25;CONTRAT HORS C2S et HORS ACS TPI;0
26;CONTRAT HORS C2S et HORS ACS TPI;0
27;CONTRAT HORS C2S et HORS ACS TPI;0
28;CONTRAT HORS C2S et HORS ACS TPI;0
29;CONTRAT HORS C2S et HORS ACS TPI;0
30;CONTRAT HORS C2S et HORS ACS TPI;0
31;CONTRAT HORS C2S et HORS ACS TPI;0
32;CONTRAT HORS C2S et HORS ACS TPI;0
33;CONTRAT HORS C2S et HORS ACS TPI;0
34;CONTRAT HORS C2S et HORS ACS TPI;0
35;CONTRAT HORS C2S et HORS ACS TPI;0
36;CONTRAT HORS C2S et HORS ACS TPI;0
37;CONTRAT HORS C2S et HORS ACS TPI;0
38;CONTRAT HORS C2S et HORS ACS TPI;0
39;CONTRAT HORS C2S et HORS ACS TPI;0
40;CONTRAT HORS C2S et HORS ACS TPI;0
41;CONTRAT HORS C2S et HORS ACS TPI;0
42;CONTRAT HORS C2S et HORS ACS TPI;0
43;CONTRAT HORS C2S et HORS ACS TPI;0
44;CONTRAT HORS C2S et HORS ACS TPI;0
45;CONTRAT HORS C2S et HORS ACS TPI;0
46;CONTRAT HORS C2S et HORS ACS TPI;0
47;CONTRAT HORS C2S et HORS ACS TPI;0
48;CONTRAT HORS C2S et HORS ACS TPI;0
49;CONTRAT HORS C2S et HORS ACS TPI;0
50;CONTRAT HORS C2S et HORS ACS TPI;0
51;CONTRAT HORS C2S et HORS ACS TPI;0
52;CONTRAT HORS C2S et HORS ACS TPI;0
53;CONTRAT HORS C2S et HORS ACS TPI;0
54;CONTRAT HORS C2S et HORS ACS TPI;0
55;CONTRAT HORS C2S et HORS ACS TPI;0
56;CONTRAT HORS C2S et HORS ACS TPI;0
57;CONTRAT HORS C2S et HORS ACS TPI;0
58;CONTRAT HORS C2S et HORS ACS TPI;0
59;CONTRAT HORS C2S et HORS ACS TPI;0
60;CONTRAT HORS C2S et HORS ACS TPI;0
61;CONTRAT HORS C2S et HORS ACS TPI;0
62;CONTRAT HORS C2S et HORS ACS TPI;0
63;CONTRAT HORS C2S et HORS ACS TPI;0
64;CONTRAT HORS C2S et HORS ACS TPI;0
65;CONTRAT HORS C2S et HORS ACS TPI;0
66;CONTRAT HORS C2S et HORS ACS TPI;0
67;CONTRAT HORS C2S et HORS ACS TPI;0
68;CONTRAT HORS C2S et HORS ACS TPI;0
69;CONTRAT HORS C2S et HORS ACS TPI;0
70;CONTRAT HORS C2S et HORS ACS TPI;0
71;CONTRAT HORS C2S et HORS ACS TPI;0
72;CONTRAT HORS C2S et HORS ACS TPI;0
73;CONTRAT HORS C2S et HORS ACS TPI;0
74;CONTRAT HORS C2S et HORS ACS TPI;0
75;CONTRAT HORS C2S et HORS ACS TPI;0
76;CONTRAT HORS C2S et HORS ACS TPI;0
77;CONTRAT HORS C2S et HORS ACS TPI;0
78;CONTRAT HORS C2S et HORS ACS TPI;0
79;CONTRAT HORS C2S et HORS ACS TPI;0
80;CONTRAT HORS C2S et HORS ACS TPI;0
81;CONTRAT HORS C2S et HORS ACS TPI;0
82;CONTRAT HORS C2S et HORS ACS TPI;0
83;CONTRAT HORS C2S et HORS ACS TPI;0
84;CONTRAT HORS C2S et HORS ACS TPI;0
85;SORTANT DU DISPOSITIF C2S (GERE PAR CPAM);0
87;SORTANT DU DISPOSITIF C2S (GERE PAR OC);0
88;AIDE A LA MUTUALISATION (PANIER DE BIENS = PANIER C2S);0
89;BENEFICIAIRE DE LA C2S COMPLEMENTAIRE (EN COURS) QUELQUE SOIT LE GESTIONNAIRE;0
90;CONTRAT HORS C2S ET HORS ACS TPI;0
91;CONTRAT ACS TPI A;0
92;CONTRAT ACS TPI B;0
93;CONTRAT ACS TPI C;0
94;CONTRAT HORS C2S ET HORS ACS TPI;0
95;CONTRAT HORS C2S ET HORS ACS TPI;0
96;CONTRAT HORS C2S ET HORS ACS TPI;0
97;CONTRAT HORS C2S ET HORS ACS TPI;0
98;CONTRAT HORS C2S ET HORS ACS TPI;0
99;PROCEDURE D'ECLATEMENT DU FLUX PAR LE PS VERS UN OCT;0
999;VALEUR INCONNUE;1
