DDP_COD;MDT_COD
0;7
0;22
35;3
35;19
35;22
38;19
39;3
39;19
39;22
43;3
43;19
43;22
76;3
76;4
76;22
76;23
102;3
102;4
102;6
102;22
102;23
103;3
103;4
103;6
103;22
103;23
104;3
104;22
105;3
105;22
106;3
106;22
107;3
107;22
108;3
108;4
108;5
108;6
108;19
108;20
108;22
108;23
109;3
109;4
109;5
109;6
109;20
109;22
109;23
110;3
110;4
110;5
110;6
110;20
110;22
110;23
111;3
111;4
111;5
111;6
111;20
111;22
111;23
112;3
112;4
112;20
112;22
112;23
113;3
113;4
113;5
113;6
113;20
113;22
113;23
114;3
114;4
114;6
114;20
114;22
114;23
115;3
115;4
115;6
115;20
115;22
115;23
116;3
116;4
116;6
116;20
116;22
116;23
117;3
117;4
117;6
117;20
117;22
117;23
118;3
118;4
118;6
118;20
118;22
118;23
119;3
119;4
119;6
119;20
119;22
119;23
120;3
120;4
120;6
120;20
120;22
120;23
121;3
121;4
121;6
121;20
121;22
121;23
122;3
122;4
122;6
122;20
122;22
122;23
123;3
123;4
123;6
123;20
123;22
123;23
124;3
124;4
124;6
124;20
124;22
124;23
125;3
125;4
125;6
125;20
125;22
125;23
126;3
126;4
126;5
126;6
126;20
126;22
126;23
127;3
127;4
127;6
127;7
127;19
127;20
127;22
127;23
129;3
129;4
129;5
129;6
129;20
129;22
129;23
130;3
130;4
130;5
130;6
130;20
130;22
130;23
131;3
131;4
131;6
131;20
131;22
131;23
132;3
132;4
132;6
132;20
132;22
132;23
133;3
133;4
133;6
133;20
133;22
133;23
134;3
134;4
134;20
134;22
134;23
135;3
135;19
135;22
136;3
136;4
136;19
136;20
136;22
136;23
137;3
137;4
137;7
137;19
137;20
137;23
138;3
138;4
138;7
138;20
138;23
139;3
139;4
139;7
139;20
139;23
140;3
140;4
140;7
140;20
140;23
141;3
142;3
143;3
143;4
143;7
143;19
143;20
143;23
144;3
144;4
144;7
144;20
144;23
145;3
145;4
145;20
145;23
146;3
146;4
146;7
146;20
146;23
147;3
147;4
147;20
147;23
148;3
148;4
148;20
148;23
149;3
149;4
149;7
149;19
149;20
149;23
150;3
150;4
150;7
150;20
150;23
151;3
151;4
151;7
151;19
151;20
151;23
152;3
152;4
152;7
152;19
152;20
152;23
153;3
153;4
153;7
153;19
153;20
153;23
154;3
154;4
154;7
154;19
154;20
154;23
155;3
155;4
155;7
155;19
155;20
155;23
156;3
156;4
156;7
156;20
156;23
157;3
157;4
157;7
157;19
157;20
157;23
158;3
158;4
158;7
158;20
158;23
159;3
159;4
159;7
159;20
159;23
160;3
160;4
160;7
160;20
160;23
161;3
161;4
161;7
161;20
161;23
162;3
162;4
162;7
162;20
162;23
163;3
163;4
163;7
163;19
163;20
163;22
164;3
164;4
164;7
164;19
164;20
164;22
165;3
165;6
165;22
166;3
167;3
168;3
168;4
169;3
169;4
170;3
170;4
171;3
171;4
172;3
172;4
172;5
172;19
172;20
173;3
173;19
173;35
174;3
174;4
174;5
174;6
174;7
174;19
174;20
174;22
174;23
176;3
177;11
178;3
178;4
178;19
178;20
179;3
179;4
179;19
179;20
180;3
180;4
180;5
180;19
180;20
181;3
181;4
181;7
181;19
181;20
181;23
182;3
182;4
182;19
182;20
183;3
183;22
184;3
184;4
184;19
184;20
185;3
185;4
187;3
187;4
187;19
187;20
189;3
189;19
189;35
190;3
190;19
191;3
191;19
192;3
192;19
193;3
193;19
193;35
194;3
194;19
194;35
195;3
195;4
195;5
195;6
195;15
195;16
195;19
195;20
196;3
196;4
196;5
196;6
196;15
196;16
196;19
196;20
198;3
198;4
198;6
198;20
198;22
198;23
206;3
210;3
210;4
210;5
210;6
210;10
210;19
210;20
210;22
210;23
210;37
210;38
210;39
212;11
212;21
213;3
213;4
213;5
213;6
213;10
213;19
213;20
213;22
213;23
213;37
213;38
213;39
214;3
214;4
214;5
214;20
216;3
216;4
216;5
216;6
216;10
216;19
216;20
216;22
216;23
216;37
216;38
216;39
217;3
217;4
217;20
219;3
219;4
219;20
220;3
220;4
220;20
221;3
221;4
221;20
222;3
222;4
222;20
223;3
223;4
223;5
223;6
223;7
223;19
223;20
223;22
223;23
224;3
224;4
224;20
225;3
225;4
225;5
225;6
225;7
225;19
225;20
225;22
225;23
226;3
226;4
226;20
227;3
227;4
227;20
228;3
228;4
228;5
228;6
228;10
228;19
228;20
228;22
228;23
228;37
228;38
228;39
229;3
229;4
229;5
229;6
229;10
229;19
229;20
229;22
229;23
229;37
229;38
229;39
230;3
230;4
230;5
230;6
230;12
230;15
230;16
230;19
230;20
230;21
230;23
230;24
230;37
230;38
230;39
231;3
231;4
231;5
231;6
231;10
231;19
231;20
231;22
231;23
231;37
231;38
231;39
232;3
232;4
232;5
232;6
232;10
232;19
232;20
232;22
232;23
232;37
232;38
232;39
233;3
233;4
233;5
233;6
233;10
233;19
233;20
233;22
233;23
233;37
233;38
233;39
234;3
234;4
234;5
234;6
234;10
234;19
234;20
234;22
234;23
234;37
234;38
234;39
235;3
236;3
236;4
236;5
236;6
236;12
236;16
236;19
236;20
236;21
236;23
236;24
236;37
236;38
236;39
239;3
239;4
239;5
239;6
239;10
239;19
239;20
239;22
239;23
239;37
239;38
239;39
240;3
240;4
240;5
240;6
240;10
240;19
240;20
240;22
240;23
240;37
240;38
240;39
244;3
244;4
244;5
244;6
244;10
244;19
244;20
244;22
244;23
244;37
244;38
244;39
245;3
245;4
245;5
245;6
245;10
245;19
245;20
245;22
245;23
245;37
245;38
245;39
252;3
252;4
256;3
256;4
256;5
256;6
256;10
256;19
256;20
256;22
256;23
256;37
256;38
256;39
263;15
265;3
265;4
265;5
265;6
265;10
265;19
265;20
265;22
265;23
265;37
265;38
265;39
267;19
268;19
269;11
269;12
269;13
269;14
269;17
269;21
270;11
270;13
270;14
270;15
270;16
270;17
271;11
271;13
271;14
271;15
271;16
271;17
272;3
272;4
272;5
272;6
272;10
272;19
272;20
272;22
272;23
272;37
272;38
272;39
273;3
274;3
274;4
274;5
274;6
274;10
274;19
274;20
274;22
274;23
274;37
274;38
274;39
275;3
275;4
275;5
275;6
275;10
275;19
275;20
275;22
275;23
275;37
275;38
275;39
278;19
292;11
292;13
292;14
292;15
292;16
292;17
294;11
294;13
294;14
294;15
294;16
294;17
294;19
295;11
295;13
295;14
295;15
295;16
295;17
298;11
298;13
298;14
298;15
298;16
298;17
302;3
302;19
302;22
303;3
303;22
304;3
305;3
306;3
307;3
308;3
308;22
309;3
309;4
309;22
310;3
310;4
310;19
310;20
310;22
310;23
311;3
312;3
312;4
312;6
312;20
312;22
312;23
313;3
313;4
313;5
314;3
316;3
318;19
320;16
320;19
321;19
322;19
323;19
324;19
325;15
338;11
338;13
338;14
339;11
339;13
339;14
341;11
341;13
341;14
341;21
344;11
345;11
346;11
348;11
349;11
350;11
350;12
351;11
351;12
358;11
358;16
370;3
370;4
370;5
370;6
370;10
370;19
370;20
370;22
370;23
370;37
370;38
370;39
389;3
389;4
389;22
398;15
399;11
399;13
399;14
401;3
401;10
402;3
402;10
403;3
403;10
404;3
404;10
405;3
405;10
406;3
406;10
407;3
407;10
408;3
408;10
409;3
409;10
411;11
411;13
411;14
411;16
411;21
457;3
457;4
457;20
458;3
458;4
458;20
459;3
459;4
459;20
460;3
460;4
460;20
462;3
462;4
462;20
463;3
463;4
463;20
464;3
464;4
464;20
465;3
465;4
465;20
466;3
466;4
467;3
467;4
467;20
468;3
468;4
468;20
500;11
500;13
500;14
500;15
500;16
500;17
501;11
501;13
501;14
501;15
501;16
501;17
502;11
502;13
502;14
502;15
502;16
502;17
503;11
503;13
503;14
503;15
503;16
503;17
504;11
504;13
504;14
504;15
504;16
504;17
505;11
505;13
505;14
505;15
505;16
505;17
506;11
506;13
506;14
510;16
515;3
515;4
515;5
515;6
515;10
515;19
515;20
515;22
515;23
515;37
515;38
515;39
516;3
516;4
516;5
516;6
516;10
516;19
516;20
516;22
516;23
516;37
516;38
516;39
517;3
517;4
517;5
517;6
517;10
517;19
517;20
517;22
517;23
517;37
517;38
517;39
518;3
518;4
518;5
518;6
518;10
518;19
518;20
518;22
518;23
518;37
518;38
518;39
519;3
519;4
519;5
519;6
519;10
519;19
519;20
519;22
519;23
519;37
519;38
519;39
520;3
520;4
520;5
520;6
520;10
520;19
520;20
520;22
520;23
520;37
520;38
520;39
521;3
521;4
521;5
521;6
521;10
521;19
521;20
521;22
521;23
521;37
521;38
521;39
522;3
522;4
522;5
522;6
522;10
522;19
522;20
522;22
522;23
522;37
522;38
522;39
552;19
552;22
553;19
553;22
554;19
554;22
555;3
555;6
555;19
555;22
556;6
556;22
557;3
557;4
557;7
557;20
557;23
575;11
575;13
575;14
588;11
593;3
594;3
595;3
604;3
604;4
605;3
605;4
606;3
606;4
607;3
607;4
608;3
608;4
609;3
609;4
610;3
610;4
611;3
611;4
612;3
612;4
613;3
613;4
614;3
614;4
615;3
615;4
616;3
616;4
617;3
618;3
618;4
619;3
619;4
620;3
620;4
621;3
621;4
622;3
622;4
623;3
623;4
624;3
624;4
624;5
625;3
625;4
627;3
627;4
628;3
628;4
628;7
628;20
628;23
630;11
630;13
630;14
630;15
630;16
630;17
631;3
631;4
631;7
631;19
631;20
631;22
632;11
632;12
633;11
633;12
633;13
633;14
633;15
633;16
633;17
633;21
635;3
635;22
636;3
636;22
637;3
637;22
638;3
638;22
639;3
639;22
640;3
641;3
641;22
644;3
644;19
644;22
645;6
645;22
646;6
646;22
647;6
647;22
648;6
648;22
649;3
649;19
650;11
650;13
650;15
650;17
651;3
651;19
651;35
654;11
654;12
654;13
654;15
654;17
657;11
657;21
658;11
658;21
663;3
663;6
663;22
664;3
664;6
664;22
668;11
668;13
668;14
668;15
668;16
668;17
670;11
670;13
670;14
670;15
670;16
670;17
671;11
671;13
671;14
671;15
671;16
671;17
672;11
672;13
672;14
672;15
672;16
672;17
678;11
678;13
678;14
678;15
678;16
678;17
680;11
680;13
680;14
680;15
680;16
680;17
681;11
681;13
681;14
681;15
681;16
681;17
684;11
684;13
684;14
684;15
684;16
684;17
690;11
690;12
690;13
690;14
690;15
690;16
690;17
691;11
691;12
691;13
691;14
691;15
691;16
691;17
715;3
715;6
715;22
717;3
717;4
717;20
717;22
717;23
718;3
718;4
718;20
718;23
719;3
719;4
719;20
719;22
720;3
720;22
721;3
721;19
721;22
722;3
722;4
722;6
722;20
722;22
722;23
723;19
723;22
728;3
728;4
728;5
728;6
728;20
728;22
728;23
729;3
729;4
729;5
729;6
729;20
729;22
729;23
730;3
730;4
730;5
730;6
730;20
730;22
730;23
731;3
731;4
731;5
731;6
731;20
731;22
731;23
732;3
732;4
732;6
732;20
732;22
732;23
733;3
733;4
733;6
733;20
733;22
733;23
734;3
735;3
736;3
736;4
736;7
736;20
736;23
737;3
737;4
738;3
738;4
738;19
738;20
739;3
739;4
739;19
739;20
742;3
742;22
743;3
743;4
743;22
743;23
744;3
744;4
744;22
744;23
750;3
750;19
750;22
753;3
753;19
753;22
796;6
796;19
797;3
797;6
797;19
797;22
798;3
798;6
798;19
798;22
799;6
799;22
800;6
800;22
801;6
801;22
803;3
803;4
806;21
807;21
808;3
809;3
809;4
809;5
809;6
809;20
809;22
809;23
825;3
825;6
825;7
825;22
826;3
826;7
826;22
827;6
827;22
828;3
828;19
828;35
829;3
829;19
829;35
830;3
830;19
830;35
831;3
831;19
831;35
832;3
832;19
832;35
833;3
833;19
833;35
834;3
834;19
834;35
835;3
835;19
835;35
837;11
837;13
837;14
840;11
840;13
840;14
841;11
841;13
841;14
842;11
842;13
842;14
843;11
843;13
843;14
844;11
844;13
844;14
845;11
845;13
845;14
846;16
847;16
848;16
849;16
850;16
851;16
852;16
853;16
854;16
855;16
856;16
857;16
858;16
859;16
860;3
860;4
860;5
860;6
860;10
860;19
860;20
860;22
860;23
860;37
860;38
860;39
861;3
861;4
861;5
861;6
861;10
861;19
861;20
861;22
861;23
861;37
861;38
861;39
862;3
862;4
862;5
862;6
862;10
862;19
862;20
862;22
862;23
862;37
862;38
862;39
863;3
863;4
863;5
863;6
863;10
863;19
863;20
863;22
863;23
863;37
863;38
863;39
864;3
864;4
864;5
864;6
864;10
864;19
864;20
864;22
864;23
864;37
864;38
864;39
865;3
865;4
865;5
865;6
865;10
865;19
865;20
865;22
865;23
865;37
865;38
865;39
901;11
901;12
901;13
901;14
