DPN_QLF;DPN_QLF_CB2;DPN_QLF_LIB;TEC_COL
0;;SANS OBJET;2
11;D/ED;ENTENTE DIRECTE RESERVEE AUX STOMATOLOGUES ET CHIRURGIENS-DENTISTES;0
12;E/DE;EXIGENCE PARTICULIERE DU MALADE CODIFIEE DE SUR LA FEUILLE DE SOINS;0
13;F/DD;DEPLACEMENT NON PRESCR. CODIFIE DD (DEPAS.  P/ DEPLAC. S/FEUIL.SOINS INFIRMIER SEULT);0
14;/DP;DEPASSEMENT PERMANENT;0
15;/DF;DEPASSEMENT FORTUNE;0
20;G/GR;ACTE GRATUIT CODIFIE GR SUR LA FEUILLE DE SOINS;0
30;N/NR;NON REMBOURSABLE;0
35;LG;SOINS AUX INVALIDES DE GUERRE (CNMSS);0
40;TM;TICKET MODERATEUR SEUL (UNIQT P/TM DES CONSUL.EXTERNES SERVIES P/ETBS BUD.GLOBAL);0
50;AT;TIERS-PAYANT AT;0
61;DA;DEPASSEMENT AUTORISE;0
62;DM;DEPASSEMENT MAÎTRISE;0
63;NJ;NON JUSTIFIE (GENERE PAR LE SYSTEME CENTRAL APRES CALCUL);0
64;AE;DEPASSEMENT AUTORISE + ENTENTE DIRECTE;0
65;ME;DEPASSEMENT MAITRISE + EXIGENCE PARTICULIERE DU MALADE;0
66;DN;DEPASSEMENT NON JUSTIFIE (généré en tarification si DA OU DM coté à tort par le praticien);0
71;PI;POUR INFORMATION (SOINS EXTERNES);0
72;PI/TJ;Tarif Journalier Complémentaire non C2S;0
99;;VALEUR INCONNUE;1
