GEO_DPT_COD;GEO_REG_COD;GEO_DPT_NEW
73;82;073
73;84;073
74;82;074
74;84;074
75;11;075
76;23;076
76;28;076
77;11;077
78;11;078
79;54;079
79;75;079
80;22;080
80;32;080
81;73;081
81;76;081
82;73;082
82;76;082
83;93;083
84;93;084
85;52;085
86;54;086
86;75;086
87;74;087
87;75;087
88;41;088
88;44;088
89;26;089
89;27;089
90;43;090
90;27;090
91;11;091
92;11;092
93;11;093
94;11;094
95;11;095
97;0;097
97;1;971
97;2;972
97;3;973
97;4;974
97;6;976
98;0;098
99;99;999
AA;94;201
BB;94;202
CC;94;209
DD;99;099
EE;99;888
FF;0;977
GG;0;978
HH;0;979
II;99;991
JJ;99;992
KK;0;975
00;99;000
01;82;001
01;84;001
02;22;002
02;32;002
03;83;003
03;84;003
04;93;004
05;93;005
06;93;006
07;82;007
07;84;007
08;21;008
08;44;008
09;73;009
09;76;009
10;21;010
10;44;010
11;91;011
11;76;011
12;73;012
12;76;012
13;93;013
14;25;014
14;28;014
15;83;015
15;84;015
16;54;016
16;75;016
17;54;017
17;75;017
18;24;018
19;74;019
19;75;019
20;94;020
21;26;021
21;27;021
22;53;022
23;74;023
23;75;023
24;72;024
24;75;024
25;43;025
25;27;025
26;82;026
26;84;026
27;23;027
27;28;027
28;24;028
29;53;029
2A;94;02A
2B;94;02B
30;91;030
30;76;030
31;73;031
31;76;031
32;73;032
32;76;032
33;72;033
33;75;033
34;91;034
34;76;034
35;53;035
36;24;036
37;24;037
38;82;038
38;84;038
39;43;039
39;27;039
40;72;040
40;75;040
41;24;041
42;82;042
42;84;042
43;83;043
43;84;043
44;52;044
45;24;045
46;73;046
46;76;046
47;72;047
47;75;047
48;91;048
48;76;048
49;52;049
50;25;050
50;28;050
51;21;051
51;44;051
52;21;052
52;44;052
53;52;053
54;41;054
54;44;054
55;41;055
55;44;055
56;53;056
57;41;057
57;44;057
58;26;058
58;27;058
59;31;059
59;32;059
60;22;060
60;32;060
61;25;061
61;28;061
62;31;062
62;32;062
63;83;063
63;84;063
64;72;064
64;75;064
65;73;065
65;76;065
66;91;066
66;76;066
67;42;067
67;44;067
68;42;068
68;44;068
69;82;069
69;84;069
70;43;070
70;27;070
71;26;071
71;27;071
72;52;072
