DRG_AFF_NAT;DRG_NAT;DRG_AFF_LIB;TEC_COL
0;0;SANS OBJET;2
11;10;Assuré;0
12;10;Adresse Provisoire;0
13;10;Conjoint divorcé;0
14;10;Conjoint séparé;0
15;10;Procuration;0
16;10;Tutelle;0
17;10;Veuvage;0
18;10;conjoint;0
19;10;Enfant;0
21;10;Autre ayant droit;0
22;10;concubin;0
23;10;Ascendant, descendant;0
24;10;Concubin en rupture;0
25;10;Bénéficaire Pacsé;0
26;10;Pacs fin;0
31;31;Correspondant d'entreprise;0
32;32;Mutuelle;0
33;33;Subrogation;0
34;34;Titre Médecin;0
35;35;Tiers Payant;0
36;36;Tiers Payant Intégral (RO+OC);0
37;37;Subrogation multiple;0
99;99;VALEUR INCONNUE;1
27;10;A-D- RESIDENCE UE;0
38;38;TP RO + OC C2S;0
