TRS_PRS_IDE;TRS_IDE_LIB;TEC_COL
11;FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE OU NON;0
12;FORFAIT AGGLOMERATION, MAJORE OU NON;0
13;FORFAIT REGION PARISIENNE, MAJORE OU NON;0
14;MAJORATION FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE NUIT (75% DU TARIF AMBULANCE, 50% DU TARIF VSL);0
15;MAJORATION FORFAIT AGGLOMERATION, MAJORE NUIT (75% AMBULANCE, 50% VSL);0
16;MAJORATION FORFAIT REGION PARISIENNE, MAJORE NUIT (75% AMBULANCE, 50% VSL);0
17;MAJORATION FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL);0
18;MAJORATION FORFAIT AGGLOMERATION, MAJORE DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL);0
19;MAJORATION FORFAIT REGION PARISIENNE, DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL);0
21;KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES OU NON;0
22;KILOMETRES A TARIF REDUIT (> 150KM) MAJORES OU NON;0
23;MAJORATION KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES NUIT (75% DU TARIF KM NORMAL POUR AMBULANCE, 50% VSL);0
24;MAJORATION KILOMETRES A TARIF REDUIT (> 150KM) MAJORES NUIT (50% DU TARIF KM REDUIT POUR VSL);0
25;MAJORATION KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES DIMANCHE OU FERIE (50% DU TARIF KM NORMAL POUR AMBULANCE, 25% VSL);0
26;MAJORATION KILOMETRES A TARIF REDUIT (> 150KM) MAJORES DIMANCHE OU FERIE (50% DU TARIF KM REDUIT POUR AMBULANCE, 25% VSL);0
41;SUPPLEMENT GARE, PORT, AEROPORT;0
42;SUPPLEMENT ENFANT PREMATURE;0
43;SUPPLEMENT APPEL D URGENCE;0
47;MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS;0
48;MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS, MAJORE NUIT;0
49;MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS, MAJORE FERIE;0
51;PEAGE OU VOIE D EAU;0
52;MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS;0
53;MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS, MAJORE NUIT;0
54;MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS, MAJORE FERIE;0
55;MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS;0
56;MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS, MAJORE NUIT;0
