TYT_COD;EMT_NUM;EMT_ORD;EMT_ORD_LIB;TEC_COL
1;1;0;ROUEN 1;0
1;2;0;TOULOUSE 1;0
1;3;0;SLM;0
1;4;100;CAVIMAC;0
1;4;771;MELUN 771;0
1;4;911;MELUN 911;0
1;4;931;MELUN 931;0
1;4;941;MELUN 941;0
1;4;980;CRPCEN;0
1;5;0;TOULOUSE 3;0
1;6;0;TOULOUSE 2;0
1;8;0;LIMOGES;0
1;10;0;STRASBOURG;0
1;11;0;ROUEN 2;0
1;13;0;STRASBOURG 3;0
1;16;0;ST ETIENNE 1;0
1;17;0;STARSBOURG 1;0
1;18;0;ANGERS 2;0
1;19;0;LILLE;0
1;20;0;CNQD;0
1;21;0;NICE;0
1;23;0;ANGERS 1;0
1;25;0;ST ETIENNE 2;0
1;26;0;TOULOUSE 5;0
1;27;0;TOULOUSE 4;0
1;28;0;MAYOTTE;0
1;36;0;MONTIGNY;0
2;101;101;MSA  101;0
2;102;102;MSA  102;0
2;103;103;MSA  103;0
2;104;104;MSA  104;0
2;105;105;MSA  105;0
2;106;106;MSA  106;0
2;107;107;MSA  107;0
2;108;108;MSA  108;0
2;109;109;MSA  109;0
2;110;110;MSA  110;0
2;111;111;MSA  111;0
2;112;112;MSA  112;0
2;113;113;MSA  113;0
2;114;105;MSA  105;0
2;114;114;MSA  114;0
2;115;115;MSA  115;0
2;116;116;MSA  116;0
2;117;117;MSA  117;0
2;118;118;MSA  118;0
2;119;119;MSA  119;0
2;120;120;MSA  120;0
2;121;121;MSA  121;0
2;122;122;MSA  122;0
2;123;123;MSA  123;0
2;124;124;MSA  124;0
2;125;125;MSA  125;0
2;126;126;MSA  126;0
2;127;127;MSA  127;0
2;128;128;MSA  128;0
2;129;129;MSA  129;0
2;130;130;MSA  130;0
2;131;131;MSA  131;0
2;132;132;MSA  132;0
2;133;133;MSA  133;0
2;134;134;MSA  134;0
2;135;135;MSA  135;0
2;136;136;MSA  136;0
2;137;137;MSA  137;0
2;138;138;MSA  138;0
2;139;139;MSA  139;0
2;140;140;MSA  140;0
2;141;141;MSA  141;0
2;142;142;MSA  142;0
2;143;143;MSA  143;0
2;144;144;MSA  144;0
2;145;145;MSA  145;0
2;146;146;MSA  146;0
2;147;147;MSA  147;0
2;148;148;MSA  148;0
2;149;149;MSA  149;0
2;150;150;MSA  150;0
2;151;151;MSA  151;0
2;152;152;MSA  152;0
2;153;153;MSA  153;0
2;154;154;MSA  154;0
2;155;155;MSA  155;0
2;156;156;MSA  156;0
2;157;157;MSA  157;0
2;158;158;MSA  158;0
2;159;159;MSA  159;0
2;160;160;MSA  160;0
2;161;161;MSA  161;0
2;162;162;MSA  162;0
2;163;163;MSA  163;0
2;164;164;MSA  164;0
2;165;165;MSA  165;0
2;166;166;MSA  166;0
2;167;167;MSA  167;0
2;168;168;MSA  168;0
2;169;169;MSA  169;0
2;170;170;MSA  170;0
2;171;171;MSA  171;0
2;172;172;MSA  172;0
2;173;173;MSA  173;0
2;174;174;MSA  174;0
2;175;175;MSA  175;0
2;176;176;MSA  176;0
2;177;177;MSA  177;0
2;178;178;MSA  178;0
2;179;179;MSA  179;0
2;180;180;MSA  180;0
2;181;181;MSA  181;0
2;182;182;MSA  182;0
2;183;183;MSA  183;0
2;184;184;MSA  184;0
2;185;185;MSA  185;0
2;186;186;MSA  186;0
2;187;187;MSA  187;0
2;188;188;MSA  188;0
2;189;189;MSA  189;0
2;190;190;MSA  190;0
2;191;191;MSA  191;0
2;192;192;MSA  192;0
2;193;193;MSA  193;0
2;194;194;MSA  194;0
2;195;195;MSA  195;0
2;197;197;MSA  197;0
2;450;450;MSA  450;0
3;101;1;SECURITE SOCIALE - INDEPENDANTS  101;0
3;102;1;SECURITE SOCIALE - INDEPENDANTS  102;0
3;103;1;SECURITE SOCIALE - INDEPENDANTS  103;0
3;104;1;SECURITE SOCIALE - INDEPENDANTS  104;0
3;105;1;SECURITE SOCIALE - INDEPENDANTS  105;0
3;106;1;SECURITE SOCIALE - INDEPENDANTS  106;0
3;201;1;SECURITE SOCIALE - INDEPENDANTS  201;0
3;202;1;SECURITE SOCIALE - INDEPENDANTS  202;0
3;203;1;SECURITE SOCIALE - INDEPENDANTS  203;0
3;204;1;SECURITE SOCIALE - INDEPENDANTS  204;0
3;205;1;SECURITE SOCIALE - INDEPENDANTS  205;0
3;206;1;SECURITE SOCIALE - INDEPENDANTS  206;0
4;0;1;SNCF;0
8;50;0;CNMSS;0
12;100;1;CCIP;0
14;100;1;ASSEMBLEE NATIONALE;0
15;751;1;SENAT;0
16;331;1;PORT AUTONOME DE BORDEAUX;0
6;0;0;ENIM;0
7;0;0;MINES;0
5;51;1;RATP;0
99;999;999;VALEUR INCONNUE;1
