CPT_ENV_TYP;ENV_TYP_LIB;ENV_TYP_RGP;ENV_RGP_LIB;TEC_COL
0;PRESTATIONS NON PRISE EN CHARGE PAR LE RG;0;SANS OBJET;0
1;SOINS DE VILLE;1;PRESTATIONS LEGALES ASSURANCE MALADIE;0
2;HOSPITALISATION ET MEDICO-SOCIALE ET CONSOMMATIONS INTERMEDIAIRES (MEDICAMENTS ET LPP);1;PRESTATIONS LEGALES ASSURANCE MALADIE;0
3;PRESTATIONS LEGALES ASSURANCE MALADIE HORS ENV.ONDAM;1;PRESTATIONS LEGALES ASSURANCE MALADIE;0
4;PREVENTION;2;AUTRES PRESTATIONS;0
5;FNAS;2;AUTRES PRESTATIONS;0
6;IVG SUPPRIME;2;AUTRES PRESTATIONS;0
7;C2S, AME ou ACS;2;AUTRES PRESTATIONS;0
8;ALSACE MOSELLE;2;AUTRES PRESTATIONS;0
98;SANS OBJET;0;SANS OBJET;2
9;VALEUR INCONNUE;2;AUTRES PRESTATIONS;1
