EPH_COD;EPH_LIB
D03A1;EQUIVALENTS DERMIQUES-EPIDERMIQUES
D03A9;TOUS AUTRES AGENTS CICATRISANTS DES PLAIES
D04;ANTIPRURIGINEUX, ANTIHISTAMINIQUES TOPIQUES ET ANESTHESIQUES ETC INCLUS
D04A;ANTIPRURIGINEUX, ANTIHISTAMINIQUE TOPIQUE ET ANESTHESIQUE ETC INCLUS
D05;MEDICAMENTS NON STERIODIENS CONTRE L'INFLAMMATION CUTANEE
D05A;ANTIPSORIASIQUES TOPIQUES
D05B;ANTIPSORIASIQUES SYSTEMIQUES
D05X;AUTRES MEDICAMENTS NON STEROIDES CONTRE L'INFLAMMATION / IRRITATION CUTANEE
D06;ANTIBIOTIQUES ET ANTIVIRAUX A USAGE TOPIQUE
D06A;ANTIBIOTIQUES A USAGE TOPIQUE
D06D;MEDICAMENTS POUR INFECTION VIRALE A USAGE TOPIQUE
D06D1;ANTIVIRAUX A USAGE TOPIQUE
D06D9;AUTRES MEDICAMENTS A USAGE TOPIQUE UTILISES DANS LES INFECTIONS VIRALES
D07;CORTICOIDES A USAGE TOPIQUE
D07A;CORTICOIDES A USAGE TOPIQUE NON ASSOCIES
D07B;CORTICOIDES A USAGE TOPIQUE EN ASSOCIATION
D07B1;ASSOCIATIONS DE CORTICOIDES AVEC DES ANTIBACTERIENS
D07B2;ASSOCIATIONS DE CORTICOIDES AVEC DES ANTIFONGIQUES
D07B3;ASSOCIATIONS DE CORTICOIDES AVEC DES ANTIBACTERIENS ET DES ANTIFONGIQUES
D07B4;AUTRES ASSOCIATIONS DE CORTICOIDES
D08;ANTISEPTIQUES ET DESINFECTANTS
D08A;ANTISEPTIQUE ET DESINFECTANT
D08A1;ANTISEPTIQUE OU DESINFECTANT CUTANE AUTRE QUE MANUEL
D08A2;ANTISEPTIQUE OU DESINFECTANT CUTANE MANUEL
D10;PREPARATIONS ANTI-ACNEIQUES
D10A;PREPARATIONS ANTI-ACNEIQUES A USAGE TOPIQUE
D10B;PREPARATIONS ANTI-ACNEIQUES ORALES
D11;AUTRES PREPARATIONS DERMATOLOGIQUES
D11A;AUTRE PREPARATION DERMATOLOGIQUE
G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES
G01;ANTI-INFECTIEUX GYNECOLOGIQUES
G01A;TRICHOMONACIDES
G01A1;TRICHOMONACIDES SYSTEMIQUES
G01A2;TRICHOMONACIDES TOPIQUES
G01A3;FORMES COMBINEES DE TRICHOMONACIDES
G01B;ANTIFONGIQUES GYNECOLOGIQUES
G01C;ANTIBIOTIQUES GYNECOLOGIQUES
G01D;ANTISEPTIQUES GYNECOLOGIQUES
G02;AUTRES MEDICAMENTS GYNECOLOGIQUES
G02A;MEDICAMENTS UTEROTONIQUES
G02B;CONTRACEPTIFS TOPIQUES
G02D;INHIBITEURS DE LA PROLACTINE
G02E;INHIBITEURS DU TRAVAIL
G02F;HORMONES SEXUELLES A USAGE TOPIQUE
G02X;AUTRES PRODUITS GYNECOLOGIQUES
G02X1;ANTISPASMODIQUES GYNECOLOGIQUES
G02X9;AUTRE MEDICAMENT GYNECOLOGIQUE
G03;HORMONES SEXUELLES ET APPARENTES D'ACTION SYSTEMIQUE
G03A;CONTRACEPTIFS HORMONAUX SYSTEMIQUES
G03A1;CONTRACEPTIFS MONOPHASIQUES DOSES A MOINS DE 0,050MG D'OESTROGENE
G03A2;CONTRACEPTIFS MONOPHASIQUES DOSES A 0,050MG OU PLUS D'OESTROGENE
G03A3;CONTRACEPTIFS BIPHASIQUES
G03A4;CONTRACEPTIFS TRIPHASIQUES
G03A5;PROGESTATIFS ORAUX NON ASSOCIES
G03A6;CONTRACEPTIFS SYSTEMIQUES D'URGENCE
G03A9;AUTRES CONTRACEPTIFS HORMONAUX SYSTEMIQUES
G03B;ANDROGENES
G03C;ESTROGENES
G03D;PROGESTATIFS
G03E;ANDROGENES + HORMONES SEXUELLES FEMININES
G03F;OESTROGENES + PROGESTATIFS
G03G;GONADOTROPHINES OU AUTRES STIMULANTS DE L'OVULATION
G03J;MODULATEURS SELECTIFS DES RECEPTEURS AUX ESTROGENES (SERMS)
G03X;AUTRES HORMONES SEXUELLES ET ASSIMILES
G04;MEDICAMENTS UROLOGIQUES
G04A;ANTI-INFECTIEUX ET ANTISEPTIQUES URINAIRES
G04A1;ANTIBIOTIQUES URINAIRES
G04A2;QUINOLONES NON HALOGENEES A USAGE URINAIRES
G04A9;AUTRES ANTISEPTIQUES URINAIRES
G04C;MEDICAMENTS CONTRE L'HYPERTROPHIE BENIGNE DE LA PROSTATE (HBP)
G04C2;ANTAGONISTES ALPHA-ADRENERGIQUES CONTRE L'HBP NON ASSOCIES
G04C3;INHIBITEURS DE LA 5 ALPHA-REDUCTASE NON ASSOCIES, CONTRE L HBP
G04C4;ANTAGONISTES ALPHA ET INHIBITEURS DE LA 5 ALPHA-REDUCTASE EN ASSOCIATION
G04C7;INHIBITEURS 5 ALPHA-REDUCTASE ET/OU ANTAGONISTES ALPHA + AUTRES SUBSTANCES
G04C9;AUTRES MEDICAMENTS CONTRE L'HBP
G04D;MEDICAMENTS CONTRE L'INCONTINENCE URINAIRE
G04D4;MEDICAMENTS CONTRE L'INCONTINENCE URINAIRE
G04D8;MEDICAMENTS CONTRE L'INCONTINENCE URINAIRE D'ORIGINE NATURELLE
G04E;MEDICAMENTS CONTRE LES TROUBLES DE L'ERECTION
G04E1;INHIBITEURS DE LA PDE5 CONTRE LES TROUBLES DE L'ERECTION
