EXC_EXC_NAT;EXC_NAT_LIB;EXC_NAT_SNI;TEC_COL
0;INTERDICTION D'EXERCER;INTERDICTION D'EXERCER;0
1;LIBERAL INTEGRAL;LIBERAL INTEGRAL;0
2;LIBERAL ACTIVITE SALARIEE;LIBERAL ACTIVITE SALARIEE;0
3;LIBERAL TEMPS PARTIEL HOSPIT;LIBERAL TEMPS PARTIEL HOSPIT;0
4;LIBERAL TEMPS PLEIN HOSPIT;EXERCICE AU BENEFICE DE MALADES S'ADRESSANT DIRECTEMENT AU PRATICIEN;0
5;SALARIE PRESCRIPTEUR;SALARIE PRESCRIPTEUR;0
6;PHARMACIE MUTUALISTE;PHARMACIE MUTUALISTE;0
7;FIN D'ACTIVITE;FIN D'ACTIVITE;0
8;SALARIE CENTRE DE SANTE;SALARIE CENTRE DE SANTE;0
9;ACTIVITE PS FICTIF;ACTIVITE PS FICTIF;0
11;PRATICIEN REMPLACANT;PRATICIEN REMPLACANT;0
41;T. PLEIN HOSPIT/ MAL. AUT. MED.;EXERCICE AU BENEFICE EXCLUSIF DE PATIENTS TRAITES AU TITRE DE L'ACTIVITE PRIVEE D'UN AUTRE PRATICIEN;0
42;TEMPS PLEIN HOSPIT CONTRAT MIXTE;EXERCICE AU BENEFICE DE MALADES S'ADRESSANT DIRECTEMENT OU NON AU PRATICIEN;0
99;VALEUR INCONNUE;VALEUR INCONNUE;1
